Sassarese	Sassarese	probability
β_i	ɛ	1.0
ˈɛ_j	ˈɛ_ɾ	1.0
ˈɔ_ɬ	ˈɔ_ɾ	1.0
ˈu	ˈu	1.0
ˈe_#>	ɾ_ɛ_#>	1.0
ʧː_u	j_u	1.0
ʧ	k_ɾ	1.0
ʦː_u	t_u	1.0
ʦː	ʦ	1.0
ʤː	-	1.0
ʣ	z	1.0
ʒ	j	1.0
ʎː	ʣ	1.0
ʃː	s	1.0
ɮ	-	1.0
ɬ_t	t_ɛ	1.0
ɡː	ɣ	1.0
ŋ	m	1.0
z	z	1.0
x	s_k	1.0
v	b	1.0
u_#>	#>	1.0
tː	t	1.0
t	t	1.0
sː_u	s_u	1.0
sː	ɾ_s	1.0
s_a	i_s	1.0
s	s	1.0
rː	r	1.0
r_ˈɛ	ɾ_ˈi	1.0
r_ˈɔ	ɾ_ˈu	1.0
r_ˈa	ɾ_ˈa	1.0
r_i	l_ɛ	1.0
pː	s_p	1.0
p_u	p_ˈɔ	1.0
p	p	1.0
o	o	1.0
nː	nː	1.0
n_ˈi	nː_ɛ	1.0
n_u	n_u	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
lː	-	1.0
l	l	1.0
kː	k	1.0
k_w	b	1.0
k	k	1.0
i_#>	#>	1.0
fː	f	1.0
f	f	1.0
e	ɛ	1.0
d_i	i	1.0
a_r	ɛ_ɾ	1.0
a_m	a_m	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_k	1.0
<#_t	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_i	<#_i	1.0
<#_a	<#_a	1.0
ˈa	ˈa	0.932
b	b	0.909
a	a	0.872
ʦ	ɣ	0.833
u	u	0.828
ˈi	ˈi	0.795
r	ɾ	0.786
ɬ	s	0.75
ˈɛ	ˈe	0.692
β	-	0.667
ʤ	b	0.667
ˈe	ˈɛ	0.633
#>	ɾ_ɛ_#>	0.611
ˈo	ˈɔ	0.581
d	d	0.56
ɲː	n_ʣ	0.556
i	ɛ	0.538
dː	ð	0.519
xː	ɾ_k	0.5
xː	s_k	0.5
u_r	ɔ_l	0.5
u_r	u_l	0.5
r_u	ɾ_u	0.5
r_u	l_u	0.5
j	j	0.5
bː	β	0.5
bː	k_ˈi	0.5
ˈɔ	ˈo	0.483
ɡ	ɡ	0.417
#>	ɛ_#>	0.389
ˈɔ	ˈɔ	0.345
β	β	0.333
ʤ	ʣ	0.333
ɲː	ŋ_ɡ	0.333
ɡ	ɣ	0.333
ˈɛ	ˈɛ	0.308
j	ɾ	0.3
dː	ɖː	0.296
d	-	0.28
ˈo	ˈu	0.258
ɬ	ɾ	0.25
ɡ	b	0.25
j	-	0.2
i	i	0.192
ˈe	ˈe	0.167
ʦ	-	0.167
ˈo	ˈo	0.161
d	ð	0.16
r	l	0.143
ˈe	ˈi	0.133
ɲː	ɲ	0.111
dː	-	0.111
ˈɔ	ˈu	0.103
ˈi	ɛ_ɾ	0.103
b	-	0.091
i	e	0.077
dː	l	0.074
r	ɾ_ˈa	0.071
ˈɔ	-	0.069
ˈe	ɛ	0.067
i	ɔ_z	0.064
u	ɔ	0.057
ˈi	ɛ	0.051
ˈi	-	0.051
