Meixian	Meixian	probability
⁵³_#>	#>	1.0
⁵	-	1.0
⁴⁴_#>	#>	1.0
⁴⁴	-	1.0
ʨʰ	ʦʰ	1.0
ʨ	ʔ_s	1.0
ʋ	m	1.0
ɲ	n_i	1.0
ŋ_⁵³	ŋ_s	1.0
¹¹_#>	#>	1.0
¹_#>	#>	1.0
¹	-	1.0
³¹	-	1.0
²	-	1.0
z̩_⁵³	ɯ_s	1.0
w_⁴⁴_#>	u_#>	1.0
w	u	1.0
t̚_⁵_#>	d_#>	1.0
t̚_¹	ɡ	1.0
t̚	d	1.0
p̚	b	1.0
p	p	1.0
n̩	n_a	1.0
n_⁵³	n_s	1.0
m	m	1.0
l	r	1.0
k̚	ɡ	1.0
kʰ	kʰ	1.0
j_⁵³	d_s	1.0
j_u	u	1.0
e_w_¹¹_#>	oː_#>	1.0
cʰ	ɡ	1.0
c	k	1.0
<#_ʋ	<#	1.0
<#_ɕ	<#_s	1.0
<#_f	<#	1.0
ŋ	ŋ	0.92
n	n	0.737
⁵³	-	0.714
ɛ	ɯː	0.714
k	k	0.714
pʰ	b	0.667
n_³¹	n_ʔ	0.667
j_ʊ	u	0.6
#>	ʔ_#>	0.579
w_³¹	ʔ	0.571
i	i	0.556
ɔ	aː	0.526
ʦ	ʔ_s	0.5
ʦ	t	0.5
ʊ	u	0.5
ʊ	oː	0.5
t	ʔ_lʼ	0.5
t	t	0.5
j_a	eː	0.5
j_a	e	0.5
j	-	0.5
f	p	0.5
<#	<#_ɡ	0.5
<#	<#_q	0.5
o	ɯː	0.444
w_³¹	u_ʔ	0.429
s	h	0.429
j_ʊ	o	0.4
u	ɯ	0.385
tʰ	d	0.375
f	b	0.375
ɔ	a	0.368
ʦʰ	kʰ	0.333
ʦʰ	-	0.333
pʰ	-	0.333
o	aː_l	0.333
n_³¹	ʔ	0.333
j	l	0.333
h	kʰ	0.333
h	h_m	0.333
h	-	0.333
#>	s_#>	0.316
⁵³	d_s	0.286
ɛ	-	0.286
s	s_r	0.286
s	d	0.286
k	kʷ	0.286
n	ŋ	0.263
tʰ	l̥ʰ	0.25
tʰ	lʼ	0.25
u	ɯ_ʔ	0.231
u	-	0.231
ʦʰ	sʰ	0.222
o	l	0.222
a	uː	0.188
a	r_aː	0.188
j	ɯː	0.167
i	r_ɯ	0.167
i	-	0.167
u	i_u	0.154
tʰ	r̥ʰ	0.125
f	hʷ	0.125
a	o	0.125
a	eː	0.125
a	aː	0.125
ʦʰ	tʰ	0.111
i	ɯ	0.111
ɔ	oː	0.105
#>	e_#>	0.105
a	a	0.094
a	-	0.094
ŋ	-	0.08
a	e	0.062
