Logudorese	Old French	probability
ˈɔ_j	ˈu	1.0
ˈo_ɣ	ˈɛ	1.0
ˈi_ɾ	ˈi_r	1.0
ˈa_ð	ˈe	1.0
ʦ_a	ʦ_ə	1.0
ʦ	ʦ	1.0
ɾ_ˈi	r	1.0
ɾ_ˈa	r_ˈɛ	1.0
ɾ_b	r_b	1.0
ɲ	ɲ	1.0
ɣ_ɛ_#>	j_#>	1.0
ɛ̆	-	1.0
ɛ_ɾ	r	1.0
ɛ_#>	#>	1.0
ɖː	l	1.0
ŋ	-	1.0
ð_ɛ	θ	1.0
ð_u	t	1.0
ð_a	ə	1.0
z_ɔ̆_#>	s_#>	1.0
z_ă_#>	s_#>	1.0
t_u	j_s	1.0
t	t	1.0
s_ˈi	s_ˈɛ	1.0
s	s	1.0
r	r	1.0
p_ɾ	p_l	1.0
p_j	p_l	1.0
o	ɔ	1.0
nː	n	1.0
n_ɛ_#>	#>	1.0
n_u	j_n	1.0
n_a	n_ə	1.0
m_b	ŋ_k	1.0
k_ˈi	ʦ_ˈi	1.0
k_ˈa	ʧ_j	1.0
k_u_#>	k_#>	1.0
j_ˈa	j_ˈe	1.0
j_a	ə	1.0
f_ɾ	f_l	1.0
f	f	1.0
b_ˈu	ɡ_ˈu	1.0
a_n	ã_n	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈã	1.0
<#_ʣ	<#_ʤ	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#_e	1.0
#>	t_#>	1.0
m	m	0.923
l	l	0.913
p	p	0.9
n	n	0.9
ɾ	r	0.871
u_#>	#>	0.844
d	d	0.833
e	-	0.75
a	ə	0.712
ˈɔ_ɾ	ˈɔ_r	0.667
ɣ_ɛ	j_s	0.6
j_u	ʎ	0.6
i_ɣ	ʤ	0.6
ɔ	-	0.583
i	-	0.579
ɣ	j	0.571
ð	-	0.571
z	-	0.571
ɡ	ɡ	0.556
β	v	0.5
β	-	0.5
ʣ	ʎ	0.5
ʣ	-	0.5
ɣ_u_#>	j_#>	0.5
ɣ_u_#>	#>	0.5
z_ŭ_#>	ʦ_#>	0.5
z_ŭ_#>	s_#>	0.5
ɡ	-	0.444
ˈu	ˈy	0.429
ɣ	-	0.429
ð	j	0.429
z	s	0.429
k	k	0.426
b	v	0.421
ɣ_ɛ	j	0.4
j_u	ʤ_ə	0.4
i_ɣ	ə	0.4
u	ə	0.393
ˈo	ˈɔ	0.389
ɛ	ə	0.386
ˈɔ	ˈũ	0.385
ˈi	ˈi	0.368
b	b	0.368
u	-	0.357
k	ʧ	0.34
ˈɔ_ɾ	ˈu_r	0.333
ˈe	ˈɛ	0.318
ˈa	ˈa	0.315
ˈi	ˈĩ	0.263
ˈɛ	ˈɛ	0.258
ɔ	u	0.25
e	ə	0.25
ˈe	ˈẽ	0.227
ˈe	-	0.227
ˈɛ	ˈɔ	0.226
ˈo	ˈũ	0.222
ˈa	ˈe	0.204
ˈa	ˈã	0.204
ˈɛ	ˈẽ	0.194
a	a	0.186
ɛ	j	0.182
ˈu	ˈu	0.179
ˈo	ˈu	0.167
ɔ	ũ	0.167
d	-	0.167
ˈɛ	ˈi	0.161
ˈi	ˈɔ	0.158
ˈɔ	w_ˈɛ	0.154
k	ʦ	0.149
ˈu	ˈỹ	0.143
ˈu	-	0.143
ˈe	j_ˈɛ	0.136
ˈɔ	ˈɔ	0.115
ˈɔ	ˈy_j	0.115
ˈɔ	w	0.115
ˈɔ	u	0.115
ˈo	ˈe	0.111
ˈo	w	0.111
ˈu	ˈɔ	0.107
u	u	0.107
ˈi	ˈɔ_j	0.105
i	ɛ	0.105
i	ə	0.105
i	ɔ	0.105
i	i	0.105
b	ʤ	0.105
a	-	0.102
p	-	0.1
n	-	0.1
ˈɛ	j_ˈɛ	0.097
ˈa	ˈã_j	0.093
ˈe	j	0.091
ɛ	-	0.091
u_#>	w_#>	0.089
l	-	0.087
k	-	0.085
m	-	0.077
ˈa	ˈɛ	0.074
u	ˈɛ_f	0.071
u	y	0.071
ɛ	ˈɛ_f	0.068
ɛ	v	0.068
ɛ	r	0.068
u_#>	l_#>	0.067
ˈɛ	-	0.065
ˈi	ˈɛ	0.053
ˈi	ˈẽ	0.053
b	ɡ	0.053
b	v_ə	0.053
