Scots	Bokmål Norwegian	probability
b	b	1.0
e	ɪ	1.0
pʰ	pʰ	1.0
z	s	1.0
ɛ	ə	1.0
ɪ	i	1.0
ʍ	ʋ	1.0
ʤ	ɡː	1.0
ˈaː	ˈæ	1.0
ˈaːɪ̯	ˈɛ	1.0
ˈøː	ˈuː	1.0
ˈɔɪ̯	-	1.0
ˈɛː	ˈæɪ̯	1.0
l	lː	0.171
m	mː	0.241
t	-	0.071
v	-	0.061
ç	s	0.091
ŋ	ŋː	0.881
ˈe	ˈøː	0.131
ˈi	ˈuː	0.051
ˈiː	ˈʉː	0.071
ˈo	ˈœ	0.071
ˈoː	ˈoː	0.091
ˈu	ˈœ	0.051
ˈu	ˈʉ	0.231
ˈuː	ˈʉ	0.201
ˈɛ	ˈɪ	0.061
ˈɛ	ˈiː	0.081
ˈɛ	ˈɛ	0.461
r	ɳ	0.112
r	ɾ	0.82
v	ʋ	0.562
x	-	0.342
ə	-	0.322
ɡ	ɡː	0.2
ˈo	ˈʉː	0.072
ˈuː	ˈʉː	0.432
ˈø	ˈɑ	0.082
ˈø	ˈyː	0.082
ˈø	ˈoː	0.232
ˈəi̯	ˈʉː	0.132
kʰ	ç	0.113
n	nː	0.33
ç	k	0.143
ð	d	0.143
ɡ	ɡ	0.633
ʧ	k	0.333
ˈe	ˈɑː	0.163
ˈeː	ˈoː	0.163
ˈiː	-	0.113
ˈu	ˈʊ	0.13
ˈəi̯	ˈiː	0.73
ˈɪ	ˈɛ	0.053
ˈɪ	ˈiː	0.063
ˈɪ	ˈœ	0.083
ˈɪ	ˈʏ	0.103
θ	-	0.053
θ	nː	0.3
d	d	0.74
f	f	0.804
i	-	0.094
w	-	0.244
ç	j	0.134
ə	ə	0.514
ˈiː	ˈøː	0.144
ˈoː	ˈɔ	0.614
ˈɪ	ˈʊ	0.064
ˈʌ	ˈoː	0.114
ˈʌu̯	ˈiː	0.554
h	j	0.15
h	h	0.85
j	j	0.195
k	-	0.055
k	kː	0.075
s	s	0.885
ə	ɾ_ə	0.095
ˈa	ˈæː	0.105
ˈa	ˈɑ	0.75
ˈaɪ̯	ˈɪ	0.405
ˈe	ˈɛ	0.085
ˈe	ˈeː	0.135
ˈi	ˈɪ	0.065
ˈi	ˈyː	0.095
ˈi	ˈøː	0.235
ˈʌ	ˈʉ	0.635
d	-	0.216
m	m	0.696
w	ˈʉː	0.066
ʃ	f	0.136
ʃ	ʂ	0.376
ˈaɪ̯	-	0.406
ˈe	ˈɑ	0.06
ˈe	ˈæɪ̯	0.426
ˈi	ˈʊ	0.066
ˈi	ˈœ	0.076
ˈiː	ˈeː	0.236
ˈoː	ˈeː	0.296
ˈu	ˈuː	0.06
ˈø	ˈuː	0.516
ˈɛ	ˈøː	0.126
ˈɪ	ˈuː	0.116
ˈɪ	ˈɪ	0.336
kʰ	kʰ	0.887
p	-	0.257
v	m	0.377
ɡ	j	0.167
ʧ	ç	0.667
ˈo	ˈɔ	0.137
ˈo	ˈuː	0.687
ˈɑː	ˈeː	0.07
ˈɑː	ˈɔ	0.187
ˈʌ	ˈæː	0.097
ˈʌ	ˈɔ	0.107
θ	ç	0.057
i	ə	0.368
i	i	0.538
j	-	0.218
j	ɡ	0.348
k	k	0.748
n	n	0.628
r	-	0.068
s	ʂ	0.08
t	tː	0.248
t	t	0.608
x	ɡ	0.658
ç	tː	0.618
ð	-	0.678
ʃ	s	0.488
ˈeː	ˈɑ	0.208
ˈi	ˈɛ	0.098
ˈi	ˈoː	0.128
ˈiː	ˈæː	0.068
ˈiː	ˈœ	0.108
ˈiː	ˈyː	0.168
ˈu	ˈʉː	0.508
ˈʌu̯	ˈoː	0.308
f	ʋ	0.149
j	ˈoː	0.239
l	l	0.769
p	p	0.719
tʰ	tʰ	0.969
w	ʋ	0.69
ð	nː	0.179
ŋ	ŋ	0.119
ˈaɪ̯	ˈiː	0.189
ˈeː	ˈɑː	0.459
ˈuː	ˈʏ	0.129
ˈuː	ˈyː	0.239
ˈø	ˈɔ	0.089
ˈɑː	ˈɑ	0.639
ˈəi̯	ˈyː	0.069
ˈəi̯	ˈæɪ̯	0.069
ˈɛ	ˈʉː	0.069
ˈʌu̯	ˈʉ	0.139
θ	tʰ	0.59
