Pennsylvania German	Gothic	probability
b	b	0.955
b	t	0.054
d	θ	0.407
d	d	0.371
d	t	0.1
d	ð	0.089
f	f	0.656
f	p	0.133
f	p_s	0.12
f	i_f	0.079
h	h	1.0
j	j	0.74
j	ɡ	0.145
k	ɡ_s	0.334
k	ɣ	0.178
k	x	0.148
k	k	0.1
k	h	0.1
kʰ	k	0.786
kʰ	-	0.17
l	l	0.854
l	lː	0.1
l	n	0.043
m	m	0.704
m	m_s	0.224
m	-	0.054
n	n	0.748
n	nː	0.1
n	n_θ	0.058
n	m	0.039
n	ŋ	0.038
p	β	0.348
p	f_s	0.303
p	b	0.2
p	p	0.099
s	s	0.643
s	t	0.234
s	-	0.06
t	θ	0.302
t	t	0.174
t	d_s	0.142
t	θ_s	0.117
t	t_s	0.099
v	β	0.653
v	ʍ	0.199
v	f	0.126
x	h	1.0
ç	k	0.54
ç	h	0.189
ç	x	0.127
ç	ɣ	0.092
ŋ	ŋ_ɡ	0.582
ŋ	ŋ	0.214
ŋ	h	0.186
ɑ	r	0.29
ɑ	a_r	0.273
ɑ	-	0.187
ɑ	oː	0.135
ɑ	a	0.056
ə	a_n	0.607
ə	-	0.148
ə	u_n	0.078
ə	aː	0.052
ə	oː	0.048
ɡ	ɡ	0.922
ɡ	k	0.067
ɣ	ɡ	0.644
ɣ	h	0.249
ɪ	u	0.235
ɪ	a	0.235
ɪ	ˈi	0.137
ɪ	-	0.087
ɾ	r	0.923
ɾ	j	0.077
ʃ	s	0.616
ʃ	s_k	0.23
ʃ	k_s	0.14
ʋ	w	0.927
ʋ	ʍ	0.074
ʦ	t	1.0
ˈa	ˈa	0.922
ˈa	ˈi	0.05
ˈa	ˈɛː	0.045
ˈaɪ̯	ˈiː	0.327
ˈaɪ̯	ˈiu̯	0.243
ˈaɪ̯	ˈiː_s	0.144
ˈaɪ̯	ˈoː	0.095
ˈaɪ̯	ˈɛː	0.077
ˈaʊ̯	ˈuː	0.644
ˈaʊ̯	ˈu	0.341
ˈaː	ˈa_r	0.348
ˈaː	ˈɔ_r	0.31
ˈaː	ˈa	0.174
ˈaː	ˈɔ	0.127
ˈeː	ˈɛː	0.213
ˈeː	ˈɛː_w	0.208
ˈeː	ˈɔː	0.181
ˈeː	ˈɛ	0.158
ˈeː	ˈi	0.12
ˈiː	ˈiu̯	0.871
ˈiː	ˈi	0.08
ˈoː	ˈɔː	0.419
ˈoː	ˈeː	0.27
ˈoː	ˈɔ	0.212
ˈoː	ˈu	0.063
ˈuː	ˈoː	0.843
ˈuː	ˈuː	0.135
ˈɔ	ˈu	0.768
ˈɔ	ˈɔː	0.108
ˈɔ	ˈɔ	0.105
ˈɔɪ̯	ˈa	1.0
ˈɔː	ˈa	0.39
ˈɔː	ˈɔː	0.303
ˈɔː	ˈɔ	0.129
ˈɔː	ˈeː	0.097
ˈɔː	ˈiu̯	0.059
ˈɛ	ˈa	0.333
ˈɛ	ˈɛ	0.252
ˈɛ	ˈi	0.22
ˈɛ	ˈɛː	0.087
ˈɛ	ˈu	0.067
ˈɛː	ˈɛ	1.0
ˈɪ	ˈi	0.903
ˈɪ	ˈu	0.062
ˈɪ	ˈiː	0.05
ˈʊ	ˈu	0.779
ˈʊ	ˈoː	0.105
ˈʊ	ˈuː	0.102
