Upper Sorbian	Czech	probability
b	b	1.0
bʲ	b	1.0
d	d	1.0
e	ˈɛ	1.0
j	j	1.0
k	k	1.0
kʲ	k	1.0
l	l	1.0
m	m	1.0
n	n	1.0
p	p	1.0
pʲ	p	1.0
s	s	1.0
t	t	1.0
xʲ	x	1.0
z	z	1.0
ɦ	ɦ	1.0
ɪ	iː	1.0
ʀ	r	1.0
ʀʲ	r̝	1.0
ʒ	ʒ	1.0
ˈɪ	ˈɪ	1.0
β	v	1.0
ʧ	t	0.641
ˈo	ˈuː	0.421
mʲ	m	0.492
w	-	0.092
ɥ	v_j	0.512
ʤ	d	0.72
ʦ	ʦ	0.942
ˈu	ˈu	0.632
x	ɦ	0.253
ɛ	ɛ	0.853
ʃ	r̝̊	0.363
ˈo	ˈo	0.333
ˈɔ	ˈɛ	0.233
ɔ	o	0.694
ˈa	ˈaː	0.444
ˈe	ˈɛ	0.744
ˈɛ	ɛ	0.424
a	ɛ	0.15
a	a	0.85
i	ɪ	0.215
i	iː	0.785
ɲ	ɲ	0.485
ɲ	n	0.515
ʧ	c	0.245
ˈi	ˈɪ	0.485
ˈi	ˈiː	0.515
ˈɔ	ˈo	0.625
ˈɛ	ˈɛː	0.15
ɔ	ɛ	0.26
ˈa	ˈa	0.556
ˈo	ˈa	0.246
ˈɔ	ˈuː	0.106
ˈɛ	ˈɛ	0.426
x	x	0.747
ɛ	ˈɛ	0.147
ʃ	ʃ	0.637
ʧ	ɛ_t	0.057
ʧ	ʧ	0.057
mʲ	m_ɲ	0.508
w	l	0.908
ɥ	v	0.488
ʤ	ɟ	0.28
ʦ	o_#>	0.058
ˈu	ˈou̯	0.368
ˈe	ˈiː	0.219
