Old Prussian	Old Prussian	probability
ɡ_i	ɡ̊	1.0
ŋ	-	1.0
w	v_j	1.0
uː	-	1.0
s_i	s	1.0
s_#>	#>	1.0
r_i	r̝	1.0
r	r	1.0
p	p	1.0
oːu̯	i_ˈ	1.0
o_n_#>	#>	1.0
k	k	1.0
iː	-	1.0
i_ɡ	õ	1.0
i_l	ɞ	1.0
eː	j_a	1.0
e_m	m	1.0
b_l	b̥	1.0
aːu̯	ʉ	1.0
aːi̯	j_ɞ	1.0
aː	ɲ	1.0
au̯	-	1.0
ai̯	d_ɛ	1.0
<#_s	<#_s	1.0
<#_k	<#	1.0
<#_a	<#	1.0
i	-	0.867
b	b	0.833
z	z	0.778
ɡ	ʒ	0.75
m	m	0.75
v	v	0.727
l	l	0.714
o	a	0.7
t	ʦ	0.636
a_n_#>	#>	0.6
d	d	0.444
s	s	0.429
e	ɛ_ˈ	0.417
u	ə	0.4
u	-	0.4
a_n_#>	i_#>	0.4
a	ɔ	0.4
n	-	0.368
t	t	0.364
e	-	0.333
d	ʣ	0.333
n	n	0.316
n	ã	0.316
o	ɔ	0.3
s	x	0.286
s	-	0.286
l	-	0.286
v	-	0.273
a	u	0.267
ɡ	ʤ	0.25
m	-	0.25
e	j	0.25
z	ɡ	0.222
d	d̥	0.222
u	a	0.2
a	-	0.2
b	ʃ	0.167
i	j	0.133
a	i	0.133
