Štokavian	Štokavian	probability
̌_d	d	1.0
̌	-	1.0
̂_d	d̥_s	1.0
̂	-	1.0
ʨ	k_t	1.0
ʧ	ʧ	1.0
ʦ	-	1.0
ʒ	ʣ	1.0
ʋ_j	v	1.0
uː_̌	uɔ̯	1.0
uː_̂	l	1.0
uː	au̯	1.0
u_̂	uɔ̯	1.0
s	s	1.0
r	r	1.0
p	p	1.0
oː_̂	s	1.0
oː	a	1.0
o_̂	a	1.0
o	s	1.0
m	m	1.0
j_eː	iɛ̯	1.0
iː	iː	1.0
i_̂	uː	1.0
i_#>	#>	1.0
i	i	1.0
e_̌	ɛ	1.0
aː	-	1.0
a_r	r̩_s	1.0
<#_ʋ	<#	1.0
<#_s	<#_s	1.0
l	l	0.875
n	n	0.846
#>	s_#>	0.8
b	b	0.778
t	t	0.765
z	z	0.727
a	-	0.714
<#_d	<#_d	0.714
ɡ	ɡ	0.7
e	-	0.636
d	d	0.625
ʎ	l	0.6
j	-	0.6
a_#>	a_#>	0.571
k	k	0.556
eː	-	0.556
ʋ	v	0.545
u	i_l	0.5
u	-	0.5
a_̂	aː	0.5
a_̂	a	0.5
ʋ	v_i	0.455
k	s	0.444
a_#>	#>	0.429
ʎ	-	0.4
j	uɔ̯	0.4
d	-	0.375
e	ɛ	0.364
ɡ	ɡ̊_s	0.3
a	ɛ	0.286
<#_d	<#	0.286
z	z̥	0.273
t	-	0.235
eː	æː	0.222
eː	æ	0.222
b	-	0.222
n	-	0.154
l	l̩	0.125
#>	u_s_#>	0.1
#>	n_s_#>	0.1
