Phone1	Phone2	Surprisal
a	a	0.515
a	j_a	2.322
a	n_s	3.322
b	b	0.0
c	k	0.0
d	θ	0.411
d	d	2.011
d̥	-	1.737
d̥	d_s	1.737
d̥	θ	2.322
d̥	θ_iː	2.322
f	f	0.562
f	p	1.632
h	h	0.0
j	-	0.86
j	j	1.155
k	-	0.0
l	l	0.72
l	l_s	1.347
m	m	0.0
n	n	0.326
n	nː	2.734
n	-	4.269
p	-	0.0
r	r	0.0
s	t	0.446
s	s	1.912
t	t	1.184
t	θ	1.99
t	ð	2.229
t	d	3.396
u	e	0.0
v	w	0.408
v	-	2.022
w	l	0.041
w	lː	5.165
x	k	0.77
x	h	1.274
x_t	h_t	0.0
ç	k	0.0
ŋ	ŋ	0.0
ə	-	0.0
ɛ	a	0.322
ɛ	-	2.322
ɟ	-	0.421
ɟ	ɡʷ	1.983
ɡ	ɡ	0.0
ɡ̊	ɡ_s	0.798
ɡ̊	x	1.235
ɪ	-	0.0
ʃ	s_k	0.904
ʃ	s	1.103
ʦ	t	0.0
ˈa	ˈɛː	0.705
ˈa	-	2.18
ˈa	ˈɛ	2.593
ˈai̯	ˈiː	0.0
ˈei̯	-	0.976
ˈei̯	ˈi	1.024
ˈi	ˈa	1.478
ˈi	ˈiu̯	1.63
ˈi	ˈoː	1.653
ˈi̯ø	ˈa_r	0.0
ˈoi̯	ˈɔ	0.0
ˈu	ˈu	0.551
ˈu	-	2.33
ˈu	ˈɔː	3.079
ˈø	ˈeː	0.452
ˈø	ˈu	1.895
ˈɑ	ˈa	1.183
ˈɑ	ˈɛ	2.183
ˈɑ	-	2.473
ˈɑ	ˈɛ_r	2.65
ˈɑ_n	ˈa_n	0.0
ˈɑi̯	ˈiu̯	0.822
ˈɑi̯	ˈuː	1.523
ˈɑi̯	ɡʷː	3.533
ˈɔ	ˈa	0.723
ˈɔ	-	2.24
ˈɔ	aː	2.454
ˈɘ̟	ˈi	0.0
ˈɛ	ˈa	0.496
ˈɛ	-	1.782
ˈʏ	ˈoː	0.59
ˈʏ	r	1.576
