East Low German	Yiddish	probability
b	b	0.971
b	f	0.049
d	d	0.497
d	t	0.484
d	-	0.039
f	f	0.909
f	b	0.061
f	p	0.04
h	h	1.0
j	ɡ	0.57
j	j	0.422
k	χ	0.443
k	ɡ	0.205
k	k	0.169
k	k_ə	0.155
kʰ	k	0.97
kʰ	-	0.05
l	l	0.969
m	m	0.757
m	n	0.149
m	b_n	0.067
m	-	0.043
n	n	0.912
n	n_ə	0.042
p	f	0.728
p	p	0.252
r	ʀ	0.954
r	ʁ	0.052
s	z	0.511
s	k_s	0.137
s	s	0.129
s	d_z	0.119
s	v	0.078
t	t	0.563
t	s	0.299
t	ʦ	0.109
tʰ	ʦ	1.0
v	v	0.934
v	b	0.066
w	v	1.0
x	χ	0.671
x	ɡ	0.303
z	z	1.0
æ	ʀ	0.547
æ	ə	0.358
æ	ɡ_ə	0.057
æ	ɛ	0.04
ç	k	0.397
ç	χ	0.26
ç	ɡ	0.214
ç	-	0.096
ŋ	ŋ	0.765
ŋ	ɡ_n	0.156
ŋ	n	0.077
ɡ	ɡ	1.0
ɣ	-	0.271
ɪ	ɪ	1.0
ɾ	t_ə	0.566
ɾ	d_ə	0.246
ɾ	ə	0.163
ʃ	ʃ	0.929
ʃ	ʧ	0.072
ˈa	ˈa	0.828
ˈa	ˈɔ	0.14
ˈa	ˈɛ	0.046
ˈae̯	ˈɛɪ̯	0.486
ˈae̯	ˈɪ	0.333
ˈae̯	ˈɛ	0.121
ˈae̯	ˈaɪ̯	0.06
ˈaɪ̯	ˈɪ	0.141
ˈaʊ̯	ˈʊ	0.458
ˈaʊ̯	ˈɔɪ̯	0.434
ˈaʊ̯	ˈa	0.107
ˈaː	ˈa_ʀ	0.631
ˈaː	ˈɔ	0.354
ˈiː	ˈaɪ̯	0.617
ˈiː	ˈɪ	0.233
ˈiː	ˈɛ	0.138
ˈoː	ˈɔ	0.699
ˈoː	ˈɛ	0.297
ˈuː	ˈɔɪ̯	0.642
ˈuː	ˈɔ	0.184
ˈuː	ˈʊ	0.156
ˈyː	ˈɛ	0.425
ˈyː	ˈaɪ̯	0.364
ˈøː	ˈɛ	0.344
ˈøː	ˈʊ	0.344
ˈœ	ˈɛ	0.683
ˈœ	ˈɔɪ̯	0.235
ˈœː	ˈi	0.33
ˈœː	ˈɛ	0.197
ˈœː	ˈʊ	0.197
ˈœː	ˈɪ	0.118
ˈɒː	ˈɔ	0.553
ˈɒː	ˈa	0.218
ˈɒː	ˈɔɪ̯	0.212
ˈɔ	ˈɔ	0.652
ˈɔ	ˈa	0.191
ˈɔ	ˈʊ	0.111
ˈɔ	ˈɔɪ̯	0.047
ˈɔʏ̯	ˈɪ	0.76
ˈɔʏ̯	ˈɛɪ̯	0.164
ˈɔʏ̯	ˈɔɪ̯	0.056
ˈɛ	ˈɛ	0.621
ˈɛ	ˈɔ	0.204
ˈɛ	ˈɪ	0.155
ˈɛɪ̯	ˈɛ	0.271
ˈɛː	ˈɛ	0.611
ˈɛː	ˈɔ	0.245
ˈɛː	ˈaɪ̯	0.096
ˈɪ	ˈɪ	0.739
ˈɪ	ˈaɪ̯	0.099
ˈɪ	ˈa	0.057
ˈɪ	ˈɛɪ̯	0.057
ˈɪ	ˈɛ	0.052
ˈʊ	ˈʊ	0.747
ˈʊ	ˈɔ	0.199
ˈʊ	ˈɔɪ̯	0.06
ˈʏ	ˈɛ	0.308
ˈʏ	ˈɪ	0.303
ˈʏ	ˈaɪ̯	0.2
