American English	Luxembourgish	probability
b	b	1.0
d	t	0.502
d	d	0.392
d	-	0.079
f	f	0.93
f	χ	0.056
h	h	0.958
i	ə	0.917
i	e	0.083
j	ɡ	0.454
j	j	0.42
j	ˈiː	0.127
k	k	0.398
k	χ	0.332
k	ɕ	0.231
kʰ	kʰ	0.956
l	l	1.0
m	m	0.981
n	n	0.869
n	ŋ	0.131
oʊ̯	-	0.39
oʊ̯	ə	0.39
oʊ̯	ɐ	0.219
p	f	0.576
p	f_ə	0.257
p	p	0.168
pʰ	f	1.0
s	z	0.481
s	ʃ	0.285
s	s	0.234
t	t	0.357
t	s	0.273
t	s_ə	0.163
t	ʦ	0.109
t	ɕ_t	0.098
tʰ	ʦ	0.953
tː	ʦ	1.0
v	v_ə	0.287
v	-	0.227
v	v	0.206
v	f	0.146
v	ə_f	0.134
w	v	0.714
w	w	0.19
w	-	0.073
z	s	0.686
z	z	0.276
ð	d	0.848
ð	n	0.152
ŋ	ŋ	0.712
ŋ	ŋ_ə	0.17
ŋ	e	0.118
ə	-	0.596
ə	ˈeː	0.205
ə	ə	0.199
ɚ	ɐ	0.867
ɚ	-	0.058
ɡ	ɡ	0.977
ɫ	l	0.934
ɫ	n	0.066
ɹ	ʀ	0.798
ɹ	-	0.1
ɹ	ɐ	0.093
ɾ	s	1.0
ʃ	ʃ	1.0
ʤ	k	1.0
ʧ	kʰ	0.655
ʧ	ɕ	0.221
ʧ	χ	0.073
ʧ	k	0.051
ˈaɪ̯	ˈæːɪ̯	0.173
ˈaɪ̯	ˈɑɪ̯	0.121
ˈaɪ̯	ˈɑ	0.116
ˈaɪ̯	ˈɜɪ̯	0.107
ˈaɪ̯	ˈe	0.102
ˈaɪ̯	ˈiː_ɕ	0.102
ˈaɪ̯	ˈə	0.072
ˈaɪ̯	ˈuə̯	0.061
ˈaʊ̯	ˈæːʊ̯	0.552
ˈaʊ̯	ˈu	0.156
ˈaʊ̯	ˈɑɪ̯	0.117
ˈaʊ̯	ˈo	0.066
ˈaʊ̯	ˈəʊ̯	0.066
ˈeɪ̯	ˈaː	0.192
ˈeɪ̯	ˈu	0.19
ˈeɪ̯	ˈoː_ə	0.159
ˈeɪ̯	ˈeː	0.122
ˈeɪ̯	ˈɑ	0.108
ˈeɪ̯	ˈaː_χ	0.103
ˈeɪ̯	ˈoː	0.084
ˈi	ˈɜɪ̯	0.299
ˈi	ˈaː	0.166
ˈi	ˈoː	0.119
ˈi	ˈɑɪ̯	0.083
ˈi	ˈæːɪ̯	0.059
ˈi	ˈeː	0.055
ˈoʊ̯	ˈeː	0.416
ˈoʊ̯	ˈɜɪ̯	0.165
ˈoʊ̯	ˈaː	0.123
ˈoʊ̯	ˈo	0.118
ˈoʊ̯	ˈɛ	0.059
ˈoʊ̯	ˈi	0.058
ˈu	ˈu	0.312
ˈu	ɐ	0.254
ˈu	ˈəʊ̯	0.121
ˈu	ˈæ	0.097
ˈu	ˈɜɪ̯	0.063
ˈu	w	0.062
ˈu	ˈɑɪ̯	0.062
ˈæ	ˈɑ	0.575
ˈæ	ˈaː	0.21
ˈæ	ˈiː	0.069
ˈæ	ˈɑ_l	0.065
ˈɑ	ˈaː	0.44
ˈɑ	ˈɛː	0.234
ˈɑ	ˈo	0.109
ˈɑ	ˈɑ	0.088
ˈɑ	ˈuː	0.062
ˈɔ	ˈaː	0.589
ˈɔ	ˈo	0.097
ˈɔ	ˈiː	0.094
ˈɔ	ˈɜɪ̯	0.094
ˈɔ	w	0.072
ˈɔ	ˈuː	0.053
ˈɛ	ˈiə̯	0.169
ˈɛ	ˈɛ	0.132
ˈɛ	ˈəʊ̯	0.102
ˈɛ	ˈɑ	0.099
ˈɛ	ˈə	0.094
ˈɛ	ˈæ	0.074
ˈɛ	ˈe	0.055
ˈɛ	ˈoː	0.052
ˈɝ	ˈuː_ɐ	0.488
ˈɝ	ˈiː	0.213
ˈɝ	ˈɛː	0.174
ˈɝ	ˈæːɪ̯	0.125
ˈɪ	ˈɑ	0.277
ˈɪ	ˈe	0.272
ˈɪ	ˈə	0.257
ˈɪ	ˈi	0.087
ˈʊ	ˈo	0.566
ˈʊ	ˈəʊ̯	0.255
ˈʊ	ˈʊ	0.105
ˈʊ	ˈu	0.075
ˈʌ	ˈo	0.349
ˈʌ	ˈʊ	0.141
ˈʌ	ˈu	0.093
ˈʌ	ˈɔ	0.08
ˈʌ	ˈeː	0.071
ˈʌ	ˈəʊ̯	0.052
ˈʌ	ˈə	0.05
θ	d	0.656
θ	t	0.29
θ	n_t	0.054
