Ligurian	Ligurian	probability
ˈɔː	ˈɔ	1.0
ˈøː	ˈɔ	1.0
ˈø	ˈɔ	1.0
ˈyː	ˈu	1.0
ˈy_m	ˈi_nː	1.0
ˈy	ˈu	1.0
ˈiː	ˈi	1.0
ˈe_ŋ	ˈɛ_n	1.0
ˈe_j	ˈi	1.0
ˈa	ˈa	1.0
ɲ	ɲː	1.0
ɥ	a_t	1.0
ɔː	-	1.0
ŋ_d	nː	1.0
ŋ_#>	n_ʊ_#>	1.0
w_ˈiː	ˈu_j	1.0
w_e	ʊ	1.0
t_ˈe	t_ˈɛ	1.0
sː	sː	1.0
s_u	s_ʊ	1.0
r_n	ɾ_n	1.0
p	p	1.0
o	-	1.0
l_ˈeː	ˈi_ɖː	1.0
k_r	k_ɾ	1.0
j_d	dː	1.0
a	a	1.0
<#_ˈɛː	<#_ˈa	1.0
<#_ˈø	<#_ˈɔ	1.0
<#_ʤ	<#_j	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʐ	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
<#	<#_a	1.0
f	f	0.952
b	b	0.923
u	ʊ	0.907
ˈi	ˈi	0.889
k	k	0.886
m	m	0.885
v	v	0.844
ŋ	n	0.829
e	ɪ	0.808
#>	ɪ_#>	0.78
ˈɔ	ˈɔ	0.75
ˈuː	ˈu	0.75
ˈe	ˈi	0.75
ʒ	ɕ	0.727
w	w	0.636
l	l	0.622
t	t	0.605
ˈu	ˈu	0.6
d	d	0.588
z	j	0.583
n	nː	0.583
ˈɛ	ˈɛ	0.571
ʃ	ʃː	0.571
ˈeː	ˈɛ	0.55
ɡ	k	0.526
ˈɛː_#>	ˈa_#>	0.5
ˈɛː_#>	ɽ_ɪ_#>	0.5
ʧ	p	0.5
ʧ	c	0.5
ʤ	ɟː	0.5
r	ɾ	0.5
i	ɪ	0.467
ˈaː	ˈa	0.462
s	s	0.46
ˈɛː	ˈɛ	0.455
ˈɛ	-	0.429
ʃ	ç	0.429
n	n	0.417
i	i	0.4
l	ɖː	0.351
ʤ	cː	0.333
ɡ	ɡ	0.316
t	tː	0.316
j	ɪ_ɾ	0.294
j	-	0.294
ˈɛː	ˈa	0.273
ˈɛː	-	0.273
ʒ	-	0.273
r	r	0.265
ˈɔ	ˈa	0.25
ˈuː	ˈu_ɾ	0.25
ˈe	ˈɛ	0.25
z	-	0.25
ˈu	ˈɔ	0.24
d	-	0.235
ˈaː	ˈa_ɾ	0.231
ˈaː	ˈa_r	0.231
s	ɕ	0.2
w	ˈa_ʈ	0.182
w	ʊ	0.182
j	l	0.176
d	ɾ	0.176
ŋ	ŋ	0.171
ʤ	-	0.167
z	ɕ	0.167
ˈu	ˈo	0.16
ɡ	-	0.158
v	p	0.156
ˈeː	ˈi	0.15
s	ʃ	0.14
#>	ʊ_#>	0.14
e	i	0.135
i	-	0.133
j	ɾ	0.118
j	j	0.118
m	mː	0.115
k	kː	0.114
ˈi	ˈu	0.111
ˈeː	ˈɛ_ɾ	0.1
ˈeː	ˈɛ_l	0.1
ˈeː	ˈe	0.1
r	ɽ	0.088
r	-	0.088
#>	a_#>	0.08
ˈaː	ˈa_l	0.077
b	bː	0.077
r	ʐː	0.059
u	u	0.058
e	ʊ	0.058
t	ʈ	0.053
