Asturian	Asturian	probability
β_u	p_ə	1.0
ˈo_n	ˈɔ_n	1.0
ˈe_θ	ʧ	1.0
ˈe_ɾ	ə	1.0
ˈe_j	ˈe	1.0
ˈa_t	ˈa_tː	1.0
ˈa	ˈa	1.0
ʧ	tː	1.0
ɾ_u	ɾ_ə	1.0
ɾ_n	ɾ_n	1.0
ɾ_#>	#>	1.0
ɡ	ɡ	1.0
ɟ͡ʝ	-	1.0
w_ˈe	ˈɔ	1.0
r	rː	1.0
p	p	1.0
o_ɾ	ɲ	1.0
n_d	nː	1.0
n	n	1.0
l_u	l_ə	1.0
k_a	kː_ə	1.0
j_ˈe	ˈɛ	1.0
i_β	v	1.0
e_s	ʃ	1.0
d	d	1.0
a_ɾ	r	1.0
a_ð	a_t	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_j	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_e	<#	1.0
<#	<#_j	1.0
#>	ə_#>	1.0
k	k	0.947
f	f	0.941
t	t	0.913
w	w	0.905
ð	t	0.867
ˈu	ˈu	0.842
u	ə	0.839
ˈi	ˈi	0.833
b	v	0.818
s	s	0.793
a	ə	0.778
m	m	0.727
ʃ	ʤ	0.714
θ	ʃ	0.692
ʎ	l	0.679
e	ə	0.66
j	j	0.625
β	v	0.611
ɾ	ɾ	0.608
i	i	0.6
ˈo	ˈu	0.548
ɣ	k	0.545
ˈe_n	ˈɛ_n	0.5
ˈe_n	ˈi_n	0.5
ɲ	ɲː	0.5
ʝ	kː_j	0.455
ŋ	ŋ	0.438
ŋ	n	0.438
i	-	0.4
o	u	0.375
ʝ	ʎː	0.364
l	l	0.312
ɲ	nː	0.3
ʃ	-	0.286
ɣ	-	0.273
m	mː	0.273
ˈe	ˈɛ	0.271
o	ə	0.25
o	-	0.25
l	l_ə	0.25
j	-	0.25
ˈe	ˈe	0.237
ˈo	ˈo	0.226
a	a	0.222
ˈe	ˈɔ	0.203
ɲ	-	0.2
l	lː	0.188
ʝ	j	0.182
ɣ	ɡ	0.182
b	b_w	0.182
ʎ	k_j	0.179
ɾ	r	0.176
s	-	0.172
β	p	0.167
ˈo	ˈɔ	0.161
ˈu	-	0.158
θ	-	0.154
ˈe	ˈi	0.153
e	i	0.149
ʎ	lː	0.143
ð	-	0.133
ŋ	-	0.125
o	o	0.125
l	ɾ	0.125
l	-	0.125
j	ɾ	0.125
ɾ	-	0.118
θ	ʃː	0.115
β	ˈɔ	0.111
β	-	0.111
e	-	0.106
ɾ	ə_ɾ	0.098
w	ˈo	0.095
t	tː	0.087
e	e	0.085
ˈi	ˈi_ʎː	0.083
ˈi	ˈe	0.083
ˈo	ˈu_ɾ	0.065
f	fː	0.059
k	a	0.053
ˈe	ˈa	0.051
ˈe	ɾ_i	0.051
