Hessian	Hessian	probability
ˈɛ̃ː	ˈɛɪ̯_n	1.0
ˈɛː	ˈɛ	1.0
ˈɛ	ˈɛ	1.0
ˈɔ	ˈɔ	1.0
ˈɑ̃i̯	ˈaɪ̯_n	1.0
ˈæː	ˈɛ	1.0
ˈuː_#>	ˈʊ_#>	1.0
ˈuː	ˈʊ	1.0
ˈu	ˈʊ	1.0
ˈõː	ˈʊ_n	1.0
ˈoi̯	ˈaɪ̯	1.0
ˈoĩ̯	ˈaɪ̯_n	1.0
ˈĩː	ˈɪ_n	1.0
ˈiː_ɐ	ˈɪ_ʀ	1.0
ˈiː	ˈɪ	1.0
ˈi	ˈɪ	1.0
ˈeː	ˈɛ	1.0
ˈe	ˈɛ	1.0
ˈãː	ˈɛɪ̯_n	1.0
ˈau̯	ˈɔɪ̯	1.0
ˈai̯	ˈaɪ̯	1.0
ˈa	ˈa	1.0
ʦ	ʦ	1.0
ʤ̥	-	1.0
ʣ̥	-	1.0
ʒ̊	-	1.0
ʃ_#>	ɡ_#>	1.0
ʀ	ʀ	1.0
ɣ̊_ə	χ_n	1.0
ɣ̊	ɡ	1.0
ɛː	-	1.0
ɑ	a	1.0
ɐ_n	ʀ_n	1.0
ɐ	ʀ	1.0
ŋ	ŋ	1.0
z̥	s	1.0
x	χ	1.0
v̥_ə	f_n	1.0
v_ə	b_n	1.0
t_ʀ	d_ʀ	1.0
t	t	1.0
oː	-	1.0
m	m	1.0
l	ɫ	1.0
kʰ	k	1.0
k_ʀ	ɡ_ʀ	1.0
k	k	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
d̥_ˈi	d_ˈɪ	1.0
b̥	b	1.0
æ̆	ə_ʀ	0.913
v	v	0.897
n	n	0.846
ˈoː	ˈɔɪ̯	0.778
p	b	0.778
ˈɑː	ˈɔ	0.75
#>	ɡ_#>	0.714
ˈɑ	ˈa	0.688
ɡ̊	ɡ	0.667
ə	n	0.667
d̥	t	0.628
s	z	0.625
ʃ	ʃ	0.613
ˈæ	-	0.6
j	-	0.6
ˈaː	ˈɔɪ̯	0.583
ˈo	ˈɔ	0.556
ˈo	ˈʊ	0.444
ˈaː	ˈɛɪ̯	0.417
ˈæ	ˈa	0.4
j	j	0.4
d̥	d	0.372
ɡ̊	k	0.333
ə	ə_n	0.333
s	s	0.325
ʃ	χ	0.29
#>	ə_#>	0.286
ˈɑː	ˈɔ_ʀ	0.25
ˈoː	-	0.222
p	-	0.222
ˈɑ	ˈɔ	0.188
n	n_d	0.154
ˈɑ	ˈa_ʀ	0.125
v	b	0.103
ʃ	k	0.097
æ̆	ʀ	0.087
