Elfdalian	Elfdalian	probability
ˈʏː	ɛ	1.0
ˈʏ	-	1.0
ˈʉ̃ːə̯	-	1.0
ˈʉː	-	1.0
ˈɔ	-	1.0
ˈɑːu̯	ˈɑi̯	1.0
ˈɑːi̯	ˈai̯	1.0
ˈɑ_r	ˈi̯ø	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈyːœ̯	ˈi	1.0
ˈo	ˈɑ	1.0
ˈiːe̯	ˈa	1.0
ʨ_ˈʉːə̯	ˈi	1.0
ʥː	k	1.0
ʥ	-	1.0
ʏ	-	1.0
ʉ_#>	#>	1.0
ʉ	-	1.0
ɪ	-	1.0
ɡː	-	1.0
ɛ_n	a	1.0
ɔ̃	ɑ	1.0
ɑ̃	a	1.0
ɑ_#>	#>	1.0
w	v	1.0
sː	s	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
s_j	z	1.0
s_#>	s_#>	1.0
rː	ˈɑi̯_ɡ̊	1.0
r_#>	#>	1.0
pː	-	1.0
p	f	1.0
n_#>	#>	1.0
mː	m	1.0
m	m	1.0
l̥	ʃ_w	1.0
lː	w	1.0
l	w	1.0
kʰ	k	1.0
j_ˈʉːə̯	ˈi	1.0
j_ˈæ	ˈɑ	1.0
f	f	1.0
d_#>	d̥_#>	1.0
b	b	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#_t	1.0
n	n	0.905
ˈɪ	ˈɘ̟	0.867
r	r	0.8
ŋ	ŋ	0.778
<#	<#_h	0.778
ð	t	0.765
nː	n	0.75
ɑ	a	0.731
ɽ	w	0.682
ˈʉːə̯	ˈʏ	0.667
ˈʉə̯	-	0.667
ˈɔː	-	0.667
ˈoː	-	0.667
ɛ	ɛ	0.667
tː	x_t	0.667
s_ʨ	ʃ	0.667
kː	-	0.667
k	x	0.667
d	d	0.667
ˈʉ	ˈu	0.643
t	s	0.611
ɣ	ɡ̊	0.6
tʰ	ʦ	0.583
ɔ	a	0.571
ɡ	ɡ	0.533
ˈɛː	ˈa	0.5
ˈɛː	-	0.5
ˈɛ	ˈɛ	0.5
ˈɑː	ˈɔ	0.5
ˈɑː	-	0.5
ˈɑ	ˈɔ	0.5
ˈɑ	ˈɑ	0.5
s	ʃ	0.462
s	z	0.462
v	-	0.455
ɔ	-	0.429
tʰ	d	0.417
ɣ	-	0.4
j	-	0.4
v	f	0.364
#>	n_#>	0.364
ˈʉə̯	v	0.333
ˈɪː	n	0.333
ˈɔː	ˈø	0.333
ˈœː	ˈɑi̯	0.333
ˈœː	ˈu	0.333
ˈœː	-	0.333
ˈoː	h_ˈu	0.333
ɡ	ɡ̊	0.333
ɛ	-	0.333
tː	ʦ	0.333
s_ʨ	ʧ	0.333
kː	c	0.333
k	ç	0.333
d	t	0.333
ˈɛ	ˈa	0.3
j	ˈɑ	0.3
t	t	0.278
#>	d̥_#>	0.273
nː	-	0.25
ð	-	0.235
ˈɪː	ˈi	0.222
ˈɪː	ˈai̯	0.222
ˈɪː	-	0.222
ŋ	-	0.222
<#	<#_ɡ	0.222
ˈʉ	ˈɘ̟	0.214
ˈɛ	ˈi	0.2
j	ˈi	0.2
ɽ	w_ˈɑ	0.182
v	b̥	0.182
#>	x_#>	0.182
#>	s_#>	0.182
ˈʉːə̯	ə	0.167
ˈʉːə̯	-	0.167
ˈʉ	v_ˈu	0.143
ɽ	l	0.136
ˈɪ	ˈei̯	0.133
ɡ	ɟ	0.133
ɑ	n	0.115
t	ʦ	0.111
r	ɛ_r	0.1
j	ˈɪ	0.1
n	-	0.095
ɑ	ɟ_a	0.077
ɑ	-	0.077
s	t	0.077
