Alsatian	Eastphalian	probability
b̥	b	0.887
b̥	f	0.065
d̥	d	0.728
d̥	-	0.272
e	-	1.0
eː	ɒː	1.0
f	f	0.757
f	p	0.157
f	b	0.059
h	h	1.0
i	ɪ	0.577
i	-	0.423
j	j	0.489
j	-	0.184
j	ŋ	0.184
j	ç	0.143
k	ɣ	0.353
k	k	0.287
k	-	0.197
k	ɡ	0.163
kʰ	k	1.0
l	l	0.99
m	m	0.824
m	ɐ_m	0.118
m	-	0.057
n	n	0.871
n	-	0.099
p	p	1.0
p͡f	p	1.0
s	z	0.454
s	t	0.354
s	s	0.176
t	t	0.47
t	d	0.359
t	-	0.171
v	j	0.843
v	v	0.157
w	w	1.0
x	x	0.71
x	k	0.29
ŋ	ŋ	1.0
ə	ɐ	0.443
ə	n	0.346
ə	-	0.181
ɡ̊	ɣ	0.574
ɡ̊	j	0.376
ɡ̊	k	0.05
ʁ	-	0.593
ʁ	r	0.407
ʃ	ʃ	0.363
ʃ	s	0.305
ʃ	k	0.151
ʃ	ç	0.116
ʃ	d	0.065
ʋ	v	0.975
ʦ	t	1.0
ˈai̯	ˈøː	1.0
ˈaː	ˈɛː	0.669
ˈaː	ˈɛ	0.331
ˈe	ˈeː	0.271
ˈe	ˈɪ	0.195
ˈe	ˈoː	0.185
ˈe	ˈœ	0.176
ˈe	ˈɛ	0.114
ˈe	ˈɛː	0.06
ˈei̯	ˈiː	0.569
ˈei̯	ˈɛɪ̯	0.431
ˈeː	ˈɛɪ̯	0.306
ˈeː	ˈøː	0.148
ˈeː	ˈɒː	0.148
ˈeː	ˈiː	0.144
ˈeː	ˈɔʏ̯	0.144
ˈeː	ˈœ	0.085
ˈi	ˈɪ	0.707
ˈi	ˈʏ	0.163
ˈi	ˈiː	0.069
ˈiː	ˈɛɪ̯	0.313
ˈiː	ˈyː	0.178
ˈiː	ˈiː	0.155
ˈiː	ˈɔʏ̯	0.101
ˈiː	ˈɛː	0.085
ˈiː	ˈeː	0.08
ˈiː	ˈɪ	0.076
ˈo	ˈʊ	0.51
ˈo	ˈoː	0.286
ˈo	ˈɔ	0.204
ˈoː	ˈeo̯	0.413
ˈoː	ˈɒː	0.376
ˈoː	ˈoː	0.174
ˈu	ˈʊ	0.447
ˈu	ˈʏ	0.219
ˈu	ˈoː	0.15
ˈu	ˈɔ	0.125
ˈyː	ˈuː	0.965
ˈæ	ˈɛ	0.424
ˈæ	ˈeː	0.41
ˈæ	ˈɛː	0.129
ˈæː	ˈɛː	0.413
ˈæː	ˈɒː	0.292
ˈæː	ˈɛɪ̯	0.221
ˈæː	ˈɛ	0.073
ˈø	ˈuː	1.0
ˈøi̯	ˈuː	1.0
ˈøː	ˈʊ	0.803
ˈøː	ˈaʊ̯	0.197
ˈœ	ˈeo̯	1.0
ˈɒ	ˈa	0.636
ˈɒ	ˈɒː	0.11
ˈɒ	ˈɛ	0.072
ˈɒ	ˈɔ	0.069
ˈɒ	ˈaʊ̯	0.052
ˈɒː	ˈaː	0.459
ˈɒː	ˈa	0.286
ˈɒː	ˈɛː	0.219
ˈɔi̯	ˈuː	1.0
ˈəi̯	ˈɛɪ̯	0.921
ˈəi̯	ˈɪ	0.079
ˈɛ	ˈeː	1.0
ˈʊː	ˈaʊ̯	0.465
ˈʊː	ˈeo̯	0.348
ˈʊː	ˈoː	0.08
ˈʊː	ˈɔʏ̯	0.061
