Alsatian	Eastphalian	probability
b̥	b	0.88
b̥	v	0.067
b̥	f	0.056
d̥	d	0.776
d̥	-	0.219
e	-	1.0
f	f	0.811
f	b	0.062
f	p	0.054
f	m	0.047
f	-	0.035
h	h	1.0
i	ɪ	0.484
i	-	0.473
j	j	0.354
j	ŋ	0.268
j	ç	0.165
j	-	0.108
k	ɣ	0.447
k	k	0.389
k	-	0.098
kʰ	k	1.0
l	l	0.977
l	n	0.034
m	m	0.758
m	ɐ_m	0.18
m	-	0.058
n	n	0.927
n	-	0.054
n	m	0.03
p	p	0.495
p͡f	p	1.0
s	z	0.445
s	t	0.415
s	s	0.129
t	t	0.524
t	d	0.338
t	-	0.119
v	j	0.629
v	v	0.361
w	w	1.0
x	x	0.833
x	k	0.138
ŋ	ŋ	1.0
ə	ɐ	0.388
ə	n	0.345
ə	-	0.206
ə	ə	0.052
ɡ̊	ɣ	0.678
ɡ̊	j	0.21
ɡ̊	k	0.09
ʁ	-	0.557
ʁ	r	0.442
ʁ_i	ɐ	1.0
ʃ	s	0.412
ʃ	ʃ	0.277
ʃ	k	0.174
ʃ	ç	0.093
ʃ	d	0.039
ʋ	v	0.937
ʋ	ə	0.063
ʦ	t	1.0
ˈai̯	ˈøː	1.0
ˈaː	ˈɛː	0.574
ˈaː	ˈɛ	0.284
ˈe	ˈeː	0.304
ˈe	ˈɛ	0.23
ˈe	ˈœ	0.152
ˈe	ˈɪ	0.142
ˈe	ˈɛː	0.111
ˈei̯	ˈɛɪ̯	0.517
ˈei̯	ˈiː	0.45
ˈeː	ˈøː	0.193
ˈeː	ˈeː	0.193
ˈeː	ˈɛɪ̯	0.174
ˈeː	ˈɔʏ̯	0.137
ˈeː	ˈiː	0.132
ˈi	ˈɪ	0.638
ˈi	ˈʏ	0.131
ˈi	ˈɛ	0.097
ˈi	ˈiː	0.056
ˈi	ˈeː	0.056
ˈiː	ˈiː	0.271
ˈiː	ˈɛɪ̯	0.236
ˈiː	ˈɔʏ̯	0.178
ˈiː	ˈɪ	0.152
ˈiː	ˈɛː	0.076
ˈiː_ʁ	ˈyː	1.0
ˈo	ˈʊ	0.525
ˈo	ˈoː	0.278
ˈo	ˈɔ	0.184
ˈoː	ˈeo̯	0.501
ˈoː	ˈɒː	0.241
ˈoː	ˈɔ	0.094
ˈoː	ˈoː	0.094
ˈoː	ˈaː	0.056
ˈu	ˈʊ	0.36
ˈu	ˈɔ	0.252
ˈu	ˈʏ	0.133
ˈu	ˈoː	0.133
ˈu	ˈøː	0.094
ˈyː	ˈuː	0.863
ˈyː	ˈʊ	0.098
ˈæ	ˈɛː	0.341
ˈæ	ˈɛ	0.194
ˈæ	ˈeː	0.13
ˈæ	ˈa	0.12
ˈæː	ˈɛɪ̯	0.484
ˈæː	ˈɛː	0.209
ˈæː	ˈɒː	0.094
ˈæː	ˈɛ	0.061
ˈø	ˈuː	0.245
ˈøi̯	ˈuː	0.495
ˈøː	ˈaʊ̯	0.5
ˈøː	ˈʊ	0.5
ˈœ	ˈeo̯	0.495
ˈɒ	ˈa	0.589
ˈɒ	ˈɔ	0.131
ˈɒ	ˈɒː	0.12
ˈɒ	ˈɪ	0.047
ˈɒ	ˈaʊ̯	0.046
ˈɒː	ˈaː	0.303
ˈɒː	ˈa	0.279
ˈɒː	ˈɛː	0.238
ˈɒː	ˈɒː	0.136
ˈɔi̯	ˈuː	0.245
ˈəi̯	ˈɛɪ̯	0.85
ˈəi̯	ˈɪ	0.127
ˈɛ	ˈeː	0.495
ˈʊː	ˈaʊ̯	0.625
ˈʊː	ˈeo̯	0.178
ˈʊː	ˈʊ	0.117
ˈʊː	ˈoː	0.066
