Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈʊ	ˈʊə̯	1.0
ˈœʏ̯	ˈʊə̯	1.0
ˈœ	-	1.0
ˈæ	ˈæː	1.0
ˈeː_#>	#>	1.0
ʰpː	p	1.0
ʰkː	ŋ	1.0
ʋ_#>	v̥_#>	1.0
ɲ	ˈə	1.0
ɡː	χ	1.0
ɡ_l	ɫ	1.0
ŋː	ŋ	1.0
ŋ	n_ə	1.0
ç_ɑ	k	1.0
v	v	1.0
tʰ	d	1.0
t	t	1.0
sː	n_s	1.0
s_t	s	1.0
s_#>	#>	1.0
s	s	1.0
pʰ	p	1.0
p	p	1.0
mː	m	1.0
m	m	1.0
kʰ	k	1.0
k_#>	#>	1.0
k	k	1.0
h	ɦ	1.0
f	v̥	1.0
e_ɾ_#>	ə_#>	1.0
b	b	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ɾ	<#_r	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#_kʰ	<#	1.0
<#_j	<#	1.0
<#	<#_j	1.0
l	ɫ	0.944
ɾ	r	0.924
ɡ	χ	0.917
ɑ	-	0.872
d	d	0.857
ˈɪ	ˈə	0.846
ˈyː	ˈi	0.75
ʋ	v	0.75
e	-	0.742
n	n	0.71
ˈɑ	ˈa	0.696
ə	ə	0.667
ˈoː	ˈɑː	0.647
ˈeː	ˈɪə̯	0.625
ˈæɪ̯	ˈɪə̯	0.6
ˈuː	ˈu	0.6
ç	k	0.6
ʰtː	t	0.571
ˈʉ	ˈɔ	0.562
ˈiː	ˈəɪ̯	0.562
ʂ	s	0.556
ˈøː	ˈu	0.5
ˈæʉ̯	ˈʊə̯	0.5
nː	n_d̥	0.5
nː	n	0.5
lː	ɫ	0.5
ˈʏ	ˈœ	0.462
ˈɑː	ˈɑː	0.462
ˈɔ	-	0.455
ʂ	s_k	0.444
ˈʉː	ˈœɪ̯	0.438
ʰtː	χ	0.429
j	χ	0.417
j	-	0.417
ˈøː	-	0.4
ˈæɪ̯	ˈəɪ̯	0.4
ç	d	0.4
#>	d̥_#>	0.387
ˈʏ	-	0.385
ˈɑː	ˈa	0.385
ˈɛ	-	0.375
ˈæʉ̯	ˈʊə̯_d̥	0.375
ˈeː	ˈi	0.375
ˈɔ	ˈɔ	0.364
ə	-	0.333
ˈʉː	ˈi	0.312
e	ə	0.258
ˈʉː	-	0.25
ˈʉ	-	0.25
ˈɛ	ˈæ	0.25
ˈyː	ˈyː	0.25
lː	ɫ_d̥	0.25
lː	d̥	0.25
ˈuː	ˈʊə̯	0.2
ˈuː	-	0.2
#>	n_#>	0.194
ˈʉ	v_ˈɔ	0.188
ˈɛ	ˈɛ	0.188
ˈɛ	ˈa	0.188
ˈiː	ˈə	0.188
ˈɔ	ˈə	0.182
ˈɑ	-	0.174
j	ɦ	0.167
ˈʏ	v_ˈɛ	0.154
ˈɪ	-	0.154
ˈɑː	-	0.154
d	d̥	0.143
ˈɑ	ˈɑː	0.13
n	ə_ŋ	0.129
ˈæʉ̯	ˈoː	0.125
ˈiː	ˈɪə̯	0.125
ˈiː	ˈi	0.125
ʋ	v̥	0.125
ʋ	-	0.125
ˈoː	ˈi	0.118
ˈoː	n	0.118
ˈoː	-	0.118
ˈøː	w	0.1
n	-	0.097
#>	j_#>	0.097
ɡ	-	0.083
ɑ	ə	0.077
n	r	0.065
#>	ə_#>	0.065
#>	v̥_#>	0.065
#>	s_#>	0.065
#>	r_#>	0.065
#>	k_#>	0.065
l	-	0.056
ɑ	k	0.051
