Insular North Frisian	East Frisian Low Saxon	probability
ˈɛ_ɾ	ˈeːe̯	1.0
ˈœ_n	n	1.0
ˈøː	ˈøːø̯	1.0
ˈyː	-	1.0
ˈuː_n	ˈɒː_n	1.0
ˈaː	ˈɑː	1.0
ˈaʊ̯	ˈoː_v	1.0
ˈaɪ̯	-	1.0
ʃ	z	1.0
ɪ	-	1.0
ŋ	ŋ	1.0
ç_ə	ɡ	1.0
z	ˈuː_z	1.0
x_t	d̥	1.0
tʲ	d	1.0
tʰ	d	1.0
r_ə	ɐ	1.0
pʰ	p	1.0
p	p	1.0
n_ɐ	n_ɐ	1.0
n	n	1.0
m	m	1.0
lʲ	l_d̥	1.0
l_ˈeː	l	1.0
k_ˈɛ	k_ˈɪ	1.0
k	k	1.0
h	h	1.0
f	f	1.0
e	-	1.0
b	b	1.0
aɪ̯	ɑɪ̯	1.0
ɐ	ɐ	0.907
l	l	0.907
t	t	0.895
v	v	0.859
ɡ	ɡ	0.8
d	d	0.792
r	r	0.767
ə	-	0.739
j	-	0.714
s	s	0.612
ɾ	d̥	0.601
ç	ɣ̊	0.598
ˈɔa̯	ˈoː	0.542
ˈɪ	ˈɪ	0.536
ˈɛː	ˈeː	0.5
ˈɛː	-	0.5
nʲ	n_n	0.5
nʲ	n_d̥	0.5
ˈa	ˈɑ	0.497
ˈuː	ˈoː	0.469
ˈeː	-	0.436
ˈɛ	-	0.413
x	-	0.404
ˈuː	-	0.4
ˈɔː	ˈɒː	0.397
x	χ	0.39
s	z	0.388
ˈoː	-	0.381
ˈɔ	-	0.351
ˈœ	ˈœ	0.343
ˈiː	-	0.338
ˈɔː	-	0.326
ˈoː	ˈoː	0.322
ˈɪ	ˈiː	0.313
ˈɔa̯	-	0.306
ˈʏ	ˈuː	0.304
ˈiː	ˈæɪ̯	0.29
j	j	0.286
ˈeː	ˈæɪ̯	0.278
ˈʊ	-	0.276
ˈʏ	-	0.273
ɾ	d	0.263
ˈʊ	ˈɪ	0.241
ˈœ	-	0.233
ˈʏ	ˈʊ	0.23
ˈʊ	ˈʊ	0.223
ˈa	ˈɑːɑ̯	0.218
ˈɔ	ˈɛ	0.216
ˈɔ	ˈɔ	0.216
ˈɔ	ˈɑʊ̯	0.216
ç	χ	0.208
d	t	0.208
x	ɐ	0.206
ˈœ	ˈʊ	0.204
ˈɛ	ˈɪ	0.202
ɡ	-	0.2
ç	ɡ	0.194
ˈeː	ˈɒː	0.188
ˈœ	ˈɑ	0.18
ˈa	ˈɑː	0.171
ˈiː	ˈeː	0.166
ə	n	0.166
ˈɔː	ˈɒːɒ̯	0.164
ˈɔa̯	ˈɑ	0.152
r	ɐ	0.151
ˈoː	ˈœːy̯	0.149
ˈoː	ʊ	0.147
v	w	0.141
ɾ	-	0.135
ˈʊ	ˈɑ	0.134
ˈuː	o	0.131
ˈʏ	ˈɑ	0.129
ˈiː	ˈɛːɪ̯	0.129
ˈɪ	-	0.127
ˈɛ	ˈʏ	0.127
ˈa	-	0.114
ˈɔː	ˈɔ	0.112
ˈeː	ˈɛːɪ̯	0.098
ˈʊ	ˈɑʊ̯	0.097
ˈɛ	ˈøː	0.096
ə	ɐ	0.094
ɐ	-	0.093
ˈɛ	ˈʏə̯	0.083
r	-	0.082
ˈɛ	ˈɪə̯	0.079
ˈiː	ˈɑɪ̯	0.077
l	ˈɔ_l	0.074
ˈʏ	ˈiː	0.064
t	d̥	0.061
