Friulian	Aragonese	probability
c	k	1.0
p	p	1.0
ɟ	-	1.0
ʤ	ʧ	1.0
ˈe	ˈe	1.0
j	ʎ	0.11
j	-	0.201
o	o	0.861
s	-	0.071
t	ð_o	0.051
w	o	0.051
ɲ	ɲ	0.171
ˈo	-	0.11
ˈɛ	-	0.061
b	β	0.082
d	ð	0.412
i	ˈi	0.072
u	o	0.312
v	β	0.252
w	ˈo	0.092
w	w	0.822
ˈɛ	ˈe	0.882
k	ɡ	0.063
l	l	0.663
m	m	0.983
n	n	0.873
u	a	0.263
ŋ	ɲ	0.083
ɡ	ɡ	0.783
ɲ	ɲ_o	0.163
ʧ	θ_j	0.063
j	j	0.614
k	k	0.854
l	ʎ	0.154
s	s	0.684
v	-	0.054
v	b	0.694
ˈa	ˈa	0.94
ˈaː	ˈa_ɾ	0.434
ˈeː	ˈe_ɾ	0.124
ˈu	ˈu	0.894
ˈuː	ˈu	0.284
ˈɔ	ˈu	0.084
a	i	0.085
a	a	0.645
d	d	0.455
e	e	0.085
e	a	0.905
f	f	0.905
i	e	0.285
j	i	0.075
r	ɾ	0.775
t	ð	0.065
u	e	0.425
z	-	0.395
z	s	0.605
ŋ	n_o	0.315
ˈiː	ˈi	0.155
ˈo	ˈu	0.165
ˈoː	ˈu	0.055
ˈoː	ˈo	0.945
f	β	0.06
i	i	0.066
i	o	0.386
l	l_o	0.056
o	u	0.06
r	r	0.116
ɲ	n	0.666
ˈa	ˈe	0.06
ˈeː	ˈe	0.876
ˈi	ˈi	0.596
ˈiː	j_ˈe	0.746
ˈo	ˈe	0.076
ˈu	ˈe	0.106
ˈuː	w_ˈe	0.716
ˈɔ	ˈe	0.916
a	-	0.27
d	-	0.117
i	ˈe_ɾ	0.07
i	-	0.097
n	-	0.127
t	t_o	0.197
ɡ	ɣ	0.217
ˈi	ˈe	0.37
ˈɛ	j_ˈe	0.057
b	b	0.918
l	ʎ_o	0.118
t	t	0.658
ŋ	ŋ	0.258
ˈo	ˈo	0.48
o	u_s	0.079
s	θ	0.069
s	ʃ	0.069
ŋ	n	0.329
ʧ	-	0.159
ʧ	θ	0.779
ˈaː	ˈa	0.489
ˈiː	ˈi_ɾ	0.099
ˈo	w_ˈe	0.169
