Ladin	Ligurian	probability
b	b	1.0
v	v	1.0
w	-	1.0
ŋ	ŋ	1.0
ʥ	ʤ	1.0
ʦ	s	1.0
f	v_e	0.11
i	i	0.671
j	ˈiː	0.091
m	ŋ	0.051
r	r	0.661
t	t	0.481
ʃ	ʒ_e	0.151
ʨ	s	0.271
ˈe	ˈeː	0.051
ˈu	ˈy	0.841
ˈɛ	ˈɛː	0.211
a	a	0.832
m	m_e	0.152
s	s_u	0.112
ɲ	ɲ	0.452
a	-	0.113
n	n	0.293
o	u	0.83
ʃ	ʃ	0.163
ʒ	ʒ	0.303
ˈe	ˈɛː	0.123
ˈe	ˈe	0.513
ˈɛ	ˈa	0.053
ˈɛ	-	0.073
ˈɛ	w_ˈɛː	0.073
d	t	0.144
k	k	0.534
s	ʃ	0.164
ɡ	ɡ_w	0.074
ʒ	u_#>	0.074
ʧ	<#_v	0.074
ˈa	ˈaː	0.164
ˈɛ	ˈaː	0.144
d	d	0.75
e	i	0.065
e	u	0.085
f	f	0.875
k	k_w	0.15
ʒ	z	0.575
ˈi	ˈi	0.515
ˈo	w	0.055
ˈo	-	0.085
d	-	0.106
j	i_ɡ	0.106
j	j	0.376
l	ʤ	0.056
l	-	0.156
n	ŋ	0.66
t	-	0.106
t	t_e	0.156
ʧ	s	0.926
ˈa	ˈɛː	0.056
ˈe	-	0.06
ˈi	ˈiː	0.336
ˈo	ˈu	0.666
e	e	0.647
k	k_u	0.087
l	l	0.557
m	m	0.797
o	-	0.17
s	s	0.717
t	t_u	0.207
ɡ	ɡ	0.897
ʃ	ʒ	0.187
ˈɔ	ˈu	0.37
ˈɛ	ˈɛ	0.067
j	-	0.368
k	ɡ_u	0.198
ɲ	ɲ_u	0.548
ˈa	ˈa	0.78
ˈe	ˈaː	0.238
ˈi	ˈi_ʤ	0.108
ˈɔ	ˈɔ	0.228
ˈɛ	ˈe	0.338
e	a	0.069
e	j	0.089
i	-	0.329
j	ʤ_u	0.059
l	l_u	0.19
p	p	0.939
r	-	0.339
ʃ	s	0.499
ʨ	k	0.729
ˈo	ˈuː	0.169
ˈu	ˈyː	0.159
ˈɔ	ˈɔː	0.379
