Old French	Old French	probability
θ_#>	#>	1.0
ˈɛ_f	ˈɔ_w	1.0
ˈỹ	ˈỹ	1.0
ˈũ_j	ˈũ	1.0
ˈu_r_#>	ˈu_#>	1.0
ˈu	ˈu	1.0
ˈo	w	1.0
ˈi_r_#>	ˈi_#>	1.0
ˈe_r_#>	ˈa_#>	1.0
ˈã_j	ˈa	1.0
ʧ_ə	k_a	1.0
ʧ_j	k	1.0
ʧ	k	1.0
ʦ	s	1.0
ʎ_ə	j_ɔ	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛ	-	1.0
ə_#>	#>	1.0
ɔ	e	1.0
ŋ	ŋ	1.0
z	z	1.0
y	-	1.0
v_r	w_ɾ	1.0
u	u	1.0
t_ə	t_ɔ	1.0
t_#>	#>	1.0
s_ˈɛ	s_ˈe	1.0
s_ˈɔ	s_ˈe	1.0
s_ə	s_ɔ	1.0
s_k	s_k	1.0
r_ˈɔ	ɾ_ˈe	1.0
r_ə	e	1.0
r_#>	#>	1.0
o	-	1.0
n_t	ŋ	1.0
n_#>	#>	1.0
m_#>	m_#>	1.0
l_#>	w_#>	1.0
k_r	k_ɾ	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ˈɛ	ˈɛ	1.0
j_s	s	1.0
j_#>	j_#>	1.0
ĩ	ĩ	1.0
i	i	1.0
f_#>	w_#>	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a	a	1.0
<#_ˈã	<#_ˈã	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
<#	<#_w	1.0
p	p	0.944
ˈa	ˈa	0.917
m	m	0.912
s	s	0.889
ʤ	ʤ	0.875
v	v	0.828
ˈã	ˈã	0.824
l	l	0.811
t	t	0.789
ʎ	j	0.714
ˈẽ	ˈẽ	0.706
ˈĩ	ˈĩ	0.667
ũ	-	0.667
r	ɾ	0.644
j	-	0.61
ˈũ	ˈũ	0.6
ã	ã	0.6
n	ŋ	0.596
ə	ɔ	0.571
ˈi	ˈi	0.55
s_#>	#>	0.538
ˈy	ˈy	0.529
ˈɔ_j	ˈɛ	0.5
ˈɔ_j	ˈu	0.5
r_t	ˈe_ʀ	0.5
r_t	ʀ	0.5
e	e	0.5
e	-	0.5
ˈɛ	ˈɛ	0.462
s_#>	s_#>	0.462
ˈe	ˈe	0.429
#>	e_#>	0.429
ã	a	0.4
w	w	0.368
ˈe	ˈa	0.357
r	ʀ	0.356
ə	e	0.347
n	n	0.346
ˈĩ	ˈi	0.333
ũ	ũ	0.333
w	-	0.316
ˈɔ	ˈe	0.312
ˈi	j_ˈe	0.3
ʎ	w	0.286
ˈɔ	w_ˈe	0.281
ˈũ	w_ˈẽ	0.267
ˈy	ɥ	0.235
ˈe	-	0.214
#>	ɔ_#>	0.214
#>	w_#>	0.214
w	ɥ	0.211
t	ʧ	0.211
ˈɛ	ˈe	0.205
j	j	0.186
ˈẽ	ˈe	0.176
ˈã	ˈa	0.176
v	b	0.172
ˈi	-	0.15
#>	j_#>	0.143
ˈũ	w	0.133
ˈɛ	ˈa	0.128
ʤ	-	0.125
ˈy	ˈu	0.118
ˈy	ɥ_ˈe	0.118
ˈẽ	-	0.118
s	e	0.111
w	ˈe_k	0.105
ˈɛ	ˈa_j	0.103
ˈɔ	ˈɛ	0.094
ˈɔ	ˈa	0.094
ˈɔ	w	0.094
ˈa	-	0.083
l	w	0.081
ˈɔ	ˈa_w	0.062
ˈɔ	-	0.062
m	n	0.059
n	-	0.058
p	-	0.056
l	lː	0.054
l	-	0.054
ˈɛ	w	0.051
ˈɛ	j	0.051
j	ˈɛ	0.051
j	ˈe	0.051
