Italian	Latin	probability
b	b	1.0
bː	b_ʊ	1.0
f	f	1.0
m	m	1.0
rː	rː	1.0
s	s	1.0
t	t	1.0
u	-	1.0
w	kʷ	1.0
z	s	1.0
ŋ	ŋ	1.0
ʃː	s_k	1.0
ʎː	lʲ_i	1.0
ʤː	ɡ	1.0
ʦ	t	1.0
ʦː	t	1.0
e	ɛ̃ː	0.361
lː	lʲː	0.971
v	w	0.891
ˈo	ˈʊ	0.381
i	ɛ	0.272
j	i	0.162
k	k	0.912
p	p	0.972
ɲː	n_e	0.072
ʤ	j	0.122
ˈe	ˈɪ	0.392
d	d	0.883
l	ɫ	0.633
sː	sː	0.873
tː	t	0.183
tː	k_t	0.343
ɲː	ɡ_n	0.213
ɲː	n	0.33
ʧː	t	0.063
ˈi	ˈiː	0.893
ˈɛ	ˈɛ	0.913
kː	kː	0.594
n	n	0.934
nː	n	0.324
r	r	0.954
tː	tː	0.324
ˈe	ˈeː	0.454
ˈɔ	ˈɔ	0.784
j	-	0.095
l	r	0.05
o	oː	0.055
o	ʊ̃ː	0.75
ˈa	ˈaː	0.45
ˈo	ˈɔ	0.15
a	i_ãː	0.066
j	ɫ	0.546
kː	k_ʊ	0.406
l	lʲ	0.06
v	b	0.066
ʧ	k	0.976
ˈu	ˈʊ	0.186
ˈɔ	ˈau̯	0.086
a	a	0.147
l	l	0.257
nː	<#_h	0.137
sː	s	0.127
ɡ	ɡ	0.587
ɲː	<#_h	0.187
ʧː	-	0.937
ˈo	ˈoː	0.47
d	t	0.08
j	ʊ_ɫ	0.08
j	l	0.108
o	ʊ	0.058
ɲː	ŋ_n	0.198
ʤ	ɡ	0.878
ˈa	ˈa	0.478
ˈu	ˈuː	0.738
a	ãː	0.679
e	ɛ	0.489
i	eː	0.09
i	iː	0.29
i	ɪ	0.349
nː	nː	0.539
o	ɔ	0.059
tː	p_t	0.149
ɡ	k	0.399
ˈi	ˈɪ	0.069
ˈɔ	ˈʊ	0.069
ˈɛ	-	0.059
