Gothic	Swabian	probability
#>	#>	0.987
<#	<#	1.0
<#_h	<#	1.0
a	a	0.527
a	ʌ	0.255
a	e	0.082
a	-	0.054
a	ɪ	0.054
a_#>	#>	1.0
aː	-	1.0
b	b	1.0
d	d	1.0
e	-	0.241
f	f	0.881
f	b	0.105
h	h	0.555
h	x	0.286
h	ɡ	0.062
h	ŋ	0.054
i	-	1.0
iː	-	1.0
j	j	0.437
j	-	0.187
j	ʁ	0.142
j	ˈae̯	0.096
j_a	a	1.0
k	kʰ	0.326
k	ç	0.326
k	-	0.215
k	ɡ	0.089
k_#>	#>	1.0
kʷ	ʁ	0.491
l	l	1.0
lː	l	0.667
lː	e	0.333
m	m	1.0
n	n	0.679
n	-	0.282
n_#>	#>	1.0
n_s	s	1.0
nː	ˈɔː	0.491
oː	-	0.32
oː	a	0.242
oː	ʌ	0.242
oː	ˈao̯	0.148
oː_#>	#>	1.0
p	f	0.776
p	b̥͡f	0.12
p_s	f	0.491
r	ʕ	0.444
r	ʁ	0.438
r	-	0.072
r_#>	#>	1.0
s	-	0.607
s	s	0.222
s	ʃ	0.139
s_k	ʃ	1.0
t	ʦ	0.374
t	d	0.269
t	s	0.173
t	-	0.103
t_s	d	1.0
u	-	0.686
u	ʌ	0.113
u	a	0.088
u	ɐ	0.086
w	ʋ	0.782
w	-	0.136
w	ˈi	0.078
x_s	ɡ	1.0
z	-	0.183
z	ʃ	0.183
ð	d	0.699
ð	-	0.209
ŋ	ŋ	0.53
ŋ	n	0.461
ŋ_ɡ	ŋ	1.0
ɔː	-	1.0
ɡ	ɡ	0.872
ɡ	-	0.121
ɡʷ	-	0.241
ɡːʷ	-	0.491
ɣ	ɡ	1.0
ʍ	ʋ	0.594
ʍ	-	0.392
ˈa	ˈa	0.639
ˈa	ˈɛ	0.107
ˈa	ˈaː	0.099
ˈa_n	ˈaː	1.0
ˈeː	ˈɔː	0.608
ˈeː	ˈo	0.37
ˈi	ˈi	0.327
ˈi	ˈe	0.124
ˈi	ˈɪ	0.124
ˈi	-	0.1
ˈi	ˈɛ	0.092
ˈi	ˈeː	0.08
ˈi	ˈɛː	0.08
ˈiu̯	ˈiə̯	0.32
ˈiu̯	ˈəi̯	0.32
ˈiu̯	ˈae̯	0.148
ˈiu̯	ˈiː	0.1
ˈiː	ˈəi̯	0.646
ˈiː	ʌ	0.253
ˈiː	ˈae̯	0.06
ˈoː	ˈuə̯	0.549
ˈoː	ˈɔə̯	0.215
ˈoː	ˈuː	0.098
ˈoː	ˈəi̯	0.058
ˈu	ˈo	0.528
ˈu	ˈoː	0.098
ˈu	ˈu	0.074
ˈu	ˈaː	0.062
ˈu	ˈao̯	0.062
ˈu	ˈae̯	0.061
ˈu	ˈi	0.059
ˈu	ˈɔ	0.059
ˈuː	ˈao̯	0.579
ˈuː	ˈo	0.209
ˈuː	ˈuː	0.209
ˈɔ	ˈɔ	0.306
ˈɔ	ˈo	0.232
ˈɔ	ˈoː	0.215
ˈɔ	ˈao̯	0.106
ˈɔː	ˈao̯	0.424
ˈɔː	ˈoː	0.267
ˈɔː	ˈeː	0.202
ˈɔː	ˈɔ	0.075
ˈɛ	ˈɛ	0.367
ˈɛ	ˈe	0.153
ˈɛ	ˈeː	0.144
ˈɛ	ˈeə̯	0.101
ˈɛ	ˈɛː	0.08
ˈɛ	ˈʌ	0.073
ˈɛː	ˈɔe̯	0.506
ˈɛː	ˈae̯	0.154
ˈɛː	ˈeː	0.154
ˈɛː	ˈa	0.073
ˈɛː	ˈɛ	0.073
ˈɛː_n	ˈɔe̯	0.491
β	b	0.634
β	-	0.222
β	p͡f	0.069
θ	d	0.805
θ	-	0.129
θ	t	0.056
