Taiwanese Hokkien	Taiwanese Hokkien	probability
⁵⁵	²⁴	1.0
⁵³	²¹³	1.0
⁵	⁵	1.0
⁴⁴	⁴²	1.0
ʨʰ	-	1.0
ʦʰ	ʦʰ	1.0
ɤ	w_o	1.0
ɡ	nʲ	1.0
ɕ_j	s	1.0
ɔ̃	o	1.0
ŋ	ŋ	1.0
¹¹_#>	³⁵_#>	1.0
¹¹	²¹³	1.0
³²	⁵	1.0
²³	³⁵	1.0
²²	¹¹	1.0
w̃	ɔ	1.0
w_e	i	1.0
w_a	a	1.0
t̚	t̚	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
n	n	1.0
b	m	1.0
a_w	a_w	1.0
a_j	z̩	1.0
<#_ɡ	<#	1.0
<#_l_i	<#_ɵ	1.0
<#_k	<#	1.0
<#_i	<#_i	1.0
<#_h	<#	1.0
³³	¹¹	0.857
ɔ	u	0.75
l	l	0.75
kʰ	kʰ	0.75
j	j	0.696
m	n	0.667
e	a	0.667
ã	n	0.667
²⁴	³⁵	0.647
ʨ	s	0.6
ɪ	u	0.6
i	i	0.6
h	f	0.6
⁴	⁵	0.556
k̚	ʔ	0.556
ʔ	ʔ	0.5
ɕ	ɕ	0.5
ɕ	s	0.5
w	w	0.5
s	ɕ	0.5
s	-	0.5
p	p	0.5
⁴	²	0.444
o	ɛ_w	0.444
k̚	t̚	0.444
<#	<#_s	0.444
ʦ	ʦ	0.429
ŋ̍	ɔ_ŋ	0.417
k	ʨ	0.417
ʨ	ʦ	0.4
ɪ	ɛ	0.4
h	h	0.4
²⁴	²⁴	0.353
a	ɛ	0.35
a	a	0.35
ŋ̍	n	0.333
o	ɔ	0.333
m	m	0.333
k	k	0.333
ã	a_ŋ	0.333
<#	<#_w	0.333
u	u	0.312
ʔ	t̚	0.3
p	f	0.3
ʦ	ʨʰ_ɥ	0.286
ʦ	s	0.286
t	tʰ	0.273
i	z̩	0.267
ɔ	ɔ	0.25
ŋ̍	ɵ_n	0.25
u	y	0.25
l	nʲ	0.25
kʰ	-	0.25
k	ʨʰ	0.25
o	-	0.222
<#	<#_ŋ	0.222
ʔ	ɵ_t̚	0.2
w	ɵ	0.2
p	pʰ	0.2
a	u	0.2
u	ɨ	0.188
u	-	0.188
t	ʦʰ	0.182
t	ʦ	0.182
t	t	0.182
t	-	0.182
j	-	0.174
e	ɨ_j	0.167
e	ɥ	0.167
w	a	0.15
w	-	0.15
³³	⁴²	0.143
i	ɨ	0.133
j	a	0.13
a	j_u	0.1
u	e	0.062
