Logudorese	Romansch	probability
d	d	1.0
f	f	1.0
l	l	1.0
m	m	1.0
nː	n	1.0
p	p	1.0
rː	r	1.0
sː	-	1.0
ŋ	ŋ	1.0
ɖː	l	1.0
o	u	0.401
r	r	0.761
ʣ	ʎ	0.841
ˈi	ˈɛ	0.101
ˈo	ˈuː	0.121
ˈo	ˈu	0.381
ˈu	ˈi	0.11
β	-	0.1
e	r	0.142
k	k	0.2
k	-	0.292
n	-	0.222
u	i	0.112
ð	t	0.322
ɣ	-	0.852
ˈa	ˈaː	0.332
ˈe	ˈe	0.072
ˈe	ˈiə̯	0.112
ˈo	ˈɛ	0.072
ɡ	-	0.283
ˈe	ˈeː	0.073
ˈe	ˈɛ	0.363
ˈi	ˈa_j	0.233
ˈi	ˈi	0.253
ˈi	ˈiː	0.253
s	s	0.664
u	-	0.34
z	s	0.84
ˈo	ˈɔː	0.204
a	-	0.115
i	ə	0.285
i	-	0.715
ˈo	ˈɔ	0.155
b	ɡ	0.066
b	b	0.296
s	ʃ	0.336
z	-	0.16
ˈa	ˈa_w	0.126
ˈi	ˈe	0.16
ˈu	ˈiː	0.136
ˈu	ˈu	0.706
a	ə	0.857
e	ə	0.357
e	-	0.47
t	t	0.77
ɡ	ɡ	0.717
b	v	0.638
k	ʨ	0.318
n	n	0.778
ð	d	0.678
ɣ	ɡ	0.058
ˈa	ˈɔ	0.148
ˈa	ˈa	0.358
k	ʧ	0.19
o	-	0.599
r	l	0.179
t	ʨ	0.199
u	w	0.549
ɣ	ʥ	0.09
ʣ	-	0.159
ˈe	ˈɛː	0.089
ˈe	ˈa_j	0.289
β	v	0.9
