Dutch	West Frisian	probability
b	b	0.963
d	d	0.67
d	t	0.192
d	ʦ	0.054
d	-	0.053
f	f	0.584
f	-	0.409
j	j	1.0
k	k	0.882
k	ʦ	0.118
m	m	1.0
n	n	0.655
n	-	0.341
n_t	n	1.0
p	p	1.0
s	s	0.797
s	s_k	0.165
t	t	0.95
v	f	0.771
v	-	0.152
v	v	0.074
w	j	0.5
w	ˈiə̯	0.5
z	s	0.816
z	ɕ	0.102
z	z	0.078
ŋ	ŋ	0.864
ŋ	χ	0.076
ŋ	n	0.062
ə	ə	0.769
ə	-	0.208
ɦ	h	1.0
ɪ	ɪ	0.574
ɪ	ə	0.287
ɫ	l	0.97
ɾ	r	0.92
ɾ	-	0.071
ɾ_s	s	0.125
ɾ_t	t	1.0
ʋ	ʋ	0.509
ʋ	v	0.38
ʋ	-	0.069
ˈaː	ˈiə̯	0.354
ˈaː	ˈaː	0.21
ˈaː	ˈø	0.097
ˈaː	ˈiː	0.064
ˈaː	ˈoə̯	0.055
ˈaː	ˈɛi̯	0.055
ˈaː	-	0.054
ˈaː	ˈɛ	0.054
ˈeː	ˈiə̯	0.229
ˈeː	ˈɪə̯	0.134
ˈeː	ˈaː	0.107
ˈeː	ˈeː	0.091
ˈeː	ˈi	0.072
ˈeː	-	0.052
ˈeː	ˈɔ	0.052
ˈeː	ˈɔː	0.052
ˈeː	ˈɪ	0.052
ˈi	ˈiə̯	0.407
ˈi	ˈɛ	0.149
ˈi	j_ˈɪ	0.13
ˈi	ˈɪə̯	0.101
ˈi	ˈeː	0.086
ˈi	ˈøə̯	0.086
ˈoː	ˈɪə̯	0.392
ˈoː	ˈuː	0.151
ˈoː	ˈeː	0.109
ˈoː	ˈuə̯	0.083
ˈoː	ˈoə̯	0.072
ˈoː	ˈy	0.054
ˈoː_t	ˈɪə̯	1.0
ˈoː_ɾ	ˈoə̯	1.0
ˈu	ˈuə̯	0.52
ˈu	ˈiə̯	0.233
ˈu	ˈoː	0.159
ˈu	ˈɵ	0.065
ˈu_d	ˈuə̯	1.0
ˈyː	j_ˈuə̯	1.0
ˈøː	ˈoə̯	1.0
ˈœy̯	ˈuː	0.792
ˈœy̯	ˈyː	0.201
ˈɑ	ˈa	0.473
ˈɑ	ˈɛː	0.154
ˈɑ	ˈaː	0.101
ˈɑ	ˈɔː	0.086
ˈɑ	ˈɪə̯	0.069
ˈɑu̯	ˈɔː	0.715
ˈɑu̯	ˈɔu̯	0.28
ˈɔ	ˈɔ	0.59
ˈɔ	ˈoə̯	0.12
ˈɔ	ˈuː	0.083
ˈɔ	ˈu	0.082
ˈɔ	ˈyː	0.064
ˈɛ	ˈɪ	0.272
ˈɛ	ˈa	0.164
ˈɛ	ˈɛ	0.164
ˈɛ	j_ˈɛ	0.14
ˈɛ	ˈɛi̯	0.121
ˈɛ	ˈɔ	0.106
ˈɛi̯	ˈiː	0.439
ˈɛi̯	ˈi	0.279
ˈɛi̯	ˈɛ_j	0.112
ˈɛi̯	j	0.064
ˈɛi̯	ˈɛi̯	0.062
ˈɪ	ˈɪ	0.555
ˈɪ	ˈi	0.183
ˈɪ	j_ˈɔ	0.074
ˈɪ	ˈiː	0.066
ˈɪ	ˈɛi̯	0.066
ˈɪ	ˈɔ	0.055
ˈʏ	ˈɪ	0.701
ˈʏ	ˈɛː	0.158
ˈʏ	ˈø	0.069
χ	χ	0.365
χ	ɡ	0.274
χ	-	0.128
χ	k	0.11
χ	ɣ	0.1
