Sassarese	Sassarese	probability
β	β	1.0
ˈa_ɬ	ˈo	1.0
ʧː	x	1.0
ʧ	ɟ͡ʝ	1.0
ʦː	θ	1.0
ʦ	θ	1.0
ʤː	-	1.0
ʒ	-	1.0
ʎː	x	1.0
ɮ	-	1.0
ɬ_t	ɾ_t	1.0
ɬ	s	1.0
ŋ	ŋ	1.0
z	s	1.0
x	s_k	1.0
w	w	1.0
v	b	1.0
u_#>	#>	1.0
t_u	t_o	1.0
t	t	1.0
r_i_#>	l_#>	1.0
r_a	ɾ_a	1.0
pː	s_p	1.0
p_j	ɟ͡ʝ	1.0
o_j	o_s	1.0
o	o	1.0
n_i_#>	n_#>	1.0
m	m	1.0
l	l	1.0
kː	k	1.0
k_r	k_ɾ	1.0
k	k	1.0
i_#>	#>	1.0
fː	f	1.0
f	f	1.0
e	-	1.0
bː	β	1.0
a_r	ɾ	1.0
a_n	a_n	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_θ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_i	<#_e	1.0
<#_f	<#	1.0
<#_a	<#_o	1.0
<#	<#_ɡ	1.0
#>	ɾ_#>	1.0
n	n	0.9
b	b	0.895
a	a	0.895
p	p	0.893
u	o	0.881
ˈa	ˈa	0.869
ˈo	ˈo	0.833
ˈu	ˈu	0.75
ɲː	ɲ	0.75
ɡː	ɣ	0.75
r	ɾ	0.725
sː	s	0.714
ˈɔ	w_ˈe	0.676
mː	m_b	0.667
ˈi	ˈi	0.632
ˈe	ˈe	0.625
u_r	o_l	0.6
rː	ɾ_n	0.6
dː	ð	0.6
ɡ	ɣ	0.571
d	d	0.556
ʃː	θ	0.5
ʃː	-	0.5
xː	ɾ_k	0.5
xː	s_k	0.5
nː	ɲ	0.5
nː	-	0.5
i	e	0.475
tː	ʧ	0.462
ʤ	x	0.444
ɡ	ɡ	0.429
ˈɛ	ˈe	0.417
ˈɛ	j_ˈe	0.417
u_r	l	0.4
rː	ˈe_r	0.4
tː	t	0.385
j	ɾ	0.385
j	j	0.385
ʤ	-	0.333
mː	m	0.333
ˈi	ˈe	0.316
d	-	0.296
sː	-	0.286
r	l	0.275
ˈu	ˈo	0.25
ɲː	n_θ	0.25
ɡː	-	0.25
dː	ʝ	0.25
ˈɔ	ˈo	0.243
j	l	0.231
ʤ	ɟ͡ʝ	0.222
ˈe	j	0.208
ˈo	w_ˈe	0.167
ˈe	j_ˈe	0.167
tː	ð	0.154
dː	-	0.15
d	ð	0.148
p	β	0.107
b	-	0.105
n	-	0.1
i	i	0.085
ˈɛ	ˈi	0.083
ˈɛ	j	0.083
ˈɔ	ˈu	0.081
a	e	0.079
i	o_s	0.068
ˈa	ˈe	0.066
ˈi	-	0.053
i	ˈe	0.051
i	ð	0.051
i	o	0.051
i	l	0.051
i	j	0.051
i	-	0.051
