Standard Croatian	Old Church Slavonic	probability
̂	ˈ	1.0
ʨ	ʃ_t	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʎ	lʲ	1.0
ʋ	v	1.0
ɲ	nʲ_ɪ	1.0
ɡ̊	ɡ	1.0
ɡ	ɡ	1.0
z	z	1.0
x	x	1.0
t_a	t_ɑ	1.0
t	t	1.0
s_a	s	1.0
s	s	1.0
r̩ː	r_ɪ	1.0
r̩	r_ɪ	1.0
p	p	1.0
oː	ɔ	1.0
n	n	1.0
m	m	1.0
l_o	l_ɔ	1.0
l	l	1.0
j_eː	æ	1.0
j	-	1.0
d	d	1.0
b	b	1.0
a_r	r_ʊ	1.0
a_m	m_ɪ	1.0
r	r	0.951
o	ɔ	0.915
k	k	0.906
e	ɛ	0.801
̌	-	0.791
aː	ɑ	0.766
iː	i	0.717
i	i	0.637
j_e	æ	0.622
eː	ɛ	0.531
eː	ɛ̃	0.469
uː	ɔ̃	0.432
a	ɑ	0.404
j_e	æ_ˈ	0.378
u	l_ɪ	0.339
i	ɯ	0.3
iː	ɯ	0.283
uː	u	0.259
u	ɔ̃	0.237
u	u	0.237
aː	-	0.234
a	ɑ_ˈ	0.225
̌	ˈ	0.209
u	v_ʊ	0.188
uː	l_ʊ	0.181
uː	l	0.128
e	ɛ̃	0.124
a	ɪ	0.117
a	ʊ	0.109
a	-	0.101
k	-	0.094
o	l_ʊ	0.085
e	-	0.075
i	ɯ_ˈ	0.063
