Catalan	Aromanian	probability
j	p	1.0
z	-	1.0
ð	t	1.0
ɡ	ɡ	1.0
b	j	0.281
ə	ə	0.451
ɲ	ɲ	0.251
ˈa	ˈa	0.441
ˈe	ˈi	0.31
ˈu	ˈo	0.141
ˈɔ	ˈa	0.101
ˈɔ	ˈo	0.41
ˈɛ	ˈe	0.281
d	-	0.092
f	ç	0.532
l	-	0.12
u	ˈo	0.082
u	u	0.72
ŋ	n	0.802
ə	i	0.272
ʎ	k_ʎ	0.102
ʒ	ʣ	0.392
ˈe	e̯ˈa	0.332
ˈo	ˈu	0.952
i	i	0.933
l	r	0.423
m	m	0.763
r	r	0.763
s	s	0.383
t	t	0.463
w	-	0.053
ʎ	l	0.623
ˈɔ	o̯ˈa	0.213
ˈɛ	e̯ˈa	0.263
b	v	0.354
n	n_t	0.124
ɣ	ɡ	0.184
ˈi	ˈi	0.774
ˈɛ	i	0.054
k	k	0.955
m	ɲ	0.195
t	t_u	0.105
t	t_i	0.245
ə	u	0.05
ə	-	0.105
ɣ	-	0.145
ɾ	r	0.825
ʃ	ʃ_t	0.955
ˈɔ	ˈu	0.275
b	b	0.206
l	ʎ	0.176
n	m_t	0.086
t	-	0.06
w	i	0.06
ˈi	ˈi_r	0.086
ˈi	ˈu	0.106
ˈu	o̯ˈa	0.076
ˈu	<#_a	0.116
β	b	0.196
β	-	0.586
i	-	0.067
p	p	0.707
r	a_r	0.237
s	-	0.177
w	w	0.407
ɣ	k	0.67
ʎ	ʎ	0.157
ˈa	ˈa_r	0.137
ˈu	ˈu	0.667
ˈɛ	ˈa	0.097
ˈɛ	ˈi	0.247
b	-	0.118
f	f	0.468
l	l	0.28
t	j	0.098
u	-	0.198
ŋ	ŋ	0.198
ɾ	-	0.08
ʎ	-	0.118
ˈɛ	o̯ˈa	0.058
β	p	0.218
d	d	0.399
d	ʣ	0.509
n	n	0.79
p	t	0.079
p	k	0.179
s	ʃ	0.149
s	ʦ	0.199
w	ʦ_i	0.479
ɲ	n	0.749
ʒ	-	0.219
ʒ	ʤ	0.389
ˈa	ˈɨ_n	0.079
ˈa	ˈɨ	0.239
ˈe	ˈa	0.109
ˈe	ˈe	0.249
