Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈœː	-	1.0
ˈœ	-	1.0
ˈøː	ˈœ	1.0
ˈoː_æ	ɐ	1.0
ˈoː	-	1.0
ˈeː	-	1.0
ˈaɪ̯	-	1.0
ˈa_n	ˈœ_n	1.0
ɾ	ɾ	1.0
ɪ	ɪ	1.0
ɣ̊	-	1.0
ɣ	ç_ə	1.0
ɡ̊	-	1.0
z̥_#>	s_#>	1.0
x	x	1.0
w	v	1.0
v̥	f	1.0
tʰ	tʰ	1.0
s	s	1.0
r_ˈʏ	r	1.0
pʰ	pʰ	1.0
p	p	1.0
n_n	nʲ	1.0
l_d̥	lʲ	1.0
kʰ	kʰ	1.0
j	j	1.0
h	h	1.0
f	f	1.0
b	b	1.0
ae̯	aɪ̯	1.0
<#_ˈa	<#_ˈɔː	1.0
<#_v	<#	1.0
#>	t_#>	1.0
z	s	0.947
m	m	0.931
t	t	0.923
r	r	0.917
v	v	0.913
l	l	0.896
k	k	0.812
ŋ	ŋ	0.786
æ	ɐ	0.784
ˈʏ	ˈɛ	0.625
ç	ç	0.625
n	n	0.615
d	d	0.6
ɡ	ɡ	0.571
ˈa	ˈa	0.55
ʃ	s_k	0.522
ˈyː	ˈʏ	0.5
ˈyː	-	0.5
ˈiː	ˈɪ	0.5
ʃ	s	0.478
ˈɒː	-	0.467
d̥	ɾ	0.462
ˈuː	ˈʏ	0.444
ˈɔʏ̯	ˈɛ	0.429
ɡ	-	0.429
ˈɪ	ˈɪ	0.407
ˈɛ	ˈɛ	0.4
ˈɛ	-	0.4
ˈɒː	ˈɔː	0.4
ˈʊ	ˈʊ	0.385
d̥	-	0.385
ˈʏ	ˈœ	0.375
ˈɪ	ˈɛ	0.333
ˈɛː	ˈɛ	0.333
ˈɛː	ˈiː	0.333
ˈɛː	ˈeː	0.333
ˈaː	ˈaː_r	0.333
ˈaː	ˈa_x	0.333
ˈaː	-	0.333
ˈae̯	ˈiː	0.318
ˈʊ	ˈʏ	0.308
ˈɔ	ˈɔ	0.3
ˈɔ	-	0.3
ˈaʊ̯	ˈoː	0.292
ˈɔʏ̯	ˈeː	0.286
ˈɔʏ̯	-	0.286
ˈuː	ˈuː	0.278
d	tʰ	0.267
ˈiː	ˈiː	0.25
n	-	0.244
ˈae̯	ˈɛ	0.227
ˈae̯	ˈeː	0.227
ˈae̯	-	0.227
ŋ	-	0.214
ˈɛ	ˈɔ	0.2
ˈɔ	ˈɔː	0.2
ˈɔ	ˈœ	0.2
k	-	0.188
ˈuː	ˈyː	0.167
ˈaʊ̯	ˈɔa̯	0.167
ˈʊ	ˈœ	0.154
ˈʊ	-	0.154
d̥	t	0.154
ˈiː	-	0.15
ˈa	-	0.15
ˈɪ	ˈʊ	0.148
ˈɒː	ˈuː	0.133
ˈaʊ̯	ˈʊ	0.125
ˈaʊ̯	ˈɔ	0.125
ˈaʊ̯	-	0.125
ç	ŋ	0.125
ç	x	0.125
ç	-	0.125
ˈɪ	-	0.111
ˈuː	-	0.111
ˈiː	ˈʏ	0.1
ˈa	ˈʏ	0.1
ˈa	ˈʊ	0.1
ˈa	ˈeː	0.1
d	-	0.1
v	-	0.087
ˈaʊ̯	ˈœ	0.083
ˈaʊ̯	ˈuː	0.083
r	-	0.083
æ	ɐ_x	0.081
æ	-	0.081
t	-	0.077
n	ə	0.077
m	ə_f	0.069
l	ə_l	0.062
æ	r_ə	0.054
z	z	0.053
