Asturian	Megleno-Romanian	probability
f	f	1.0
i	-	1.0
o	u	1.0
r	r	1.0
t	t	1.0
ð	t	1.0
ɟ͡ʝ	j	1.0
ɣ	k	1.0
ɲ	n	1.0
ʧ	p_t	1.0
ˈu	ˈu	1.0
d	z	0.161
ŋ	j_n	0.121
ʃ	ʒ	0.331
ˈo	ˈu	0.81
β	p	0.091
β	-	0.881
k	k	0.862
l	r_i	0.292
m	-	0.152
s	s	0.852
w	ˈo	0.182
w	-	0.482
ɡ	ɡ	0.662
θ	ʦ	0.422
b	b	0.413
j	i	0.233
l	l	0.303
n	n	0.873
p	kʲ	0.083
ˈi	ˈu	0.083
u	u	0.424
ɾ	-	0.124
ɾ	r	0.744
ʎ	l	0.854
ˈe	e̯ˈa	0.164
θ	ʃ	0.174
a	ə	0.745
e	-	0.185
l	a	0.05
l	r	0.355
w	o̯ˈa	0.335
ˈa	ˈɔ	0.345
ˈa	ˈa	0.615
ˈe	ˈa	0.295
ʎ	p_l	0.146
b	v	0.587
e	i	0.617
j	-	0.767
n	-	0.127
p	p	0.917
u	i	0.227
u	ə	0.27
ˈi	ˈi	0.917
θ	ʧ	0.057
θ	s	0.347
a	ˈa	0.088
a	-	0.138
k	ʦ	0.138
m	m	0.848
s	-	0.068
s	ʃ	0.08
ɡ	-	0.338
ʝ	k_ʎ	0.98
d	d	0.839
e	ə	0.199
ŋ	n	0.879
ɾ	r_i	0.119
ʃ	ʃ	0.669
ˈe	ˈi	0.19
ˈe	ˈe	0.249
ˈo	ˈo	0.19
