Western Lombard	Asturian	probability
i	e	1.0
p	p	1.0
w	w	1.0
z	θ	1.0
ʃ	θ	1.0
ˈaː	ˈa	1.0
ˈeː	ˈe	1.0
ˈĩː	ˈi_ŋ	1.0
ˈø	ˈe	1.0
ˈøː	ˈe	1.0
ˈɛ̃ː	j_ˈe	1.0
d	ð	0.431
f	-	0.091
s	s	0.611
t	ʧ	0.051
ʦ	-	0.281
ˈa	ˈa_ɾ	0.221
ˈu	w_ˈe	0.081
ˈu	ˈo	0.841
ˈyː	ˈu	0.131
ˈɛ	ˈe	0.21
ˈɛ	j_ˈe	0.71
b	b	0.862
e	-	0.22
n	ɲ	0.052
t	ð	0.062
t	d	0.112
ɲ	ɲ	0.282
ˈe	ˈe_j	0.062
ˈũː	ˈo_ŋ	0.472
ˈɔ	ˈo	0.362
a	e	0.053
e	ɾ_e	0.093
l	l_u	0.093
l	ʎ	0.533
s	θ	0.23
u	u	0.233
ʋ	b_j	0.083
ʤ	ʝ	0.053
ʤ	-	0.133
ʧ	-	0.23
ˈãː	ˈa_n	0.333
ˈi	ˈe	0.163
ˈy	ˈo	0.053
ˈy	ˈu	0.843
d	-	0.094
j	ʝ_u	0.264
l	l	0.24
r	r	0.134
ʤ	ʃ	0.814
ʦ	t	0.224
ʧ	θ	0.434
ˈãː	ˈa_ŋ	0.554
ˈe	j_ˈe	0.064
ˈe	ˈe	0.874
ˈũː	ˈu	0.244
ˈũː	ˈo_n	0.284
ˈy	u	0.104
ˈɔ	w_ˈe	0.544
f	β_e	0.055
f	f	0.795
n	n_w	0.05
r	ɾ_u	0.105
ɡ	ɣ	0.385
ʦ	θ	0.495
ˈa	ˈa	0.635
ˈẽː	ˈi	0.5
ˈẽː	ˈe	0.5
ˈɔ	-	0.095
l	ʎ_u	0.086
ˈãː	ˈa	0.076
e	e	0.687
t	n_t	0.217
u	o	0.767
ɡ	ɡ	0.537
ʋ	b	0.537
ʧ	ʝ_u	0.257
b	β	0.138
f	β	0.058
j	l	0.178
j	j	0.558
k	k	0.898
n	n	0.898
r	ɾ	0.728
t	t	0.498
ɡ	<#_ɡ	0.078
ɲ	n	0.568
ʋ	β	0.38
ˈi	ˈi_ɾ	0.138
ˈu	ˈu	0.078
ˈɛ	ˈe_ɾ	0.08
a	u_#>	0.09
a	a	0.779
d	d	0.439
m	m_e	0.069
m	m	0.899
s	-	0.059
t	t_e	0.059
ɲ	ɲ_a	0.149
ˈa	ˈe	0.079
ˈi	ˈi	0.699
ˈyː	ˈo	0.869
