Neapolitan	Spanish	probability
a	a	0.932
b	b	0.601
b	-	0.217
b	β	0.181
bː	k	1.0
d	d	0.787
d	-	0.202
dː	-	1.0
e	e	0.686
e	j	0.227
e	ˈe	0.065
f	-	0.822
f	f	0.178
i	e	0.397
i	ˈi	0.2
i	i	0.2
j	j	0.314
j	-	0.308
j	ˈi	0.1
j	ʝ	0.062
j	l	0.058
j	ɟ͡ʝ	0.051
k	k	0.608
k	ɣ	0.218
k	ɟ͡ʝ	0.144
kː	x	0.706
kː	k	0.209
kː	ɣ	0.085
l	l	0.977
lː	ʝ	0.3
lː	l	0.296
lː	ɾ	0.274
lː	-	0.13
m	m	1.0
mː	m	1.0
n	n	0.965
nː	ɲ	0.726
nː	n	0.274
o	o	1.0
p	p	0.803
p	β	0.197
r	ɾ	0.358
r	-	0.246
r	r	0.246
r	a_ɾ	0.128
rː	r	1.0
s	s	0.949
s	θ	0.051
sː	l	0.511
sː	s	0.213
sː	β	0.111
sː	ʝ	0.097
sː	x	0.068
t	ð	0.539
t	t	0.448
tː	ʧ	0.532
tː	t	0.377
tː	ð	0.091
u	o	0.652
u	u	0.121
u	-	0.11
u	i	0.071
v	b	0.649
v	β	0.326
w	w	0.738
w	-	0.178
z	s	1.0
ŋ	ŋ	1.0
ə	o	0.384
ə	a	0.287
ə	-	0.21
ə	e	0.108
ɡ	ɡ	0.567
ɡ	ɣ	0.433
ɲː	ɲ	0.661
ɲː	-	0.154
ɲː	m	0.137
ɾ	ɾ	0.693
ɾ	-	0.244
ɾ	l	0.054
ʃ	θ	0.686
ʃ	e_s	0.173
ʃ	-	0.087
ʃː	θ	0.842
ʃː	t	0.082
ʃː	ɡ	0.076
ʎː	x	0.813
ʎː	β	0.187
ʤ	-	0.375
ʤ	θ	0.324
ʤ	x	0.271
ʤː	-	0.472
ʤː	ɾ	0.472
ʤː	β	0.056
ʦ	θ	1.0
ʦː	θ	1.0
ʧ	θ	1.0
ʧː	t	0.657
ʧː	k	0.343
ˈa	ˈa	0.916
ˈe	ˈe	0.885
ˈe	ˈi	0.066
ˈi	ˈe	0.544
ˈi	ˈi	0.394
ˈo	ˈo	0.622
ˈo	ˈu	0.134
ˈo	-	0.108
ˈo	w	0.107
ˈu	ˈu	0.448
ˈu	ˈo	0.439
ˈu	s_ˈo	0.097
ˈɔ	ˈe	0.715
ˈɔ	ˈo	0.241
ˈɛ	ˈe	0.728
ˈɛ	j	0.193
ˈɛ	e	0.068
