Megleno-Romanian	Spanish	probability
a	a	1.0
kʲ	p	1.0
u	o	1.0
v	b	1.0
w	-	1.0
ɡ	ɡ	1.0
ɲ	-	1.0
ʒ	x	1.0
ʧ	θ	1.0
ˈɔ	ˈa	1.0
b	b	0.401
d	-	0.11
n	n_o	0.101
n	n	0.71
p	β	0.221
ə	-	0.061
ʦ	θ	0.681
ˈa	ˈe	0.261
ˈi	ˈe	0.181
ˈu	ˈu	0.261
e̯ˈa	o_#>	0.322
s	s	0.942
ə	e	0.092
ˈi	-	0.092
ˈo	ˈo	0.32
ˈo	w_ˈe	0.602
b	β	0.333
k	ɣ	0.133
o̯ˈa	ˈo	0.743
p	p	0.583
ˈu	ˈe	0.063
j	j	0.664
k	-	0.054
l	-	0.294
m	m	0.954
z	d	0.474
ʃ	θ	0.834
ˈe	j_ˈe	0.234
i	o	0.125
p	β_o	0.125
t	t	0.45
ˈa	ˈa	0.645
ˈi	j_ˈe	0.25
i	-	0.066
i	ɾ_e	0.096
i	e	0.636
j	-	0.336
k	k	0.616
l	l	0.706
n	-	0.126
t	-	0.276
z	-	0.526
ʃ	s	0.166
ʎ	x	0.306
ʎ	-	0.606
ˈe	ˈe	0.766
b	-	0.267
i	a	0.077
k	ɣ_o	0.197
o̯ˈa	w	0.257
p	-	0.07
r	-	0.117
r	ɾ	0.807
t	ð	0.247
ˈi	ˈi	0.477
e̯ˈa	ˈe	0.678
ə	a	0.798
ʎ	l	0.088
ˈa	j_ˈe	0.058
ˈo	ˈe	0.078
ˈu	ˈo	0.638
d	d	0.89
ʦ	-	0.319
