Upper Sorbian	Macedonian	probability
β_ɪ	f	1.0
β	v	1.0
ˈɪ	ˈi	1.0
ˈɔ_ʀ	ˈr̩	1.0
ˈi	ˈi	1.0
ʧ_ˈɛ	t_ˈɛ	1.0
ʧ_#>	#>	1.0
ʦ	ʦ	1.0
ʤ	d	1.0
ʒ	ʒ	1.0
ʀʲ	r	1.0
ɲ	n	1.0
ɪ	-	1.0
ɦ	ɡ	1.0
ɥ	v	1.0
z	z	1.0
xʲ	-	1.0
x	k	1.0
w_ɪ	ɫ	1.0
w	ɫ	1.0
t	t	1.0
s	s	1.0
pʲ	p	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
kʲ_i	o_k	1.0
k	k	1.0
i	i	1.0
e	ˈɛ	1.0
d_w	ɫ	1.0
d	d	1.0
b	b	1.0
<#_x	<#	1.0
#>	ɛ_#>	1.0
a	a	0.895
ʧ	t	0.867
ˈe	ˈɛ	0.833
ʀ	r	0.812
ɔ	o	0.75
ɛ	ɛ	0.714
ˈo	ˈo	0.7
ˈa	ˈa	0.7
ˈu	ˈa	0.625
l	l	0.625
ˈɔ	ˈo	0.6
ʃ	ʃ	0.6
j	-	0.6
ˈɛ	ˈɛ	0.571
ˈɛ	ɛ	0.429
ʃ	r	0.4
j	j	0.4
ˈu	ˈu	0.375
l	ɫ	0.375
ˈo	ˈa	0.3
ˈa	ˈɛ	0.3
ɛ	ˈɛ	0.286
ɔ	ɛ	0.25
ʀ	ˈr̩	0.188
ˈe	-	0.167
ˈɔ	ˈɛ	0.16
ˈɔ	ˈa	0.16
ʧ	ɛ	0.133
a	ɛ	0.105
ˈɔ	u	0.08
