Aromanian	Emilian	probability
a	-	0.698
a	u	0.131
a	ˈɛ	0.13
b	b	0.473
b	-	0.446
b	w	0.05
d	d	0.983
e	-	0.575
e	l	0.425
e̯a	ˈiː	0.666
e̯a	-	0.334
e̯ˈa	ˈa	0.457
e̯ˈa	ˈiː	0.255
e̯ˈa	e	0.138
e̯ˈa	ˈɛ	0.069
f	f	0.954
i	-	0.739
i	e	0.121
j	v	0.835
j	-	0.165
k	k	0.497
k	ɡ	0.248
k	-	0.188
l	l	0.717
l	j	0.143
l	-	0.14
m	m	0.757
m	-	0.18
m	ŋ	0.062
n	n	0.458
n	ŋ	0.308
n	-	0.123
n	ɲ	0.073
o̯ˈa	ˈʌu̯	0.448
o̯ˈa	ˈɔː	0.237
o̯ˈa	ˈɔ	0.198
o̯ˈa	ˈo	0.062
o̯ˈa	ˈaː	0.056
p	p	0.729
p	v	0.128
p	k	0.103
r	r	0.692
r	l	0.122
r	-	0.11
s	s	0.986
t	t	0.502
t	-	0.277
t	d	0.104
u	-	0.547
u	u	0.153
u	e	0.148
u	a	0.084
v	v	0.774
v	-	0.226
w	v	0.698
w	-	0.206
w	l	0.097
z	v	1.0
ç	f	1.0
ŋ	ŋ	0.848
ŋ	-	0.152
ə	a	0.8
ə	-	0.111
ɡ	ɡ	0.35
ɡ	-	0.261
ɡ	ð	0.191
ɡ	b	0.102
ɡ	ʤ	0.097
ɨ	u	0.436
ɨ	ˈa	0.419
ɨ	a	0.145
ɲ	m	0.698
ɲ	ɲ	0.275
ʃ	s	0.664
ʃ	z	0.227
ʃ	-	0.097
ʎ	-	0.595
ʎ	ˈaː	0.135
ʎ	ˈɔː	0.117
ʎ	a	0.083
ʎ	j	0.069
ʣ	ð	0.588
ʣ	d	0.407
ʤ	ð	0.955
ʦ	θ	0.409
ʦ	-	0.192
ʦ	d	0.148
ʦ	z	0.096
ʦ	t	0.087
ʦ	k	0.068
ʧ	θ	0.72
ʧ	-	0.28
ˈa	ˈɛ	0.591
ˈa	ˈaː	0.208
ˈa	ˈɛː	0.112
ˈe	ˈɛ	0.373
ˈe	ˈa	0.282
ˈe	ˈiː	0.163
ˈe	-	0.097
ˈe	ˈɛː	0.085
ˈi	ˈe	0.222
ˈi	ˈæ	0.217
ˈi	ˈiː	0.186
ˈi	-	0.164
ˈi	ˈi	0.064
ˈi	ˈaː	0.052
ˈi	j	0.051
ˈo	ˈo	0.342
ˈo	ˈɔ	0.216
ˈo	ˈuː	0.152
ˈo	ˈɔː	0.118
ˈo	ˈʌ	0.063
ˈo	-	0.055
ˈo	ˈʌu̯	0.055
ˈu	ˈo	0.383
ˈu	ˈuː	0.173
ˈu	ˈʌu̯	0.09
ˈu	ˈaː	0.071
ˈu	ˈʌ	0.067
ˈu	ˈɔː	0.067
ˈu	ˈɔ	0.058
ˈə	ˈiː	0.514
ˈə	o	0.316
ˈə	a	0.17
ˈɨ	ˈa	0.67
ˈɨ	ˈaː	0.141
ˈɨ	ˈɛ	0.131
ˈɨ	ˈo	0.057
