Dutch	Dutch	probability
χ_#>	#>	1.0
ˈʏ	ˈɪ	1.0
ˈɪ_χ	ˈaɪ̯	1.0
ˈɛi̯_n	ˈaɪ̯_n	1.0
ˈɛi̯_#>	ˈiː_#>	1.0
ˈɛ_χ	ˈeɪ̯	1.0
ˈɔ_ɾ	ˈɜː	1.0
ˈɑu̯	ˈəʊ̯_ɫ	1.0
ˈɑ_ɫ	ˈɑː	1.0
ˈɑ_n	ˈuː	1.0
ˈøː	ˈəʊ̯	1.0
ˈyː	-	1.0
ˈoː_χ	ˈaɪ̯	1.0
ˈoː_ɾ	ˈɔː	1.0
ˈi_χ	ˈaɪ̯	1.0
ˈi_n	ˈe_n	1.0
ˈi_#>	ˈiː_#>	1.0
ˈeː_k	ˈiː_k	1.0
ʋ	w	1.0
ɪ	-	1.0
ɦ	h	1.0
ə_χ	ɪ	1.0
ə_ɾ	ə	1.0
ə_ɫ	ɫ	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z̥_#>	s_#>	1.0
z̥	z	1.0
z_ə	z	1.0
z	s	1.0
v̥_#>	f_#>	1.0
v̥	v	1.0
v_ə	v	1.0
t	t	1.0
s_χ	ʃ	1.0
s_#>	k_s_#>	1.0
m	m	1.0
k_ə	k	1.0
k_n	n	1.0
j	j	1.0
i	ˈiː	1.0
d_ˈoː	d_ˈe	1.0
b	b	1.0
<#_χ	<#_ɡ	1.0
<#_ˈɔ	<#_ˈɐ	1.0
<#_ɾ	<#_ɹ	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
v	f	0.893
ə	-	0.857
d̥	d	0.818
s	s	0.81
p	p	0.8
ˈɛi̯	ˈaɪ̯	0.727
ˈɪ	ˈɪ	0.684
ˈɛ_ɾ	ˈɑː	0.667
ɫ	l	0.638
d	d	0.585
ˈœy̯	ˈaʊ̯	0.583
n	-	0.542
ˈɑ_χ	ˈeɪ̯	0.5
ˈɑ_χ	ˈaɪ̯	0.5
ˈɑ_ɾ	ˈɔː	0.5
ˈɑ_ɾ	ˈɑː	0.5
n	n	0.458
ˈɑ	ˈæ	0.45
ɾ	ɹ	0.45
ˈi	ˈiː	0.417
k	k	0.37
ˈu	ˈiː	0.353
ˈɛ_ɾ	ɜː	0.333
ˈi	ˈɪ	0.333
ˈaː	-	0.32
d	θ	0.317
ˈɪ	ˈaɪ̯	0.316
ˈɔ	ˈɐ	0.316
ˈoː	ˈiː	0.304
ɫ	ɫ	0.298
k	kʰ	0.296
ˈɛi̯	ˈəʊ̯	0.273
ˈeː	ˈəʊ̯	0.273
χ	ʤ	0.267
ˈoː	ˈɐ	0.261
k	ʧ	0.259
ˈɛ	ˈɪ	0.25
ˈɛ	ˈe	0.25
ˈɛ	-	0.25
ˈɑ	ˈɑː	0.25
ˈœy̯	ˈɐ	0.25
ˈi	-	0.25
ɾ	ə	0.25
ˈaː	ˈiː	0.24
ˈaː	ˈeɪ̯	0.24
ˈeː	ˈe	0.227
ˈɔ	ˈɒ	0.211
ˈɔ	-	0.211
χ	-	0.2
p	pʰ	0.2
s	ʃ	0.19
ˈeː	ˈɪ	0.182
d̥	θ	0.182
ˈu	ˈʊ	0.176
ˈu	ˈɐ	0.176
ˈu	ˈuː	0.176
ˈœy̯	ˈaɪ̯	0.167
ˈɔ	ˈʊ	0.158
ˈeː	-	0.136
χ	ˈaɪ̯	0.133
χ	əʊ̯	0.133
χ	j	0.133
χ	f	0.133
ˈoː	ˈɪ	0.13
ˈoː	ˈe	0.13
ˈɛ	ˈɛ	0.125
ˈɛ	ˈæ	0.125
ˈaː	ˈe	0.12
ˈu	ˈaʊ̯	0.118
v	v	0.107
ˈɔ	ˈɔː	0.105
ˈɑ	ˈɒ	0.1
ˈɑ	ˈeɪ̯	0.1
ˈɑ	ˈe	0.1
ɾ	ˈɔː	0.1
d	ð	0.098
ə	ə	0.095
ˈeː	ˈiː	0.091
ˈeː	ˈe_ð	0.091
ˈoː	ˈəʊ̯	0.087
ˈoː	-	0.087
ˈaː	ˈɑː	0.08
ɾ	ˈɜː	0.075
ɾ	-	0.075
k	-	0.074
ɫ	-	0.064
