Min Bei	Min Bei	probability
⁵⁴	³³	1.0
ʦ	ʦ	1.0
ɥ_ŋ	n	1.0
œ_ɥ	y	1.0
œ	-	1.0
²⁴	²⁴	1.0
y_j	ɥ	1.0
w_a	a	1.0
u_j	a	1.0
pʰ	pʰ	1.0
o	-	1.0
m	m	1.0
l	l	1.0
i_ŋ	j_ẽ	1.0
e	ə_w	1.0
a_j	i	1.0
<#_ʦ	<#	1.0
<#	<#_w	1.0
#>	⁴¹_#>	1.0
ŋ	n	0.808
³³	¹³	0.793
w	w	0.786
kʰ	kʰ	0.75
²¹	⁴¹	0.735
e_j	i	0.714
p	p	0.7
tʰ	tʰ	0.667
k	ʨ	0.667
⁵⁵	²¹	0.615
ʦʰ	ʦʰ	0.6
i	z̩	0.545
s	s	0.538
t	ʦ	0.5
t	t	0.5
n	nʲ	0.5
a	a	0.481
ɔ	ə	0.476
s	ɕ	0.462
i	i	0.455
x	x	0.417
ʦʰ	ʨʰ	0.4
u	w	0.4
⁴²	²⁴	0.364
y	y	0.353
y	-	0.353
ɛ	a_j	0.333
x	ɸ	0.333
u	u	0.333
tʰ	t	0.333
k	k	0.333
p	ɸ	0.3
ɔ	a	0.286
e_j	ə	0.286
j	ə	0.278
j	j	0.278
j	-	0.278
⁴²	w_²⁴	0.273
ɛ	j	0.267
²¹	¹³	0.265
x	-	0.25
n	ʐ	0.25
n	l̃	0.25
kʰ	ʨʰ	0.25
⁵⁵	⁴⁵	0.231
a	ɒ	0.222
w	a	0.214
³³	⁴⁵	0.207
ɛ	ɤ	0.2
ɛ	-	0.2
ɔ	o	0.19
⁴²	²¹	0.182
⁴²	-	0.182
y	ə	0.176
j	j_ə	0.167
⁵⁵	-	0.154
u	o	0.133
u	-	0.133
y	ɥ	0.118
ŋ	-	0.115
a	ɤ	0.111
a	i	0.111
ŋ	ẽ	0.077
a	-	0.074
