Slovak	Proto-Slavic	probability
b	b	1.0
d	d	1.0
i	ŭ	1.0
l	l	1.0
r	r	1.0
v	v	1.0
z	z	1.0
ɟ	d	1.0
ʃ	ʒ	1.0
ʊ̯ˈɔ	ǒ	1.0
ʋ	v	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
ˈu	ûː	1.0
ˈæ	ẽ̂ː	1.0
a	a	0.341
m	m_ĭ	0.241
s	s_ŭ	0.21
ɲ	n	0.661
ˈɔ	ǒ	0.181
t	t_ŭ	0.242
ɫ	l_ŭ	0.132
ʎ	l	0.672
ˈa	ê	0.102
ˈa	ẽ	0.272
ˈɛ	ě	0.072
ˈɛ	ê	0.092
ˈɛ	e	0.492
a	-	0.093
c	t	0.273
k	k	0.753
p	b_ŭ	0.163
ɦ	ɡ	0.83
ɪ̯ˈɛ	ɛˀ	0.203
ɪ̯ˈɛ	-	0.203
ɫ	e_l	0.053
ɲ	ɲ_ĭ	0.143
ˈi	i	0.73
ˈɔ	o	0.3
ˈɛ	ɛ̂ː	0.273
x	ɡ_ŭ	0.344
ɦ	ɡ_ôː	0.164
ɪ̯ˈɛ	ɛː	0.594
ʦ	ĭ_#>	0.264
ˈr̩	ĭ̂_r	0.244
ˈɔ	ôː	0.094
ˈɔ	ô	0.424
ˈɫ̩	ĭ̂_l	0.274
a	ǎ	0.565
c	t_ĭ	0.435
iː	ŭ	0.475
iː	ŭ_j	0.525
n	n	0.995
ɔ	ǒ	0.135
ɔ	o	0.795
c	t_i	0.26
s	s	0.786
x	x	0.656
ɲ	n_ĭ	0.196
ʦ	ĭ_ʦ	0.736
ˈa	aˀ	0.626
ˈr̩	r	0.756
ˈɫ̩	<#_ô	0.136
k	k_ŭ	0.247
p	p	0.837
ɔ	-	0.07
ɫ	o_l	0.147
ɫ	l	0.667
ˈi	ɨ̌	0.27
ˈɛ	ĭ̌	0.07
t	d_ŭ	0.068
ɛ	-	0.408
ʎ	l_ĭ	0.328
m	m	0.759
t	t	0.69
ɛ	ɛː	0.209
ɛ	e	0.339
ˈɫ̩	ĭˀ_l	0.589
