West Flemish	Pennsylvania German	probability
b	b	0.917
b	-	0.083
d	d	0.902
d	t	0.058
f	p	1.0
h	ç	0.301
h	-	0.259
h	k	0.244
h	x	0.196
j	j	0.861
j	ˈeː	0.139
k	kʰ	0.47
k	ç	0.247
k	x	0.107
k	k	0.095
k	ɡ	0.055
l	l	1.0
m	m	0.918
m	ɪ	0.082
n	n	0.6
n	ə	0.328
n	-	0.064
p	f	0.712
p	p	0.172
p	p͡f	0.116
s	ʃ	0.626
s	s	0.312
s	k_s	0.063
t	t	0.521
t	s	0.229
t	ʦ	0.152
t	d	0.054
v	f	0.798
v	v	0.202
w	l	0.705
w	-	0.295
z	s	0.757
z	ʃ	0.158
z	h	0.064
ç	ç	1.0
ŋ	ŋ	0.967
ə	ɪ	0.343
ə	ə	0.329
ə	-	0.273
ə	ˈɪ	0.055
ɦ	ɡ	0.503
ɦ	j	0.192
ɦ	k	0.147
ɦ	-	0.074
ɪ	ɪ	1.0
ɾ	ɾ	0.496
ɾ	ɑ	0.423
ɾ	-	0.081
ʃ	ʃ	1.0
ʋ	ʋ	0.86
ʋ	-	0.126
ˈeː	ˈɛ	0.527
ˈeː	ˈeː	0.286
ˈeː	ˈɪ	0.109
ˈeː	ˈaɪ̯	0.078
ˈi	ˈaɪ̯	0.884
ˈi	ˈɛ	0.116
ˈiə̯	ˈiː	0.428
ˈiə̯	ˈaɪ̯	0.345
ˈiə̯	ˈeː	0.19
ˈoː	ˈoː	0.332
ˈoː	ˈeː	0.249
ˈoː	ˈɔː	0.231
ˈoː	ˈɔ	0.066
ˈu	ˈʊ	0.651
ˈu	ˈa_l	0.173
ˈu	ˈaʊ̯	0.077
ˈu	ˈɔ	0.059
ˈuə̯	ˈuː	0.482
ˈuə̯	ˈiː	0.379
ˈuə̯	ˈʊ	0.139
ˈyː	ˈaʊ̯	0.632
ˈyː	ˈaɪ̯	0.368
ˈæ	ˈɛː	0.585
ˈæ	ˈaː	0.152
ˈæ	-	0.103
ˈæ	ˈɪ	0.079
ˈøː	ˈɔ	0.46
ˈøː	ˈoː	0.278
ˈøː	ˈɔː	0.261
ˈœ	ˈɪ	0.41
ˈœ	ˈɔ	0.303
ˈœ	ʋ	0.2
ˈœ	ˈʊ	0.086
ˈɑ	ˈa	0.711
ˈɑ	ˈɔː	0.191
ˈɑ	ˈaː	0.071
ˈɒː	ˈɔː	0.44
ˈɒː	ˈɛː	0.181
ˈɒː	ˈoː	0.167
ˈɒː	ˈa	0.121
ˈɒː	ˈaː	0.091
ˈɔ	ˈɔ	0.373
ˈɔ	ˈʊ	0.334
ˈɔ	ˈa	0.113
ˈɔ	ˈaː	0.096
ˈɔ	ˈɛ	0.085
ˈɛ	ˈɪ	0.501
ˈɛ	ˈɛ	0.263
ˈɛ	ˈaɪ̯	0.163
ˈɛ	ˈɔː	0.073
ˈɛː	ˈeː	0.487
ˈɛː	ˈʊ	0.311
ˈɛː	ˈɛ	0.126
ˈɛː	ˈɔɪ̯	0.077
ˈɪ	ˈɪ	0.859
ˈɪ	ˈɛ	0.095
ˈʏ	ˈɪ	0.669
ˈʏ	ˈʊ	0.331
