West Flemish	Pennsylvania German	probability
b	b	0.935
b	-	0.066
d	d	0.948
d	-	0.055
d_ə	t	1.0
f	p	1.0
h	x	0.288
h	-	0.249
h	k	0.249
h	ç	0.189
j	j	0.74
j	ˈeː	0.137
k	kʰ	0.484
k	ç	0.177
k	x	0.143
k	k	0.097
k	ɡ	0.055
l	l	1.0
m	m	1.0
n	n	0.493
n	ə	0.353
n	-	0.153
n_d	n	1.0
p	f	0.575
p	p	0.279
p	p͡f	0.126
s	ʃ	0.664
s	s	0.263
s	k_s	0.07
t	t	0.57
t	s	0.197
t	ʦ	0.135
t	-	0.043
t	d	0.043
v	f	0.864
v	v	0.134
w	l	0.53
w	-	0.265
w	ɪ	0.163
z	s	0.708
z	ʃ	0.252
z	ɾ	0.045
ç	ç	0.494
ŋ	ŋ	0.93
ŋ	ç	0.059
ŋ_k	ŋ	1.0
ə	-	0.878
ə	ə	0.057
ə	ɪ	0.048
ə	ˈɪ	0.033
ɦ	ɡ	0.705
ɦ	j	0.145
ɦ	-	0.058
ɦ	h	0.051
ɦ	ɣ	0.048
ɦ_ə	k	0.662
ɦ_ə	ɣ	0.335
ɪ	ɪ	0.121
ɾ	ɑ	0.474
ɾ	ɾ	0.429
ɾ	-	0.058
ɾ	ɾ_ɪ	0.039
ɾ_n	n	1.0
ʃ	ʃ	1.0
ʋ	ʋ	0.829
ʋ	-	0.091
ʋ	ˈɔː	0.046
ʋ	v	0.045
ˈeː	ˈɛ	0.507
ˈeː	ˈeː	0.272
ˈeː	ˈɪ	0.116
ˈeː	ˈaɪ̯	0.084
ˈi	ˈaɪ̯	0.862
ˈi	ˈɛ	0.119
ˈiə̯	ˈiː	0.491
ˈiə̯	ˈaɪ̯	0.296
ˈiə̯	ˈeː	0.171
ˈiə̯	ˈa	0.042
ˈoː	ˈoː	0.288
ˈoː	ˈɔː	0.209
ˈoː	ˈaː	0.112
ˈoː	ˈeː	0.092
ˈoː	ˈɔ	0.074
ˈoː_ɾ	ˈaː	0.574
ˈoː_ɾ	ˈa	0.284
ˈu	ˈʊ	0.431
ˈu	ˈa_l	0.301
ˈu	ˈɔ	0.091
ˈu	ˈaʊ̯	0.091
ˈu	-	0.064
ˈuə̯	ˈuː	0.527
ˈuə̯	ˈiː	0.347
ˈuə̯	ˈʊ	0.115
ˈyː	ˈaʊ̯	0.626
ˈyː	ˈaɪ̯	0.336
ˈæ	ˈɛː	0.412
ˈæ	ˈɪ	0.144
ˈæ	ˈɛ	0.144
ˈæ	ˈaː	0.109
ˈæ	ˈeː	0.085
ˈøː	ˈɔ	0.425
ˈøː	ˈɔː	0.241
ˈøː	ˈoː	0.137
ˈœ	ˈɪ	0.398
ˈœ	ˈɔ	0.295
ˈœ	ʋ	0.194
ˈœ	ˈʊ	0.064
ˈɑ	ˈa	0.649
ˈɑ	ˈɔː	0.194
ˈɑ	ˈaː	0.084
ˈɑ	ˈɛ	0.055
ˈɒː	ˈɔː	0.334
ˈɒː	ˈa	0.223
ˈɒː	ˈoː	0.206
ˈɒː	ˈɛː	0.16
ˈɒː	ˈaː	0.063
ˈɔ	ˈɔ	0.482
ˈɔ	-	0.122
ˈɔ	ˈa	0.122
ˈɔ	ˈʊ	0.091
ˈɔ	ˈɛ	0.091
ˈɛ	ˈɪ	0.444
ˈɛ	ˈɛ	0.258
ˈɛ	ˈaɪ̯	0.195
ˈɛ	ˈɔː	0.074
ˈɛː	ˈeː	0.848
ˈɛː	ˈɛ	0.09
ˈɛː	ˈɔɪ̯	0.053
ˈɪ	ˈɪ	0.77
ˈɪ	ˈɛ	0.088
ˈɪ	ˈa	0.066
ˈɪ	-	0.064
ˈʏ	ˈʊ	0.375
ˈʏ	ˈɪ	0.185
