Yiddish	East Low German	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_j	<#_j	1.0
<#_k	<#_kʰ	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_t	<#_d	1.0
<#_v	<#_v	1.0
<#_z	<#_z	1.0
<#_ʀ	<#_r	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʦ	<#_tʰ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈɛɪ̯	<#_ˈae̯	1.0
<#_ˈɪ	<#_ˈɪ	1.0
b_#>	f_#>	1.0
b_n	m	1.0
d	-	1.0
d_#>	d_#>	1.0
d_ə	ɾ	1.0
f_n	p_n	1.0
k	k	1.0
k_#>	k_#>	1.0
k_s	s	1.0
k_ə	k_n	1.0
l	l	1.0
l_#>	l_#>	1.0
l_t	l_t	1.0
l_ˈɪ	l_ˈae̯	1.0
m_#>	m	1.0
m_ə	m	1.0
n_#>	n	1.0
p	p	1.0
s_#>	t	1.0
s_n	t_n	1.0
s_t	s_t	1.0
t	t	1.0
t_ə	ɾ	1.0
z_#>	s	1.0
ŋ_ɡ	ŋ	1.0
ə	-	1.0
ə_ʀ	æ	1.0
ɛ	-	1.0
ɛ_m	m_#>	1.0
ɡ	ɡ	1.0
ɡ_n	ŋ	1.0
ɪ_k	ɪ_ç	1.0
ʀ_#>	æ_#>	1.0
ʀ_n	æ_n	1.0
ʀ_ə	æ	1.0
ʀ_ˈaɪ̯	r_ˈʏ	1.0
ʀ_ˈɔɪ̯	r_ˈaʊ̯	1.0
ʃ_#>	ʃ_#>	1.0
ʦ	t	1.0
ˈa_n	ˈa_n	1.0
ˈa_ŋ	ˈa_ŋ	1.0
ˈa_ʀ	ˈaː	1.0
ˈaɪ̯_ə	ˈyː	1.0
ˈɛ_n	ˈae̯_n	1.0
ˈɛɪ̯	ˈae̯	1.0
ˈɛɪ̯_#>	ˈae̯_#>	1.0
ˈɛɪ̯_n	ˈae̯_n	1.0
ˈʊ_n	ˈʊ_n	1.0
χ_#>	k	1.0
n	m	0.091
ɡ_#>	ç	0.571
ʀ	æ	0.1
ˈɔ	ˈa	0.1
ˈɔ	ˈuː	0.1
ˈɔ	ˈɛː	0.1
ˈɔ	ˈoː	0.1
ˈɪ	ˈɪ	0.481
ˈʊ	ˈaʊ̯	0.391
ˈaɪ̯	ˈae̯	0.2
ˈɔ	ˈɔ	0.2
ˈɔɪ̯	ˈuː	0.632
<#_ɡ	<#_j	0.333
t_#>	d_#>	0.3
ˈaɪ̯	ˈɪ	0.133
ˈɛ	ˈʏ	0.133
ˈɛ	ˈœ	0.133
ˈɪ_n	ˈʏ_n	0.333
ˈʊ	ˈɔ	0.13
χ	-	0.333
χ	ç	0.333
χ	x	0.333
ˈɪ	ˈɛ	0.074
ˈɪ	ˈœː	0.074
ˈɪ	ˈʏ	0.074
χ_t	ç	0.4
<#_ˈɛ	<#_ˈɛ	0.5
<#_ˈɛ	<#	0.5
f_#>	f_#>	0.375
f_#>	p	0.625
n	-	0.455
n	n	0.455
v	w	0.5
v	v	0.5
ʀ	-	0.15
ʀ	r	0.75
ˈa	ˈɔ	0.095
ˈa	ˈaʊ̯	0.095
ˈɪ_ʀ	ˈiː_æ	0.5
ˈɪ_ʀ	ˈiː_#>	0.5
χ_t	x_t	0.6
<#_ɡ	<#_ɡ	0.667
t_#>	t	0.7
ˈaɪ̯	ˈiː	0.667
ˈɔ	ˈɛ	0.067
ˈɔ	ˈaː	0.067
ˈɔ	ˈɒː	0.267
ˈɛ	ˈɛː	0.267
ˈɛ	ˈɛ	0.467
ˈɪ_n	ˈɪ_n	0.667
ˈʊ	ˈœː	0.087
ˈʊ	ˈuː	0.087
ˈʊ	ˈɔʏ̯	0.087
ˈʊ	ˈʊ	0.217
ˈɔɪ̯	ˈaʊ̯	0.368
ˈɪ	ˈae̯	0.148
ˈɪ	ˈɔʏ̯	0.148
ɡ_#>	x_#>	0.429
ˈa	ˈɒː	0.19
ˈa	ˈa	0.619
