Québécois French	Aragonese	probability
aœ̯	ˈo	1.0
o	ˈo	1.0
p	p	1.0
y	ˈu	1.0
ɑ	ˈa	1.0
ʊ	ˈo	1.0
ʏ	ˈu	1.0
ʣ	d	1.0
k	k	0.821
l	l_o	0.11
oʊ̯	ˈo	0.181
w	e	0.311
æɛ̯	ˈa	0.471
øʏ̯	ˈo_s	0.171
ɛ	-	0.051
ɪ	ˈi	0.951
ʁ	ɾ_o	0.081
ʒ	-	0.081
b	b_w	0.052
e	ˈa	0.052
e	-	0.122
e	a	0.152
m	m_a	0.182
oʊ̯	ˈa	0.362
u	o	0.542
z	θ	0.812
œ	ˈe	0.062
ɑɔ̯	o	0.802
ɒ̃ʊ̯̃	ˈo	0.512
ã	ˈa_n	0.213
ã	ˈa	0.363
b	β	0.083
d	ð	0.053
e	e_s	0.3
ẽɪ̯̃	ˈa	0.093
j	j	0.423
k	k_w	0.113
w	ˈu_ɲ	0.133
æɛ̯	ˈe	0.243
øʏ̯	ˈo	0.093
a	a	0.804
i	ˈe	0.494
l	l_a	0.064
t	ʃ_ˈe	0.064
t	s_t	0.064
v	β	0.334
œ	e	0.424
œ	w_ˈe	0.514
ɥ	w	0.294
ʁ	-	0.074
ʒ	ʧ	0.824
ã	ˈe	0.425
b	b	0.855
e	o	0.05
e	ˈa_ɾ	0.325
j	w	0.075
n	n_o	0.055
s	θ	0.285
w	ˈu	0.125
w	-	0.275
ɔ	o	0.075
ɔ	ˈo	0.135
ɡ	ɡ	0.865
ʃ	-	0.075
ʒ	ʝ	0.095
a	ˈa	0.196
ẽɪ̯̃	ˈi_n	0.226
k	ɡ	0.066
l	ʎ	0.056
u	ʎ_o	0.16
v	b	0.666
øʏ̯	o	0.596
ɛ	ˈe	0.696
ɡ	ɣ	0.096
ɥ	ˈu	0.706
ʃ	k	0.676
f	f	0.987
j	ʎ_a	0.357
l	l	0.77
n	n	0.457
s	-	0.067
æɛ̯	j_ˈe	0.157
d	d	0.848
ẽɪ̯̃	ˈa_n	0.228
j	j_ˈe	0.058
j	o	0.088
m	m	0.818
n	n_a	0.488
oʊ̯	j_ˈe	0.458
s	s	0.618
w	e_ʝ	0.078
w	ˈi	0.078
z	s	0.188
ɑɔ̯	w_ˈe	0.198
ɒ̃ʊ̯̃	o	0.488
d	-	0.099
ẽɪ̯̃	o	0.129
ẽɪ̯̃	ˈe_n	0.29
i	ˈi	0.459
t	t	0.799
u	ˈo	0.299
øʏ̯	w_ˈe	0.139
ɔ	w_ˈe	0.789
ɛ	ˈa	0.119
ʁ	r	0.119
ʁ	ɾ	0.659
ʃ	k_a	0.249
