Swedish	Icelandic	probability
a	a	0.894
b	b̥	1.0
d	ð	0.534
d	d̥	0.445
f	f	1.0
h	h	0.916
h	ç	0.084
j	j	0.307
j	ɟ̊	0.258
j	ç	0.17
j	l_j	0.103
j	ɡ̊_ʏ	0.056
j	-	0.051
jː	ˈɛːi̯	1.0
k	k	0.752
k	c	0.224
kʰ	kʰ	0.951
kː	ʰk	0.699
kː	ʰc	0.186
kː	k	0.115
l	l	0.731
l	l̥	0.259
lː	t_l̥	0.546
lː	l	0.454
m	m	0.975
mː	m	1.0
n	n	0.725
n	n̥	0.158
n	-	0.083
nː	nː	0.706
nː	n̥	0.103
nː	ð	0.103
nː	n	0.089
p	p	0.904
p	ʰp	0.096
pː	p	0.502
pː	ʰp	0.498
r	r	0.517
r	r̥	0.467
rː	rː̥	0.821
rː	ð	0.179
s	s	0.973
sː	s	0.757
sː	sː	0.243
t	t	1.0
tʰ	θ	0.556
tʰ	tʰ	0.426
tː	t	0.526
tː	ʰt	0.474
v	v	0.869
v	f	0.059
ŋ	ŋ	0.763
ŋ	ɡ̊	0.164
ŋ	p	0.073
ŋː	ŋ	0.919
ŋː	ɲ	0.081
ɔ	aːu̯	1.0
ɕ	cʰ	0.938
ɖ	r_ð	1.0
ɛ	ɪ	0.502
ɛ	ʏ	0.301
ɛ	-	0.112
ɛ	ɡ̊_ʏ	0.085
ɡ	ɡ̊	0.376
ɡ	ɣ	0.298
ɡ	-	0.224
ɡ	x	0.061
ɡː	ɡ̊ː	0.667
ɡː	ɟ̊ː	0.333
ɧ	c	0.48
ɧ	s	0.444
ɧ	-	0.076
ɪ	i	0.532
ɪ	ɛː	0.263
ɪ	ɛ	0.153
ɪ	-	0.052
ɳ	r	0.876
ɳ	n	0.124
ɳː	t	1.0
ɵ	ɑu̯	0.548
ɵ	ʏ	0.452
ʂ	s	1.0
ʈ	t	1.0
ʈː	r̥_t	1.0
ʊ	j_ʏ	0.889
ʊ	u	0.111
ˈa	ˈa	0.713
ˈa	ˈœ	0.151
ˈa	ˈaː	0.064
ˈeː	ˈɛːi̯	0.356
ˈeː	ˈɪː	0.14
ˈeː	ˈɛi̯	0.11
ˈeː	ˈɪ	0.09
ˈeː	ˈeːi̯	0.056
ˈeː	ˈaːi̯	0.056
ˈeː	ˈɑːu̯	0.056
ˈeː	ˈɛː	0.053
ˈeː	ˈiː	0.053
ˈiː	ˈiː	0.883
ˈiː	ˈɛː	0.117
ˈoː	ˈɑːu̯	0.423
ˈoː	ˈaːu̯	0.228
ˈoː	ˈɔː	0.065
ˈoː	ˈʏː	0.06
ˈoː	ˈɑu̯	0.058
ˈoː	ˈœː	0.053
ˈuː	ˈoːu̯	0.628
ˈuː	ˈɔ	0.19
ˈuː	ˈiː	0.118
ˈyː	j	0.474
ˈyː	ˈiː	0.382
ˈyː	ˈʏː	0.144
ˈæ	ˈɛ	0.676
ˈæ	ˈa	0.324
ˈæː	ˈaːi̯	0.417
ˈæː	ˈɛː	0.355
ˈæː	j	0.166
ˈæː	ˈɛ	0.063
ˈøː	ˈœːy̯	0.384
ˈøː	ˈaːi̯	0.201
ˈøː	ˈœ	0.068
ˈøː	j	0.066
ˈøː	ˈi	0.058
ˈøː	ˈai̯	0.057
ˈøː	ˈɑːu̯	0.055
ˈøː	ˈɔː	0.055
ˈœ	ˈœ	0.164
ˈœ	ˈɔu̯	0.133
ˈœ	ˈœːy̯	0.109
ˈœ	ˈaːi̯	0.108
ˈœ	ˈiː	0.108
ˈœ	ˈɔ	0.108
ˈœ	ˈɪ	0.1
ˈœ	j	0.08
ˈœ	ˈeːi̯	0.064
ˈœː	ˈɪː	0.563
ˈœː	ˈɛːi̯	0.437
ˈɑː	ˈaː	0.503
ˈɑː	ˈa	0.232
ˈɑː	ˈɛː	0.203
ˈɔ	ˈɔ	0.315
ˈɔ	ˈʏː	0.198
ˈɔ	ˈʏ	0.184
ˈɔ	ˈou̯	0.094
ˈɔ	ˈɑu̯	0.062
ˈɔ	ˈɔː	0.059
ˈɔ	ˈɔu̯	0.059
ˈɛ	ˈɛ	0.526
ˈɛ	ˈɪː	0.1
ˈɛ	ˈai̯	0.099
ˈɛ	ˈɛi̯	0.069
ˈɛ	ˈa	0.052
ˈɛː	ˈɛː	0.387
ˈɛː	j_ˈɛː	0.233
ˈɛː	ˈœː	0.15
ˈɛː	j	0.118
ˈɛː	ˈaː	0.053
ˈɪ	ˈɪ	0.476
ˈɪ	ˈi	0.258
ˈɪ	ˈɔ	0.101
ˈɪ	ˈɛː	0.066
ˈɵ	ˈʏ	0.679
ˈɵ	ˈu	0.077
ˈɵ	ˈɔ	0.072
ˈɵ	ˈi	0.058
ˈɵ	ˈuː	0.058
ˈɵ	ˈou̯	0.057
ˈʉː	ˈuː	0.513
ˈʉː	ˈoːu̯	0.167
ˈʉː	ˈʏː	0.09
ˈʉː	ˈiː	0.084
ˈʉː	ˈœː	0.083
ˈʊ	ˈu	0.402
ˈʊ	ˈoːu̯	0.201
ˈʊ	ˈʏ	0.201
ˈʊ	ˈɔ	0.195
ˈʏ	ˈɪ	0.688
ˈʏ	ˈi	0.126
ˈʏ	ˈu	0.126
ˈʏ	ˈʏ	0.06
