Swedish	Icelandic	probability
a	a	0.878
a	-	0.051
a	ɪ	0.038
a	ʏ	0.029
b	b̥	1.0
d	ð	0.453
d	d̥	0.364
d	d̥_ʏ	0.079
d	-	0.06
d	θ	0.032
e	ʏ	0.468
f	f	0.963
f	d̥	0.041
h	h	0.886
h	ç	0.108
j	j	0.432
j	ɟ̊	0.2
j	ç	0.112
j	-	0.085
j	r̥	0.065
jː	j	0.468
k	k	0.723
k	c	0.213
k	ʰk	0.06
kʰ	kʰ	0.812
kʰ	-	0.078
kʰ	cʰ	0.05
kː	ʰk	1.0
l	l	0.629
l	l̥	0.326
l	l_ʏ	0.041
lː	t_l̥	0.349
lː	l̥_ʏ	0.248
lː	l	0.188
m	m	0.579
m	m_ʏ	0.357
m	p	0.055
mː	m	1.0
n	n	0.68
n	n̥	0.197
n	nː	0.068
n	-	0.032
n	r̥	0.031
nː	nː	0.459
nː	nː_ʏ	0.212
nː	ð	0.094
nː	n	0.094
nː	n̥	0.066
p	p_ʏ	0.367
p	ʰp	0.367
p	p	0.172
pː	p	0.468
r	r	0.55
r	r̥	0.355
r	ɪ_r̥	0.05
r	ɪ	0.023
r	r_ɡ̊	0.023
rː	rː̥	0.66
rː	ð	0.145
s	s	0.977
s	v	0.028
sː	sː	0.74
sː	s	0.123
t	t	0.644
t	t_ʏ	0.289
t	θ	0.058
tʰ	tʰ	0.538
tʰ	θ	0.458
tː	ʰt	0.357
tː	t	0.337
tː	ʰt_ʏ	0.25
v	v	0.888
v	f	0.07
v	-	0.04
ŋ	ŋ	0.649
ŋ	ɡ̊	0.193
ŋ	p	0.125
ŋː	ŋ_ɡ̊	0.551
ŋː	ŋ	0.254
ŋː	ɲ	0.168
ɕ	cʰ	0.474
ɕ	θ	0.372
ɕ	tʰ	0.089
ɖ	r_ð	1.0
ɛ	ɪ	0.534
ɛ	ʏ	0.232
ɛ	ɡ̊_ʏ	0.113
ɛ	-	0.09
ɡ	ɡ̊	0.457
ɡ	ɣ	0.155
ɡ	ɣ_ʏ	0.155
ɡ	-	0.115
ɡ	ɟ̊	0.054
ɡ_ɛ	ɡ̊	1.0
ɡː	ɡ̊	0.803
ɡː	ɟ̊	0.072
ɧ	s	0.531
ɧ	c	0.339
ɧ	m	0.071
ɪ	ɛː	0.315
ɪ	ɛ	0.183
ɪ	-	0.183
ɪ	i	0.107
ɳ	t_n̥	0.805
ɳ	n	0.148
ɳː	t	0.219
ɵ	ɑu̯	0.758
ɵ	ʏ	0.078
ʈː	r̥_t	0.468
ʊ	j_ʏ	0.74
ʊ	u	0.123
ˈa	ˈa	0.764
ˈa	ˈœ	0.095
ˈa	ˈɑu̯	0.051
ˈa	ˈaː	0.05
ˈa	ˈɔu̯	0.041
ˈeː	ˈɛːi̯	0.214
ˈeː	ˈɪː	0.159
ˈeː	ˈɪ	0.091
ˈeː	ˈɛi̯	0.091
ˈeː	ˈiː	0.091
ˈiː	ˈiː	0.928
ˈiː	ˈɛː	0.068
ˈoː	ˈɑːu̯	0.358
ˈoː	ˈaːu̯	0.132
ˈoː	ˈɔː	0.132
ˈoː	ˈœː	0.076
ˈoː	ˈʏː	0.076
ˈuː	ˈoːu̯	0.543
ˈuː	ˈɔ_r	0.121
ˈuː	ˈɔu̯	0.092
ˈuː	ˈiː_r̥	0.081
ˈuː	ˈœ	0.068
ˈyː	ˈiː	0.304
ˈyː	ˈoːu̯	0.265
ˈyː	ˈʏː	0.175
ˈyː	ˈuː	0.113
ˈyː	ʏ	0.073
ˈæ	ˈɛ	0.574
ˈæ	ˈa	0.269
ˈæː	j	0.263
ˈæː	ˈɛ	0.229
ˈæː	ˈɛː	0.123
ˈøː	ˈœːy̯	0.348
ˈøː	ˈaːi̯	0.123
ˈøː	ˈoːu̯_r̥	0.107
ˈøː	ˈœy̯	0.071
ˈøː	ˈai̯	0.071
ˈœ	ˈɪ	0.203
ˈœ	j	0.134
ˈœ	ˈɔu̯	0.095
ˈœ	ˈai̯	0.09
ˈœ	ˈœːy̯	0.09
ˈœː	ˈɛːi̯	0.468
ˈɑː	ˈaː	0.541
ˈɑː	ˈɛː	0.178
ˈɑː	ˈa	0.102
ˈɑː	ˈɔ	0.077
ˈɑː	ˈœ	0.073
ˈɔ	ˈɔ	0.32
ˈɔ	ˈou̯	0.237
ˈɔ	ˈʏ	0.136
ˈɔ	ˈɑu̯	0.096
ˈɔ	ˈɪ	0.091
ˈɛ	ˈɛ	0.665
ˈɛ	ˈɪː	0.065
ˈɛ	ˈɪ	0.063
ˈɛ	ˈɛːi̯	0.051
ˈɛ	ˈa	0.051
ˈɛː	ˈɛː	0.533
ˈɛː	ˈaː	0.149
ˈɛː	ˈœː	0.096
ˈɛː	j	0.096
ˈɛː	ˈɛːi̯	0.069
ˈɪ	ˈi	0.322
ˈɪ	ˈɪ	0.28
ˈɪ	ˈɛ	0.126
ˈɪ	ˈɔ	0.089
ˈɪ	ˈɪː	0.087
ˈɵ	ˈʏ	0.417
ˈɵ	ˈɔ	0.133
ˈɵ	ˈʏ_t	0.116
ˈɵ	ˈu	0.114
ˈɵ	ˈou̯	0.088
ˈʉː	ˈuː	0.4
ˈʉː	ˈoːu̯	0.226
ˈʉː	ˈʏː	0.152
ˈʉː	ˈœː	0.079
ˈʉː	ˈiː	0.06
ˈʊ	ˈu	0.347
ˈʊ	ˈoːu̯	0.229
ˈʊ	ˈɔ	0.229
ˈʊ	ˈʏ	0.141
ˈʏ	ˈɪ	0.608
ˈʏ	ˈi	0.164
ˈʏ	ˈu	0.095
