Eastphalian	Eastphalian	probability
ˈɛɪ̯_n	ˈeː	1.0
ˈɛə̯	ˈɔː	1.0
ˈøː	-	1.0
ˈyː	ˈaɪ̯	1.0
ˈoː	-	1.0
ˈiː_#>	ˈeː_ɑ_#>	1.0
ˈiː	ˈaɪ̯	1.0
ˈeː	-	1.0
ˈaː	ˈɔː	1.0
ˈaɪ̯	ˈeː	1.0
ˈa_ɐ	ˈaː	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɣ̊	ɡ̊	1.0
ɡ	-	1.0
ɒː_n	eː	1.0
ç	ç	1.0
z̥	s	1.0
z	s	1.0
x	x	1.0
w	ʋ	1.0
v̥	b̥	1.0
t_ɐ	d_ɑ	1.0
t_n	s_ə	1.0
n_ə_#>	#>	1.0
n_ɐ	n_ɑ	1.0
n_n	n_ə	1.0
m	m	1.0
l	l	1.0
k_ə	x	1.0
h	h	1.0
d̥	d̥	1.0
d	d	1.0
b_m	f_ə	1.0
b	b	1.0
<#_t	<#_ʦ	1.0
<#_n	<#_n	1.0
r	ɾ	0.931
ə	-	0.897
s	ʃ	0.895
v	ʋ	0.893
f	f	0.867
ŋ	ŋ	0.846
ˈa	ˈa	0.833
ˈaʊ̯	ˈuː	0.778
ˈɪ	ˈɪ	0.769
ˈʊ	ˈʊ	0.75
ɐ	ɑ	0.742
ˈuː	ˈaʊ̯	0.714
ˈeo̯	ˈoː	0.7
ˈɔʏ̯	ˈiː	0.667
k	k	0.654
p	f	0.636
ɣ	ɡ	0.615
ˈœ	ˈɛ	0.6
ˈʏ	ˈɪ	0.5
ˈɛɪ̯	ˈiː	0.5
t	s	0.452
j	ɡ	0.429
ˈɛɪ̯	ˈeː	0.417
ˈɛ	ˈɛ	0.417
ˈɔ	ˈɔ	0.417
n	ə	0.417
ˈœ	-	0.4
n	n	0.4
ɣ	-	0.385
ˈɛː	ˈɛ	0.375
ˈɛː	-	0.375
ˈɒː	ˈoː	0.375
p	p	0.364
ˈɔʏ̯	ˈuː	0.333
ˈɔ	ˈʊ	0.333
t	t	0.323
ˈʏ	ˈaɪ̯	0.3
ˈeo̯	ˈɔː	0.3
ˈuː	-	0.286
j	j	0.286
j	-	0.286
ˈʊ	ˈɔ	0.25
ˈɛː	ˈɛː	0.25
ˈɛ	ˈɪ	0.25
ˈɔ	ˈa	0.25
ˈɒː	ˈɔː	0.25
ˈɒː	ˈa	0.25
k	ç	0.231
ˈaʊ̯	-	0.222
ˈʏ	-	0.2
ˈɛ	ˈeː	0.167
ˈɛ	-	0.167
t	ʦ	0.161
ˈɪ	ˈaɪ̯	0.154
ŋ	ə	0.154
f	b̥	0.133
ˈɒː	-	0.125
k	x	0.115
v	-	0.107
s	s	0.105
ə	ə	0.103
ɐ	ɾ_ə	0.097
ɐ	d_ɑ	0.097
ˈɛɪ̯	-	0.083
ˈa	ˈɛː	0.083
ˈa	ˈɔː	0.083
n	-	0.083
ˈɪ	ˈa	0.077
r	ɾ_ˈɔː	0.069
ɐ	ɾ_ɪ	0.065
t	d̥	0.065
