Corsican	French	probability
a	a	0.776
a	i	0.096
a	-	0.072
b	b	0.866
b	-	0.109
c	j	0.702
c	s	0.196
c	k	0.102
d	-	0.524
d	d	0.443
e	a	0.271
e	-	0.269
e	e	0.131
e	i_ʁ	0.101
e	i	0.064
e	ɛ	0.058
f	f	0.953
i	-	0.547
i	ə	0.171
i	ø	0.097
i	i	0.069
j	l	0.495
j	-	0.442
j	w	0.063
k	ʃ	0.395
k	-	0.378
k	k	0.182
l	l	0.588
l	-	0.412
m	m	0.801
m	-	0.153
n	n	0.721
n	-	0.199
n	d	0.08
o	ɔ	0.784
o	u	0.153
o	a	0.062
p	p	0.623
p	v	0.293
p	-	0.073
r	ʁ	0.925
s	s	0.618
s	-	0.359
t	-	0.695
t	t	0.239
u	-	0.788
u	ɔ	0.062
v	v	0.823
v	ʒ	0.112
w	-	0.5
w	ɑ̃	0.5
z	-	0.75
z	z	0.25
ŋ	ɛ̃	0.43
ŋ	ɑ̃	0.294
ŋ	-	0.194
ŋ	œ	0.052
ɟ	ʒ	0.438
ɟ	ɡ	0.185
ɟ	ʁ	0.171
ɟ	-	0.091
ɡ	ɡ	0.589
ɡ	-	0.314
ɡ	ʃ	0.097
ɲ	ɲ	1.0
ʃ	t	0.593
ʃ	ʁ	0.181
ʃ	s	0.155
ʃ	-	0.071
ʎ	j	0.829
ʎ	s	0.171
ʒ	z	0.842
ʒ	l	0.158
ʣ	ʒ	0.661
ʣ	-	0.339
ʤ	ʒ	0.533
ʤ	-	0.467
ʦ	-	0.729
ʦ	s	0.271
ʧ	s	0.544
ʧ	-	0.298
ʧ	z	0.096
ˈa	ɛ	0.267
ˈa	-	0.233
ˈa	a	0.224
ˈa	e	0.217
ˈe	i	0.266
ˈe	ɛ	0.236
ˈe	-	0.234
ˈe	j_ɛ	0.116
ˈe	j	0.084
ˈe	ɑ̃	0.056
ˈi	-	0.526
ˈi	i	0.435
ˈo	-	0.346
ˈo	œ	0.212
ˈo	ɔ	0.126
ˈo	u	0.107
ˈo	ɥ	0.088
ˈo	w	0.056
ˈu	y	0.519
ˈu	w	0.199
ˈu	ɥ	0.141
ˈu	ɛ	0.07
ˈɔ	ɔ	0.393
ˈɔ	œ	0.204
ˈɔ	u	0.202
ˈɔ	-	0.094
ˈɛ	ɛ	0.348
ˈɛ	w	0.319
ˈɛ	ɑ̃	0.114
ˈɛ	a	0.058
ˈɛ	ə	0.058
