Danish	Danish	probability
ˈʌˀ	ˈao̯_x	1.0
ˈʌ_ŋ	i	1.0
ˈɛː	ˈa	1.0
ˈɛˀ	-	1.0
ˈɒː	ʁ_ˈo	1.0
ˈɒˀ	ˈɔː_ʕ	1.0
ˈɑː	-	1.0
ˈœː	ˈɛ	1.0
ˈøː	-	1.0
ˈæˀ	ˈaː	1.0
ˈyː	ˈiə̯	1.0
ˈy	-	1.0
ˈuː	-	1.0
ˈo	-	1.0
ˈi_ɐ	ˈʌ	1.0
ˈeː	-	1.0
ˈeˀ_n	ˈɔe̯	1.0
ʨ	d	1.0
ʁ	ʁ	1.0
ə_n	eə̯	1.0
ɕ	s	1.0
ɐˀ	ʕ	1.0
ŋˀ	ŋ	1.0
ŋ	ŋ	1.0
ð̞ˠ_ə	s_a	1.0
s_ɡ̊	ʃ	1.0
s_#>	s_#>	1.0
pʰ	p͡f	1.0
nˀ_#>	#>	1.0
n_ə	n	1.0
mˀ	m	1.0
m_ˈɔː	m	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
kʰ	kʰ	1.0
j_ˈɛ	ˈɛ	1.0
j_ə	ɡ	1.0
i	ɪ	1.0
h	h	1.0
f_ˈø	f	1.0
f	f	1.0
e	ɪ	1.0
b̥_#>	f_#>	1.0
<#_ˈɔ	<#	1.0
<#_ʦʰ	<#_d	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d̥	<#_d	1.0
b̥	b	0.895
ʋ	ʋ	0.882
ˈu	ˈo	0.818
ʦʰ	ʦ	0.75
ˈʌ	-	0.7
ɡ̊	ɡ	0.692
ˈœ	ˈu	0.667
ˈæ	ˈa	0.647
ˈuˀ	ˈao̯	0.636
ə	a	0.61
ˈiˀ	ˈəi̯	0.556
ð̞ˠ	d	0.556
d̥	d	0.556
ˈoˀ	ˈuə̯	0.545
ˈɛ	-	0.538
ɐ	ʌ	0.519
ˈɑˀ	ˈa_ʕ	0.5
ˈɑˀ	-	0.5
ˈœˀ	ˈoː	0.5
ˈœˀ	-	0.5
ˈøˀ	ˈoː	0.5
ˈøˀ	-	0.5
ˈø	ʋ	0.5
ˈø	-	0.5
w	b	0.5
nˀ	n_d	0.5
ˈeˀ	ˈɔe̯	0.462
s	s	0.462
ˈe	ˈɛ	0.438
s	ʃ	0.436
ˈyˀ	ˈəi̯	0.429
ˈiː	ˈəi̯	0.429
<#	<#_ʋ	0.429
#>	a_#>	0.423
ˈɑ	ˈa	0.4
ˈɑ	-	0.4
ˈeˀ	-	0.385
ð̞ˠ	s	0.37
ˈuˀ	-	0.364
j	ɡ	0.364
w	ɡ	0.357
lˀ	l	0.357
n	n	0.35
ə	-	0.341
ˈɔˀ	ˈɔː	0.333
ˈɔˀ	ˈaː	0.333
ˈɔˀ	-	0.333
ˈœ	-	0.333
ˈɛ	ˈɛ	0.308
n	-	0.3
ˈyˀ	ˈiː	0.286
ˈyˀ	ˈiə̯	0.286
ˈiː	ˈi	0.286
ˈiː	-	0.286
lˀ	l_d	0.286
<#	<#_ˈɛ	0.286
<#	<#_j	0.286
ˈoˀ	-	0.273
j	h	0.273
ɐ	ʕ	0.259
ˈe	-	0.25
ʦʰ	ʦ_ʋ	0.25
nˀ	n	0.25
nˀ	d	0.25
ˈiˀ	ˈae̯	0.222
ˈiˀ	-	0.222
d̥	ʦ	0.222
lˀ	l_b	0.214
ˈʌ	ˈa	0.2
ˈɑ	ˈae̯	0.2
ˈe	ˈi	0.188
ˈu	-	0.182
ˈoˀ	ˈuː	0.182
j	ç	0.182
j	-	0.182
d̥	x_d	0.167
ˈɛ	ˈe	0.154
ˈeˀ	ˈeː	0.154
ɡ̊	ɡ_ˈa	0.154
ɡ̊	ç	0.154
#>	ʌ_#>	0.154
#>	s_#>	0.154
n	n_d	0.15
ɐ	d_ʌ	0.148
w	x	0.143
lˀ	l_e	0.143
ˈe	ˈe	0.125
ˈæ	ˈɛ	0.118
ˈæ	ˈɔː	0.118
ˈæ	ˈaː	0.118
ʋ	f	0.118
#>	t_#>	0.115
b̥	f	0.105
ˈʌ	ˈɔə̯	0.1
n	ˈoː_n	0.1
n	d	0.1
#>	ɡ_#>	0.077
#>	f_#>	0.077
ɐ	-	0.074
ð̞ˠ	ˈiə̯	0.074
d̥	ʣ	0.056
s	d	0.051
s	-	0.051
