Alsatian	Alsatian	probability
ˈɛ	ˈɑ	1.0
ˈɔi̯	-	1.0
ˈɒ_n	n	1.0
ˈɒ_l	ˈɑu̯	1.0
ˈøː	ˈu	1.0
ˈøi̯	ˈœy̯	1.0
ˈø	ˈoː	1.0
ˈyː	ˈœy̯	1.0
ˈoː_t	ˈoː_d̥	1.0
ˈiː_s	ˈu_t	1.0
ˈaː	-	1.0
ˈai̯	ˈoː	1.0
ʦ	t	1.0
ʃ_w	z_ʋ	1.0
ʃ_#>	k_#>	1.0
ʁ_ˈi	ˈɛ_ɾ	1.0
ɡ̊	χ	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
x_t	χ_t	1.0
t_ʁ	d_ɾ	1.0
p͡f	p	1.0
p	p	1.0
m_ə	m	1.0
m	m	1.0
kʰ	k	1.0
k_s	s	1.0
k_#>	χ_#>	1.0
k	k	1.0
i_ʃ	k	1.0
h	ɦ	1.0
eː	i	1.0
e	ˈɛi̯	1.0
d̥_#>	d̥_#>	1.0
d̥	d	1.0
b̥_#>	v̥_#>	1.0
b̥	b	1.0
<#_ˈəi̯	<#_ˈɛi̯	1.0
<#_ʁ	<#_ɾ	1.0
<#_n	<#_n	1.0
n	n	0.958
l	ɫ	0.951
ʁ	ɾ	0.942
ˈɒː	ˈɑ	0.889
ə	ə	0.849
ʋ	ʋ	0.846
ˈɒ	ˈɑ	0.818
#>	n_#>	0.789
ˈəi̯	ˈeː	0.75
ˈʊː	ˈu	0.692
ʃ	s	0.682
j	χ_ə	0.667
i	-	0.667
f	v	0.645
ˈi	ˈɪ	0.64
ˈoː	ˈaː	0.636
ˈo	ˈɔ	0.636
ˈæː	ˈeː	0.6
ˈæ	ˈɛ	0.6
ˈei̯	ˈi	0.6
ˈu	ˈɔ	0.571
s	z	0.552
x	χ	0.5
x	k	0.5
s	t	0.448
ˈe	ˈɛ	0.417
ˈæː	ˈaː	0.4
ˈæ	ˈeː	0.4
ˈei̯	ˈeː	0.4
t	t	0.367
t	d̥	0.367
ˈoː	ˈoː	0.364
ˈo	ˈoː	0.364
j	j	0.333
i	ɪ_ŋ	0.333
ˈiː	ˈɛi̯	0.312
ˈiː	ˈi	0.312
ˈʊː	ˈoː	0.308
ˈəi̯	ˈɛi̯	0.25
ˈiː	-	0.25
ˈeː	ˈɛ	0.25
ˈeː	ˈoː	0.25
ˈeː	ˈi	0.25
ˈeː	ˈeː	0.25
ˈe	-	0.25
ˈu	ˈoː	0.238
f	p	0.226
t	d	0.2
ˈu	ˈʏ	0.19
ˈɒ	ˈaː	0.182
ʃ	s_χ	0.182
ˈe	ˈʏ	0.167
ˈe	ˈeː	0.167
ˈi	-	0.16
ʃ	χ	0.136
f	v̥	0.129
ˈiː	ˈyː	0.125
ˈi	ˈɛ	0.12
ˈɒː	ˈøː	0.111
ə	n	0.094
ˈi	ˈeː	0.08
#>	χ_#>	0.079
#>	d̥_#>	0.079
ʋ	χ_ə	0.077
ʋ	v	0.077
t	-	0.067
ʁ	-	0.058
ə	-	0.057
#>	s_#>	0.053
