Piedmontese	Piedmontese	probability
ˈɛ_r	ˈe_ʀ	1.0
ˈɛ_j	ʀ_ə	1.0
ˈe_#>	ˈa_#>	1.0
ʧ	k_l	1.0
ɲ	ɲ	1.0
ə	-	1.0
ŋ_t	ŋ	1.0
ŋ_a	n_ɔ	1.0
z	ʤ	1.0
y	-	1.0
w	w	1.0
v_ˈa	v_ˈa	1.0
v_#>	w_#>	1.0
t_#>	#>	1.0
s_t	t	1.0
s_l	lː	1.0
s_i	s	1.0
s_#>	#>	1.0
n_#>	ŋ_#>	1.0
m	m	1.0
k_w	k	1.0
k_#>	k_#>	1.0
j_t_#>	j_#>	1.0
j_r	ʀ	1.0
j_l	l	1.0
dː	j_ʀ	1.0
d_#>	#>	1.0
b	b	1.0
a_ŋ	ã_ŋ	1.0
a_s	ɥ	1.0
a_r	ɒ_ʀ	1.0
<#_ˈa	<#_ˈa	1.0
<#_u	<#_u	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_m	<#	1.0
<#_d	<#_d	1.0
r	ʀ	0.925
ŋ	ŋ	0.923
p	p	0.909
f	f	0.9
l_#>	l_#>	0.857
<#_n	<#_n	0.857
l	l	0.833
t	t	0.778
a	ɔ	0.771
ʤ	ʤ	0.75
j_#>	ʎ_#>	0.714
r_#>	ə_#>	0.7
z_#>	s_#>	0.667
i	-	0.667
e_#>	ˈi_#>	0.667
s	s	0.635
<#_l	<#_l	0.625
ˈa	ˈa	0.591
e	ə	0.579
ˈu	ˈu	0.567
ɡ	ɡ	0.545
ˈi	ˈi	0.538
k	ʧ	0.529
n	n	0.5
d	d	0.5
ˈɛ	ˈe	0.469
v	v	0.448
j	l	0.448
ˈø	ˈœ	0.444
ˈy	ˈy	0.444
k	k	0.441
u	u	0.429
#>	ə_#>	0.429
<#_l	<#_ʎ	0.375
ˈe	ˈɪ	0.364
j	ʎ	0.345
ˈø	ˈɔ	0.333
z_#>	#>	0.333
i	i	0.333
e_#>	#>	0.333
#>	ɔ_#>	0.321
ˈa	ˈã	0.318
r_#>	#>	0.3
ˈɔ	w_ˈɔ	0.292
j_#>	#>	0.286
ɡ	k	0.273
ˈɔ	w	0.25
ʤ	-	0.25
n	ŋ	0.25
ˈe	ˈe_j	0.227
ˈe	ˈe	0.227
ˈy	ˈỹ	0.222
t	-	0.222
u	ˈu	0.214
u	-	0.214
d	dʲ	0.214
ˈɔ	-	0.208
ˈu	w_ˈɔ̃	0.2
ˈi	ˈĩ	0.192
ɡ	ˈɔ_k	0.182
v	vʲ	0.172
ˈɔ	ˈa_w	0.167
ˈy	ˈu	0.167
ˈy	-	0.167
l	-	0.167
e	e	0.158
e	-	0.158
ˈɛ	ˈɪ	0.156
ˈi	ˈɪ	0.154
s	ɪ	0.154
u	œ	0.143
l_#>	#>	0.143
d	ʧ	0.143
d	-	0.143
a	ɒ	0.143
<#_n	<#	0.143
v	b	0.138
ˈu	w_ˈɔ	0.133
ˈɛ	ˈẽ	0.125
n	n_w	0.125
n	-	0.125
ˈi	-	0.115
ˈø	w	0.111
ˈø	u	0.111
#>	s_#>	0.107
e	ʀ	0.105
v	-	0.103
j	j	0.103
j	-	0.103
ˈu	ˈũ	0.1
f	fʲ	0.1
ˈɛ	ˈɪ̃	0.094
ˈɛ	-	0.094
ˈe	ˈa	0.091
ˈe	-	0.091
ˈa	ˈe_j	0.091
p	-	0.091
ˈɔ	ˈa	0.083
ŋ	-	0.077
r	-	0.075
#>	ʎ_#>	0.071
#>	w_#>	0.071
v	w_ʀ	0.069
v	b_ʀ	0.069
ˈɛ	ˈɛ	0.062
s	-	0.058
a	-	0.057
