Eastphalian	Danish	probability
b	b̥	0.81
b	-	0.088
b	b̥_j	0.083
d	d̥	0.343
d	-	0.32
d	ʦʰ	0.314
d	ʨ	0.028
f	f	0.759
f	-	0.155
f	mˀ	0.044
f	v	0.044
h	h	0.918
h	-	0.081
j	-	0.287
j	ɡ̊	0.211
j	jˀ	0.144
j	ˈuː	0.144
j	ə	0.088
k	kʰ	0.39
k	-	0.217
k	k	0.194
k	j	0.122
k	ɡ̊	0.054
l	l	0.753
l	lˀ	0.209
l	-	0.033
l	nˀ	0.024
l_d	lˀ	1.0
m	m	0.698
m	-	0.175
m	mˀ	0.085
m	wˀ	0.038
n	n	0.522
n	ə	0.201
n	-	0.189
n	n_s	0.034
n	w	0.025
n_d	nˀ	1.0
n_ə	nˀ	1.0
p	b̥	0.603
p	-	0.211
p	p	0.082
p	ð̞ˠ	0.035
r	ʁ	0.882
r	-	0.059
r	ˈoˀ	0.059
s	s	1.0
t	ð̞ˠ	0.506
t	t	0.229
t	-	0.091
t	ʦʰ	0.071
t	n	0.03
t_v	ʦʰ	1.0
v	ʋ	0.652
v	-	0.24
v	v	0.094
v_n	w	0.463
v_ˈʊ	ˈu	1.0
w	ʋ	0.561
w	ˈœ	0.28
w	ˈo	0.093
x	j	0.422
x	t	0.242
x	-	0.148
x	w	0.086
x_t	t	1.0
z	s	0.947
z	-	0.049
ç	-	0.375
ç	s	0.284
ç	ŋ	0.1
ç	j	0.095
ç_t	t	1.0
ŋ	ŋˀ	0.561
ŋ	ŋ	0.32
ŋ	w	0.096
ŋ_k	k	1.0
ɐ	ɐ	0.562
ɐ	-	0.209
ɐ	ɐˀ	0.099
ɐ	ə	0.064
ɐ	ˈɑˀ	0.032
ə	ə	0.493
ə	-	0.348
ə	ɐ	0.118
ə	j	0.038
ɡ	-	1.0
ɣ	ɡ̊	0.689
ɣ	-	0.3
ɪ	-	0.53
ɪ	e	0.131
ɪ	i	0.07
ʃ	k	0.827
ʃ	f	0.126
ʃ	s	0.041
ˈa	ˈɛ	0.291
ˈa	ˈa	0.239
ˈa	ˈɑ	0.162
ˈa	-	0.069
ˈa	ˈeː	0.052
ˈaʊ̯	ˈoˀ	0.648
ˈaʊ̯	ˈʌ	0.135
ˈaʊ̯	ˈɔˀ	0.093
ˈaʊ̯	ˈo	0.093
ˈaː	ˈa	0.5
ˈaː	ˈɔˀ	0.25
ˈaː	ˈɑˀ	0.25
ˈeo̯	ˈœˀ	0.462
ˈeo̯	ˈʌˀ	0.298
ˈeo̯	ˈɔˀ	0.105
ˈeo̯	ˈøː	0.067
ˈeː	ˈiˀ	0.296
ˈeː	j	0.296
ˈeː	ˈe	0.17
ˈeː	ˈæ	0.104
ˈeː	ˈyˀ	0.069
ˈiː	ˈiˀ	0.46
ˈiː	ˈiː	0.173
ˈiː	ˈi	0.08
ˈiː	ˈɛˀ	0.077
ˈiː	ˈɑ	0.076
ˈoː	ˈo	0.339
ˈoː	ˈœ	0.257
ˈoː	ˈøː	0.194
ˈoː	ˈoː	0.194
ˈuː	ˈuˀ	0.758
ˈuː	ˈuː	0.105
ˈuː	ˈu	0.067
ˈuː	ˈɔ	0.031
ˈyː	ˈi	0.245
ˈyː	ˈyˀ	0.131
ˈyː	ˈy	0.07
ˈøː	ˈœˀ	0.574
ˈøː	ˈœ	0.266
ˈœ	ˈʌ	0.392
ˈœ	ˈɛ	0.209
ˈœ	ˈu	0.209
ˈɒː	ˈɒˀ	0.194
ˈɒː	ˈa	0.169
ˈɒː	ˈaː	0.111
ˈɒː	ˈɔː	0.111
ˈɒː	ˈʌ	0.111
ˈɔ	ˈœ	0.266
ˈɔ	ˈɛ	0.201
ˈɔ	ˈu	0.201
ˈɔ	ˈʌ	0.134
ˈɔ	ˈɔˀ	0.093
ˈɔʏ̯	ˈœˀ	0.574
ˈɔʏ̯	ˈøː	0.176
ˈɔʏ̯	ˈœ	0.093
ˈɛ	ˈiː	0.158
ˈɛ	-	0.12
ˈɛ	ˈœː	0.12
ˈɛ	ˈa	0.12
ˈɛ	ˈe	0.12
ˈɛə̯	ˈa	1.0
ˈɛɪ̯	ˈeˀ	0.367
ˈɛɪ̯	ˈyː	0.149
ˈɛɪ̯	ˈyˀ	0.127
ˈɛɪ̯	-	0.067
ˈɛɪ̯	ˈeː	0.067
ˈɛː	ˈɑ	0.276
ˈɛː	ˈɛː	0.159
ˈɛː	ˈi	0.158
ˈɛː	ˈa	0.105
ˈɛː	ˈœˀ	0.101
ˈɪ	ˈe	0.337
ˈɪ	ˈiˀ	0.153
ˈɪ	ˈe_s	0.081
ˈɪ	ˈɛ	0.081
ˈɪ	ˈyː	0.061
ˈʊ	ˈɔ	0.42
ˈʊ	ˈu	0.304
ˈʊ	ˈoˀ	0.116
ˈʊ	ˈoː	0.101
ˈʏ	ˈœ	0.336
ˈʏ	ˈø	0.193
ˈʏ	ˈy	0.193
ˈʏ	ˈɑ	0.193
ˈʏ	ˈʌ	0.05
