Eastphalian	Danish	probability
b	b̥	0.851
b	w	0.081
b	ʁ	0.068
d	-	0.413
d	ʦʰ	0.312
d	d̥	0.27
f	f	0.737
f	w	0.11
f	ʋ	0.066
f	mˀ	0.054
h	h	0.872
h	-	0.128
j	ɡ̊	0.514
j	-	0.361
j	ˈuː	0.077
k	kʰ	0.445
k	-	0.299
k	j	0.121
k	k	0.106
l	l	0.722
l	lˀ	0.267
m	m	0.797
m	mˀ	0.14
n	n	0.486
n	ə	0.309
n	nˀ	0.181
p	b̥	0.682
p	p	0.25
r	ʁ	0.927
r	-	0.05
s	s	1.0
t	ð̞ˠ	0.625
t	t	0.168
t	ʦʰ	0.147
t	-	0.054
v	ʋ	0.631
v	-	0.213
v	w	0.155
w	ʋ	0.572
w	ˈœ	0.279
w	ˈo	0.148
x	t	0.568
x	j	0.295
x	-	0.117
z	s	0.984
ç	s	0.395
ç	ŋ	0.395
ç	j	0.21
ŋ	ŋˀ	0.51
ŋ	ŋ	0.259
ŋ	w	0.231
ɐ	ɐ	0.691
ɐ	ʌ	0.164
ɐ	-	0.072
ɒː	-	1.0
ə	ə	0.723
ə	ɐ	0.184
ə	-	0.093
ɡ	ɡ̊	0.95
ɣ	ɡ̊	0.657
ɣ	-	0.259
ɣ	j	0.085
ɪ	e	0.395
ɪ	i	0.395
ɪ	-	0.21
ʃ	k	0.901
ʃ	s	0.094
ˈa	ˈa	0.293
ˈa	ˈɑ	0.24
ˈa	ˈɛ	0.228
ˈa	ˈʌ	0.075
ˈaɪ̯	ˈeˀ	1.0
ˈaʊ̯	ˈoˀ	0.587
ˈaʊ̯	ˈʌ	0.21
ˈaʊ̯	ˈo	0.101
ˈaʊ̯	ˈɔˀ	0.101
ˈaː	ˈa	0.663
ˈaː	ˈɑˀ	0.337
ˈeo̯	ˈœˀ	0.462
ˈeo̯	ˈɛˀ	0.187
ˈeo̯	ˈʌˀ	0.161
ˈeo̯	ˈʌ	0.077
ˈeo̯	ˈøˀ	0.071
ˈeː	ˈiˀ	0.432
ˈeː	j	0.146
ˈeː	ˈe	0.123
ˈeː	ˈyˀ	0.123
ˈeː	ˈæ	0.105
ˈeː	ˈuː	0.071
ˈiː	ˈiˀ	0.673
ˈiː	ˈiː	0.195
ˈiː	ˈɛ	0.053
ˈoː	ˈoˀ	0.343
ˈoː	ˈɒ	0.213
ˈoː	ˈɔˀ	0.145
ˈoː	ˈʌ	0.142
ˈoː	ˈɶ	0.075
ˈoː	ˈœ	0.069
ˈuː	ˈuˀ	0.685
ˈuː	ˈuː	0.134
ˈuː	ˈœ	0.08
ˈyː	ˈyˀ	0.693
ˈyː	ˈi	0.16
ˈyː	ˈy	0.147
ˈøː	ˈœ	0.408
ˈøː	ˈi	0.331
ˈøː	ˈɶˀ	0.261
ˈœ	ˈʌ	0.412
ˈœ	ˈɛ	0.266
ˈœ	ˈu	0.254
ˈœ	ˈɶ	0.068
ˈɒː	ˈɔː	0.289
ˈɒː	ˈa	0.216
ˈɒː	ˈɔˀ	0.175
ˈɒː	ˈɑː	0.127
ˈɒː	ˈɒˀ	0.07
ˈɒː	ˈɒː	0.061
ˈɔ	ˈʌ	0.301
ˈɔ	ˈu	0.205
ˈɔ	ˈɛ	0.156
ˈɔ	ˈœˀ	0.134
ˈɔ	ˈœ	0.119
ˈɔ	ˈoː	0.066
ˈɔʏ̯	ˈøː	0.506
ˈɔʏ̯	ˈœˀ	0.185
ˈɔʏ̯	ˈøˀ	0.154
ˈɔʏ̯	ˈœ	0.154
ˈɛ	ˈiː	0.21
ˈɛ	ˈœː	0.193
ˈɛ	ˈe	0.145
ˈɛ	-	0.083
ˈɛ	ˈa	0.083
ˈɛ	j	0.07
ˈɛ	ˈeˀ	0.064
ˈɛ	ˈɛː	0.059
ˈɛ	ˈɑˀ	0.055
ˈɛə̯	ˈa	1.0
ˈɛɪ̯	ˈeˀ	0.297
ˈɛɪ̯	ˈyː	0.273
ˈɛɪ̯	ˈiˀ	0.092
ˈɛɪ̯	ˈyˀ	0.084
ˈɛɪ̯	ˈeː	0.061
ˈɛː	ˈɛː	0.294
ˈɛː	ˈa	0.184
ˈɛː	ˈœˀ	0.169
ˈɛː	ˈɑ	0.131
ˈɛː	ˈi	0.091
ˈɛː	jˀ	0.088
ˈɪ	ˈe	0.595
ˈɪ	ˈiˀ	0.107
ˈɪ	ˈø	0.056
ˈɪ	-	0.055
ˈʊ	ˈɔ	0.499
ˈʊ	ˈu	0.221
ˈʊ	ˈoː	0.078
ˈʊ	ˈuː	0.078
ˈʊ	ˈʌ	0.074
ˈʏ	ˈø	0.393
ˈʏ	ˈœ	0.21
ˈʏ	ˈɑ	0.123
ˈʏ	ˈɛ	0.085
ˈʏ	ˈɔ	0.074
ˈʏ	ˈy	0.06
ˈʏ	ˈʌ	0.055
