Afrikaans	Afrikaans	probability
χ_#>	#>	1.0
ˈɪø̯	-	1.0
ˈɛː	ɡ_n	1.0
ˈɛ	ˈɛ	1.0
ˈɔː	-	1.0
ˈœɪ̯_s	ˈʊ_z̥	1.0
ˈœɪ̯	ˈuː	1.0
ˈœ	ˈʏ	1.0
ˈæː	-	1.0
ˈyː	ˈyː	1.0
ˈoː	-	1.0
ˈi_r	ˈiː_ɐ	1.0
ɦ	h	1.0
ə_r	ɐ	1.0
ə_n	n	1.0
ŋ	ŋ	1.0
w	ˈaɪ̯	1.0
t	t	1.0
s_k	ʃ	1.0
s_#>	ʃ_k_#>	1.0
r_t	t	1.0
r_s	s_t	1.0
p	p	1.0
n_s	s	1.0
n_d̥	n_n	1.0
n_d	n	1.0
m	m	1.0
k	k	1.0
i	aɪ̯	1.0
d	d	1.0
b	b	1.0
<#_r	<#_r	1.0
n	n	0.955
ɫ	l	0.952
d̥	d̥	0.926
ˈə	ˈɪ	0.913
ˈəɪ̯	ˈiː	0.857
v̥	f	0.852
#>	ə_#>	0.818
ˈi	ˈaɪ̯	0.8
v	v	0.769
ˈa	ˈa	0.758
χ	x	0.625
ˈɑː	ˈɔː	0.6
ˈœu̯	ˈɔ_l	0.6
j	-	0.6
ˈɔ	ˈʊ	0.571
ˈæ	ˈɛ	0.571
v̥_#>	v_ə_#>	0.5
v̥_#>	v_#>	0.5
r	r	0.477
ˈu	ˈoː	0.467
ˈʊə̯	ˈaʊ̯	0.455
s	s	0.439
ˈæ	-	0.429
ˈʊə̯	-	0.409
ˈœu̯	-	0.4
ˈu	ˈøː	0.4
j	j	0.4
ə	n	0.375
ə	-	0.375
r	ɐ	0.364
s	ʃ	0.341
ˈɪə̯	ˈɪɛ̯	0.333
ˈɪə̯	ˈeː	0.333
ə	ɪ	0.25
v	ʋ	0.231
ˈɪə̯	ˈɪə̯	0.222
χ	ç	0.219
ˈa	-	0.212
ˈɑː	-	0.2
#>	d̥_#>	0.182
r	-	0.159
ˈɑː	ˈaː	0.15
s	z	0.146
ˈəɪ̯	ˈeː	0.143
ˈɔ	ˈɔ	0.143
ˈɔ	ˈuːə̯	0.143
ˈɔ	-	0.143
ˈu	-	0.133
ˈi	-	0.133
ˈɪə̯	-	0.111
v̥	ʋ	0.111
χ	ɡ	0.094
ˈʊə̯	ˈœː	0.091
ˈə	-	0.087
d̥	d_n	0.074
s	z̥	0.073
ˈi	ˈø	0.067
χ	ɣ	0.062
