Galician	Galician	probability
θ_ɐ	s_a	1.0
θ_#>	s_#>	1.0
ˈɑ	ˈa	1.0
ˈu_n	ˈo_n	1.0
ˈo_ɟ	ˈø_ʧ	1.0
ˈo_w	ˈo	1.0
ˈo_j	ˈɔ	1.0
ˈi_ɾ_#>	ˈi_#>	1.0
ˈi_ɲ	ˈi	1.0
ˈi_ɣ	ˈi	1.0
ˈe_ɾ	ˈi	1.0
ˈe_n	ˈe	1.0
ˈe_j	ˈɛ	1.0
ˈe_#>	ˈe_#>	1.0
ˈa_ɾ_#>	ˈa_#>	1.0
ʊ	e	1.0
ɾ_ʊ_#>	r_#>	1.0
ɾ_ʊ	e_r	1.0
ɾ_#>	#>	1.0
ɪ_#>	#>	1.0
ɣ_ʊ	k	1.0
ɑ	-	1.0
ɐ_#>	#>	1.0
ŋ_#>	#>	1.0
ŋ	ŋ	1.0
ð_ʊ	t	1.0
ð_ɐ	d_a	1.0
w_t	t_e	1.0
u	o	1.0
t_ɐ	t_a	1.0
t	t	1.0
s_ˈo	s_ˈu	1.0
s_#>	#>	1.0
r	r	1.0
p	p	1.0
m_ɪ_#>	m_#>	1.0
k	k	1.0
j_ʃ	s	1.0
j_t	ʧ	1.0
j	-	1.0
f	f	1.0
e_s	s	1.0
d_ʊ_#>	t_#>	1.0
d	d	1.0
a_β	a	1.0
a_ð	d	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_b	<#	1.0
<#_a	<#	1.0
<#	<#_z	1.0
ɐ	a	0.963
ʊ_#>	#>	0.95
l	l	0.935
m	m	0.929
ˈa	ˈa	0.9
s	s	0.867
b	b	0.824
ɣ	ɡ	0.818
a	a	0.778
θ	s	0.773
ɾ	r	0.772
ɲ	ɲ	0.75
ɡ	ɡ	0.727
w	w	0.714
<#_ˈa	<#_ˈa	0.714
n	n	0.68
ð	t	0.667
ʃ	z	0.643
ɟ	j	0.625
ˈɛ	ˈɛ	0.6
i	i	0.6
ɪ	e	0.571
ˈu	ˈy	0.556
o	o	0.5
e	e	0.5
ˈi	ˈi	0.48
#>	a_#>	0.444
β	-	0.429
ɪ	r	0.429
ˈɛ	ˈe	0.4
i	-	0.4
ɟ	ʤ	0.375
o	-	0.375
ˈe	ˈɛ	0.372
ˈo	ˈu	0.343
β	f	0.333
ˈɔ	ˈø	0.333
ʧ	ʧ	0.333
ʧ	p_j	0.333
ʧ	f_j	0.333
#>	l_#>	0.333
ˈe	ˈe	0.302
w	-	0.286
<#_ˈa	<#_ˈɛ	0.286
ˈu	ˈø	0.278
ɡ	-	0.273
ˈɔ	ˈɔ	0.259
ˈo	ˈɔ	0.257
ˈo	ˈo	0.257
ɲ	n	0.25
e	-	0.25
ˈi	ˈe	0.24
β	b	0.238
ˈɔ	ˈu	0.222
a	-	0.222
#>	e_#>	0.222
ʃ	s	0.214
n	-	0.2
ˈɔ	ˈo	0.185
ɣ	-	0.182
b	ʋ	0.176
ˈu	-	0.167
ð	d	0.167
ð	-	0.167
ˈi	-	0.16
e	i	0.15
ʃ	j	0.143
θ	-	0.136
s	-	0.133
o	j	0.125
ˈi	ˈɛ	0.12
n	ŋ	0.12
ˈe	-	0.116
e	ˈi	0.1
ˈe	ˈi	0.093
θ	z	0.091
ˈo	ˈø	0.086
m	-	0.071
ˈe	ˈa	0.07
ɾ	ˈa	0.07
l	-	0.065
ˈo	-	0.057
ɾ	e	0.053
