French	Brazilian Portuguese	probability
d	d	1.0
p	p	1.0
y	ˈu	1.0
z	z	1.0
ø	u	1.0
ɡ	ɡ	1.0
ɲ	-	1.0
j	ʎ_ɐ	0.261
u	u	0.1
v	b	0.181
w	-	0.181
ʃ	k_ɐ	0.101
ʒ	ʒ	0.611
b	b	0.792
o	w	0.172
u	ˈɔ	0.072
ɑ̃	ˈẽ	0.522
ɔ̃	ˈɐ̃_w̃	0.12
ə	ˈe	0.142
ɛ	ˈɛ	0.2
ʃ	k	0.802
b	-	0.063
k	k	0.963
l	l_ɐ	0.113
l	ʃ	0.133
t	t	0.883
œ	ˈo	0.733
ɛ̃	ˈɐ̃_w̃	0.443
a	ˈa	0.314
e	e_ʃ	0.224
i	ˈe	0.314
i	ˈi	0.324
j	ʎ_u	0.054
m	m	0.854
n	n	0.574
o	ˈɔ	0.104
o	u	0.724
w	ˈi	0.354
ɔ	ˈɔ	0.14
ɔ	ˈo	0.564
ɥ	ˈu	0.444
b	v	0.145
f	-	0.085
i	j	0.075
s	-	0.075
w	ˈe	0.465
ɛ	ˈe	0.205
ʁ	ɾ_ɐ	0.065
i	ˈĩ	0.216
j	-	0.606
m	m_ɐ	0.146
t	s	0.056
ɔ	o	0.296
ɥ	ˈo	0.556
ʁ	ɾ_i	0.076
ʁ	-	0.096
ʁ	ɾ	0.186
a	j	0.167
a	ɐ	0.17
f	f	0.897
l	-	0.137
l	l	0.417
œ	ˈɔ	0.267
ɛ	a	0.17
ɛ	ˈɐ̃	0.177
ɛ̃	ˈĩ	0.557
ʁ	h	0.367
ʃ	-	0.097
a	a	0.348
e	ˈa_h	0.478
n	-	0.358
u	o	0.078
ɑ̃	ˈɐ̃	0.478
ɔ̃	ˈõ	0.88
ə	e	0.858
ɛ	ˈa	0.248
ʁ	ɾ_u	0.068
e	ˈa	0.299
j	ʎ	0.079
l	w	0.159
s	s	0.879
u	ˈo	0.749
v	v	0.819
ʁ	ɦ	0.119
ʒ	-	0.389
