Mecklenburgisch-Vorpommersch	Saterland Frisian	probability
ˈɪ_n	ˈiː_n	1.0
ˈɛː_b	ˈeːu̯	1.0
ˈɛɪ̯	ˈiː	1.0
ˈœ	-	1.0
ˈøː	ˈœː	1.0
ˈyː	j_ˈuː	1.0
ˈuː_æ	ˈoːu̯	1.0
ˈeː	ˈeː	1.0
ˈaʊ̯_ɾ	ˈuː	1.0
ʃ_l	s_l	1.0
ɪ	ɪ	1.0
ɣ	ˈuː_ɣ	1.0
ɡ̊	k	1.0
x	x	1.0
w	v	1.0
v	v	1.0
t_n	t_ə	1.0
s	s	1.0
pʰ	-	1.0
p	p	1.0
l	l	1.0
kʰ	s	1.0
h	h	1.0
d̥	d	1.0
b	b	1.0
ae̯	i	1.0
t	t	0.95
f	f	0.947
r	r	0.907
z	s	0.903
m	m	0.887
ɡ	ɣ	0.868
ç	x	0.841
ŋ	ŋ	0.84
d	t	0.75
v̥	f	0.747
ˈɪ	ˈɪ	0.717
n	n	0.713
ʃ	s_k	0.676
ˈɔʏ̯	ˈɛɪ̯	0.65
ˈʊ	ˈʊ	0.599
k	k	0.591
ˈuː	ˈuː	0.58
ˈɛː	-	0.569
ˈœː	-	0.557
ɾ	-	0.547
ˈaʊ̯	ˈoː	0.544
æ	r	0.512
ˈiː	ˈi	0.488
ˈoː	ˈiː	0.472
ˈaʊ̯	ˈoːu̯	0.456
ɾ	d	0.453
ˈœː	ˈuː	0.443
ˈɛː	ˈeː	0.431
ˈʏ	ˈɛː	0.424
ˈae̯	j_ˈoː	0.419
k	k_ə	0.409
ˈae̯	ˈeː	0.37
ˈɛ	-	0.36
ˈɔʏ̯	ˈeː	0.35
ˈoː	-	0.347
ˈaː	ˈɛː_r	0.338
ˈaː	-	0.338
ˈɛ	ˈa	0.324
ˈaː	ˈiː_r	0.324
ʃ	s	0.324
ˈɔ	ˈuː	0.3
æ	ə_r	0.267
ˈɒː	ˈoː	0.259
v̥	v	0.253
d	d	0.25
ˈʊ	-	0.247
ˈa	ˈɔː	0.244
ˈʏ	ˈʊ	0.242
ˈiː	ˈiː	0.239
ˈa	ˈoːu̯	0.239
ˈɔ	ˈɔ	0.233
ˈɒː	ˈɔː	0.224
æ	ə	0.222
ˈuː	ˈoːu̯_d	0.199
ˈɛ	ˈɔː	0.186
ˈuː	-	0.184
ˈoː	ˈoː	0.181
ˈʏ	ˈɛ	0.178
ˈɒː	ˈoːu̯	0.172
ŋ	ɣ_ə	0.16
ç	ɣ_ə	0.159
ˈiː	ˈɛɪ̯	0.158
ˈɔ	ˈɔː	0.156
ˈɔ	ˈoːu̯	0.156
ˈɔ	-	0.156
ˈʏ	ˈyː	0.155
ˈʊ	ˈuː	0.155
ˈa	ˈɔ	0.149
ˈɒː	ˈɛɪ̯	0.137
ɡ	-	0.132
ˈɛ	ˈɛ	0.13
ˈɒː	ˈuː	0.129
n	ə	0.128
ˈɪ	ˈiː	0.125
ˈa	-	0.125
ˈiː	ˈiː_w	0.114
ˈɪ	j_ˈʊ	0.104
z	z_ə	0.097
r	r_j	0.093
ˈa	ˈaː	0.091
ˈa	ˈa	0.091
ˈae̯	ˈaː	0.087
ˈɒː	-	0.079
m	ə	0.068
n	n_ə	0.063
ˈae̯	ˈoː	0.061
ˈae̯	-	0.061
ˈa	ˈɛː	0.059
ˈɪ	ˈi	0.054
f	-	0.053
