English	Swedish	probability
b	b	0.961
d	d	0.805
d	-	0.143
f	f	0.759
f	v	0.171
h	h	0.921
h	-	0.079
j	ɡ	0.348
j	ˈyː	0.235
j	ˈoː	0.187
j	n	0.144
j	-	0.087
k	k	0.723
k	kː	0.179
kʰ	kʰ	1.0
l	l	0.905
m	m	0.626
m	mː	0.248
m	r_m	0.075
m	-	0.05
n	n	0.701
n	nː	0.12
n	-	0.07
p	p	0.564
p	pː	0.205
p	-	0.116
p	v	0.116
pʰ	pʰ	1.0
s	s	0.766
s	ɧ	0.171
s	sː	0.051
t	t	0.493
t	tː	0.403
tʰ	tʰ	0.957
v	v	0.554
v	-	0.243
v	m	0.162
w	v	0.738
w	-	0.18
w	j	0.061
z	s	1.0
ð	d	0.798
ð	nː	0.202
ŋ	ŋː	0.82
ŋ	ŋ	0.18
ə	ɛ	0.507
ə	r	0.352
ə	a	0.072
əʊ̯	j	0.602
əʊ̯	-	0.398
ɜː	ˈɛ	1.0
ɡ	ɡ	0.712
ɡ	-	0.155
ɡ	ɡː	0.075
ɡ	j	0.057
ɪ	ɪ	0.532
ɪ	ɵ	0.309
ɪ	ɛ	0.104
ɪ	ˈɛ	0.055
ɫ	l	0.758
ɫ	ɛ_l	0.154
ɫ	lː	0.088
ɹ	r	0.966
ʃ	s	0.47
ʃ	ɧ	0.432
ʃ	f	0.098
ʤ	ɡː	1.0
ʧ	k	0.568
ʧ	ɕ	0.392
ˈaɪ̯	ˈiː	0.324
ˈaɪ̯	ˈɪ	0.267
ˈaɪ̯	ˈʉː	0.129
ˈaɪ̯	ˈɛ	0.098
ˈaɪ̯	ˈyː	0.059
ˈaʊ̯	ˈʉː	0.534
ˈaʊ̯	ˈɵ	0.197
ˈaʊ̯	ˈuː	0.172
ˈaʊ̯	ˈoː	0.098
ˈe	ˈɛ	0.333
ˈe	ˈøː	0.211
ˈe	ˈʉː	0.103
ˈe	ʊ	0.098
ˈe	ˈɛː	0.083
ˈeɪ̯	ˈɑː	0.477
ˈeɪ̯	ŋ	0.203
ˈeɪ̯	ˈa	0.109
ˈeɪ̯	ˈɛː	0.064
ˈeɪ̯	jː	0.064
ˈeɪ̯	ˈoː	0.064
ˈiː	ˈøː	0.227
ˈiː	ˈœ	0.178
ˈiː	ˈɛː	0.086
ˈiː	ˈoː	0.081
ˈiː	ɔ	0.071
ˈiː	ˈeː	0.068
ˈiː	ˈiː	0.068
ˈiː	j	0.059
ˈiː	ˈɪ	0.053
ˈiː	ˈʉː	0.051
ˈuː	ˈoː	0.349
ˈuː	ˈiː	0.238
ˈuː	ˈuː	0.147
ˈuː	ˈʊ	0.099
ˈuː	ˈa	0.076
ˈuː	ˈʉː	0.051
ˈæ	ˈa	0.849
ˈæ	ˈɛ	0.134
ˈɐ	ˈɵ	0.205
ˈɐ	ˈʊ	0.204
ˈɐ	ˈoː	0.188
ˈɐ	ˈɔ	0.148
ˈɐ	ˈuː	0.064
ˈɐ	ˈɛ	0.063
ˈɑː	ˈɑː	0.424
ˈɑː	ˈa	0.273
ˈɑː	ˈɛː	0.145
ˈɑː	ˈæː	0.097
ˈɑː	ˈeː	0.061
ˈɒ	ˈoː	0.287
ˈɒ	ˈʉː	0.276
ˈɒ	ˈɑː	0.158
ˈɒ	ˈeː	0.107
ˈɒ	ˈœ	0.104
ˈɒ	ˈa	0.068
ˈɔː	ˈuː	0.249
ˈɔː	ˈa	0.203
ˈɔː	ˈɔ	0.192
ˈɔː	ˈœ	0.094
ˈɔː	ˈyː	0.079
ˈɔː	ˈæː	0.053
ˈɔː	ˈɵ	0.053
ˈəʊ̯	ˈeː	0.394
ˈəʊ̯	ˈøː	0.183
ˈəʊ̯	ˈɛː	0.165
ˈəʊ̯	ˈoː	0.145
ˈɛ	ˈoː	0.287
ˈɛ	ˈɛ	0.287
ˈɛ	ˈæː	0.275
ˈɛ	ˈɑː	0.092
ˈɛ	j	0.058
ˈɜː	ˈuː	0.372
ˈɜː	ˈʊ	0.363
ˈɜː	ˈʏ	0.165
ˈɜː	ˈœ	0.1
ˈɪ	ˈɪ	0.369
ˈɪ	ˈɵ	0.137
ˈɪ	ˈʏ	0.082
ˈɪ	ˈeː	0.067
ˈɪ	ˈʉː	0.061
ˈɪ	ˈiː	0.057
ˈʊ	ˈuː	0.635
ˈʊ	ˈɵ	0.365
θ	tʰ	0.499
θ	d	0.169
θ	ɕ	0.131
θ	nː	0.112
θ	ɖ	0.055
