English	Swedish	probability
b	b	1.0
d	d	0.768
d	-	0.179
d	ɖ	0.045
f	f	0.746
f	v	0.147
f	-	0.084
h	h	1.0
j	ˈyː	0.242
j	ˈɵ	0.242
j	-	0.151
j	ɡ	0.143
j	ˈoː	0.089
k	k	0.861
k	kː	0.139
kʰ	kʰ	1.0
l	l	0.945
l	-	0.054
m	m	0.624
m	mː	0.208
m	r_m	0.166
n	n	0.674
n	-	0.121
n	nː	0.116
n	ɳ	0.042
n	ŋ	0.028
p	p	0.651
p	v	0.132
p	r	0.095
p	pː	0.092
pʰ	pʰ	0.473
s	s	0.853
s	ɧ	0.081
s	sː	0.055
t	t	0.614
t	tː	0.268
t	d	0.039
t	ʈː	0.039
t	-	0.032
tʰ	tʰ	0.915
tʰ	ɕ	0.068
v	v	0.559
v	-	0.152
v	m	0.148
v	ŋ	0.07
w	v	0.662
w	-	0.246
w	j	0.045
w	ˈʉː	0.038
w_ˈʊ	ˈɵ	1.0
z	s_a	0.608
z	s	0.251
ð	d	0.66
ð	nː	0.322
ð_ə	r	1.0
ŋ	ŋː	0.766
ŋ	ŋ	0.219
ŋ_k	kː	0.473
ə	ɛ	0.424
ə	r	0.251
ə	a	0.128
ə	r_a	0.057
ə	-	0.043
əʊ̯	j	0.683
əʊ̯	-	0.213
ɡ	ɡ	0.64
ɡ	-	0.226
ɡ	ɡː	0.093
ɪ	ɪ	0.446
ɪ	ˈɛ	0.175
ɪ	ɛ	0.114
ɪ	ɵ	0.114
ɪ	-	0.074
ɫ	l	0.583
ɫ	lː	0.213
ɫ	ɛ_l	0.134
ɫ	l_ɛ	0.053
ɫ	j	0.03
ɹ	r	1.0
ʃ	s_k	0.48
ʃ	ɧ	0.316
ʃ	f	0.123
ʤ	ɡː	1.0
ʧ	ɕ	0.5
ʧ	k	0.5
ˈaɪ̯	ˈiː	0.37
ˈaɪ̯	ˈɛ	0.189
ˈaɪ̯	ˈʉː	0.092
ˈaɪ̯	ˈyː	0.069
ˈaɪ̯	ˈɪ	0.068
ˈaʊ̯	ˈʉː	0.479
ˈaʊ̯	ˈɵ	0.233
ˈaʊ̯	ˈuː	0.159
ˈaʊ̯	ˈoː	0.105
ˈe	ˈøː	0.244
ˈe	ˈɛ	0.179
ˈe	ˈʉː	0.121
ˈe	ʊ	0.09
ˈe	ˈɛː	0.072
ˈeɪ̯	ˈɑː	0.317
ˈeɪ̯	ˈɑː_ɡ	0.193
ˈeɪ̯	ˈa	0.096
ˈeɪ̯	ˈɛː	0.096
ˈeɪ̯	ˈɔ	0.074
ˈiː	ˈøː	0.219
ˈiː	ˈoː	0.149
ˈiː	ˈœ	0.129
ˈiː	ˈɛː	0.119
ˈiː	ˈʉː	0.104
ˈuː	ˈoː	0.423
ˈuː	ˈuː	0.18
ˈuː	ˈʊ	0.136
ˈuː	-	0.136
ˈuː	ˈa	0.092
ˈæ	ˈa	0.734
ˈæ	ˈɛ	0.175
ˈæ	ˈɑː	0.068
ˈɐ	ˈuː	0.268
ˈɐ	ˈʊ	0.183
ˈɐ	ˈoː	0.147
ˈɐ	-	0.097
ˈɐ	ˈa	0.097
ˈɑː	ˈa	0.339
ˈɑː	ˈɑː	0.223
ˈɑː	ˈeː	0.132
ˈɑː	ˈɛː	0.121
ˈɑː	ˈa_r	0.083
ˈɒ	ˈɑː	0.199
ˈɒ	ˈœ	0.199
ˈɒ	ˈeː	0.13
ˈɒ	ˈa	0.117
ˈɒ	ˈʉː	0.117
ˈɔː	ˈa	0.325
ˈɔː	ˈɔ	0.246
ˈɔː	ˈuː	0.159
ˈɔː	ˈyː	0.079
ˈɔː	ˈæː	0.079
ˈəʊ̯	ˈeː	0.375
ˈəʊ̯	ˈɛː	0.175
ˈəʊ̯	ˈøː	0.152
ˈəʊ̯	ˈɵ	0.101
ˈəʊ̯	ˈɔ	0.074
ˈɛ	ˈɑː	0.425
ˈɛ	ˈoː	0.231
ˈɛ	j	0.126
ˈɜː	ˈʏ	0.37
ˈɜː	ˈuː	0.265
ˈɜː	ˈʊ	0.103
ˈɪ	ˈɪ	0.229
ˈɪ	ˈʏ	0.129
ˈɪ	ˈiː	0.109
ˈɪ	ˈɵ	0.085
ˈɪ	ˈeː	0.081
ˈʊ	ˈuː	0.733
ˈʊ	ˈɵ	0.179
θ	tʰ	0.312
θ	ɕ	0.19
θ	d	0.121
θ	ɖ	0.082
θ	t	0.08
