Old West Norse	Icelandic	probability
θ	θ	1.0
ˈɔː	ˈoːu̯	1.0
ˈɒu̯	ˈœːy̯	1.0
ˈɑu̯	ˈœːy̯	1.0
ˈøy̯	ˈɛːi̯	1.0
ˈuː_ɣ	ˈuː	1.0
ˈuː	ˈuː	1.0
ˈiː	ˈiː	1.0
ʦ	s	1.0
ʝː	ˈɛːi̯_j	1.0
ɾ	r	1.0
ɡː	ɡ̊ː	1.0
ɟː	ɟ̊ː	1.0
ɟ	ɟ̊	1.0
ɑː	aːu̯	1.0
ç	ç	1.0
x	kʰ	1.0
w	v	1.0
v_ˈɛi̯	v	1.0
v_n	p_n̥	1.0
v	v	1.0
tː	ʰt	1.0
tʰ	tʰ	1.0
t_n	ʰt͡n̥	1.0
t	t	1.0
sː	sː	1.0
s	s	1.0
r̥ː	r̥	1.0
r_ɑ	r_a	1.0
r_t	r̥_t	1.0
r_s	r̥_s	1.0
r	r	1.0
pː	ʰp	1.0
pʰ	pʰ	1.0
n̥	n̥	1.0
mː	-	1.0
m	m	1.0
l̥	l̥	1.0
lː	t͡l̥	1.0
kː	ʰk	1.0
kʰ_n	n̥	1.0
kʰ	kʰ	1.0
j	j	1.0
e	ɛ	1.0
d	d̥	1.0
cː	ʰc	1.0
cʰ	cʰ	1.0
c	c	1.0
b	b̥	1.0
a	a	1.0
ɑ	a	0.946
ˈoː	ˈoːu̯	0.945
f	f	0.903
l	l	0.9
ŋ	ŋ	0.892
i	ɪ	0.856
h	h	0.856
ð	ð	0.847
ˈɔ	ˈœ	0.83
ˈɛ	ˈɛ	0.815
n	n	0.807
ˈyː	ˈiː	0.78
k	k	0.772
p	p	0.751
nː	nː	0.746
ɡ	ɡ̊	0.716
ˈo	ˈɔ	0.673
ˈøː	ˈaːi̯	0.67
r̥	ʏ_r̥	0.651
ˈa	ˈa	0.648
ˈɛː	ˈaːi̯	0.632
ˈɛi̯	ˈɛːi̯	0.629
ˈe	ˈɛ	0.624
ˈɑ	ˈa	0.599
ˈu	ˈʏ	0.593
ˈy	ˈɪ	0.576
ˈɑː	ˈɑːu̯	0.568
ɣ	ɡ̊	0.555
ˈi	ˈɪ	0.498
ˈeː	j_ˈɛː	0.46
ɣ	ɣ	0.445
u	ʏ	0.404
u	j_ʏ	0.383
ˈeː	ˈɛː	0.379
ˈe	ˈɛː	0.376
ˈɛi̯	ˈɛi̯	0.371
ˈɛː	ˈai̯	0.368
ˈa	ˈaː	0.352
r̥	r̥	0.349
ˈøː	ˈai̯	0.33
ɡ	-	0.284
ˈi	ˈɪː	0.256
nː	t͡n̥	0.254
p	ʰp	0.249
ˈi	ˈi	0.246
ˈyː	-	0.22
ˈu	ˈu	0.215
u	u	0.213
ˈy	ˈi	0.212
ˈy	-	0.212
ˈɑ	ˈaː	0.206
ˈɑː	ˈaːu̯	0.196
n	t͡n̥	0.193
ˈu	ˈʏː	0.192
ˈɛ	ˈɛː	0.185
ˈɔ	ˈœː	0.17
ˈo	ˈɔː	0.163
ˈo	ˈou̯	0.163
ˈeː	j_ˈɛ	0.161
ˈɑː	-	0.155
ð	ð_ʏ	0.153
h	ç	0.144
k	ʰk	0.135
ˈɑ	ˈau̯	0.113
ŋ	ɲ	0.108
l	l̥	0.1
f	v_ʏ	0.097
k	x	0.092
i	-	0.086
ˈɑ	ˈɑu̯	0.082
ˈɑː	ˈɑu̯	0.081
i	i	0.058
ˈoː	ˈɔu̯	0.055
