Standard Serbian	Polish	probability
̌	-	1.0
̂	-	1.0
ʧ	ʈ͡ʂ	1.0
ʎ	l	1.0
ʋ_a	v_a	1.0
ɲ	ɲ	1.0
x	x	1.0
u_̂	ɛ	1.0
t_o	t_ɔ	1.0
t_i	ʨ	1.0
t_a	t_a	1.0
r̩ː	a_r	1.0
r̩	ɛ_r	1.0
p	p	1.0
l_aː	w_ɔ	1.0
l_a	w_a	1.0
iː_̌	ɨ	1.0
eː_̌	ɛ	1.0
e_̂	j_a	1.0
b	b	1.0
a_r	r_ɨ	1.0
a_n	n_ɨ	1.0
a_k	k_i	1.0
k	k	0.92
o	ɔ	0.86
ɡ	ɡ	0.857
n	n	0.732
m	m	0.73
ʦ	ʦ	0.685
u	u	0.682
t	t	0.679
d	d	0.678
iː	ɨ	0.676
e	ɛ	0.645
a	a	0.632
a_̂	ɛ	0.615
s	s	0.605
l	l	0.602
oː	ɔ	0.597
z	z	0.573
r	r	0.563
ʒ	ʐ	0.552
i_̂	i	0.545
uː	u	0.459
i_̂	ɨ	0.455
aː	a	0.454
ʋ	v	0.453
ʒ	-	0.448
i	ɛ	0.448
oː	u	0.403
s	ɕ	0.395
eː_̂	ɛ	0.387
a_̂	ɔ	0.385
i	-	0.377
eː	j	0.338
ʋ	v_j	0.325
z	ʑ	0.325
iː	-	0.324
d	ʥ	0.322
t	ʨ	0.321
u	v	0.318
l	w	0.316
ʦ	k	0.315
eː	u	0.303
r	ʐ	0.286
aː	ɔ	0.273
aː	u	0.273
m	m_j	0.27
n	ɲ	0.268
eː_̂	j_ɛ	0.263
e	ɔ	0.244
uː	ɔ	0.225
ʋ	f	0.222
eː	ɛ	0.209
i	ɨ	0.175
eː_̂	j	0.175
eː_̂	a	0.175
a	-	0.155
r	ʐ̊	0.151
eː	ɛ_ɲ	0.149
ɡ	ɡ̊	0.143
o	u	0.14
a	ɛ	0.127
uː	ɔ_w̃	0.113
uː	l	0.113
z	z̥	0.102
uː	ɔ_m	0.089
a	j_ɛ	0.086
l	d_w	0.083
k	-	0.08
e	a	0.057
e	-	0.054
