Nuorese	Gascon	probability
β_ɛ	w	1.0
β_u	w	1.0
ˈu_ɾ	ˈy	1.0
ˈa_ɾ	ˈa	1.0
ˈa_p	ˈa_β	1.0
ʣ_u	j	1.0
ʣ	ʎ	1.0
ɾ_ˈɛ	ɾ_ˈe	1.0
ɾ_a	ɾ	1.0
ɲ	ɲ	1.0
ɣ_ɛ	j	1.0
ɡ_e	ʒ	1.0
ɔ̆	-	1.0
ɔ_z	s	1.0
ɔ	u	1.0
ŋ	-	1.0
ð_u	t	1.0
z_j	lː	1.0
ŭ	-	1.0
u_f	f	1.0
t_a	ð_ɔ	1.0
s_t	s_t	1.0
p_u	s	1.0
nː_u	ŋ	1.0
n_ʣ	ɲ	1.0
n_ɛ	ŋ	1.0
n_u	ŋ	1.0
n_a	ɔ	1.0
k_ɾ	ʎ	1.0
k_ɛ	ʦ	1.0
k_a	k_a	1.0
j_z	z	1.0
j	-	1.0
i_n	i	1.0
i_k	e	1.0
f	h	1.0
e	-	1.0
ˈa	ˈa	0.959
l	l	0.948
s	s	0.905
b	b	0.894
p	p	0.881
d	d	0.823
r	r	0.814
m	m	0.808
ɛ_ɾ	e	0.798
β	β	0.719
a	ɔ	0.676
t	t	0.647
ˈɔ	ˈu	0.625
ˈi	ˈi	0.607
n	n	0.604
ɖː	t	0.598
ɣ	-	0.596
ˈu	ˈy	0.593
z	-	0.587
s_k	s_k	0.567
k	k	0.559
ɾ_u	e	0.549
ɡ	ɡ	0.532
ˈe	ˈe	0.522
ˈɛ	ˈe	0.519
i	e	0.514
ɾ	ɾ	0.505
o	u	0.494
ɛ	-	0.493
u	-	0.488
ˈɛ	ˈɛ	0.481
ɾ_u	ɾ_e	0.451
ˈo	ˈɔ	0.438
s_k	j_ʃ	0.433
ð	ð	0.428
ð	-	0.425
ˈe	ˈɛ	0.413
z	z	0.413
ˈu	ˈu	0.407
ɣ	ɣ	0.404
ɖː	-	0.402
nː	n	0.401
ˈi	ˈe	0.352
nː	ɲ	0.337
ˈo	ˈu	0.333
ɛ	e	0.314
o	-	0.298
ɡ	ʒ	0.296
β	-	0.281
n	-	0.281
u	j	0.278
a	a	0.27
nː	n_d	0.262
i	-	0.262
k	ɣ	0.243
u	y	0.235
o	a_w	0.208
ɾ	r	0.204
ɛ_ɾ	ɾ	0.202
k	s	0.199
ɛ	ɔ	0.193
ˈɔ	ˈɔ	0.191
r	a_r	0.186
ˈɔ	w_ˈe	0.184
d	-	0.177
ɡ	-	0.171
t	ð	0.159
ɾ	l	0.158
ð	ʤ	0.146
i	i	0.136
t	-	0.132
p	β	0.119
n	ŋ	0.115
b	-	0.106
ˈo	w_ˈe	0.103
m	ŋ_k	0.096
m	-	0.096
s	j_ʃ	0.095
i	ˈi	0.088
ɾ	-	0.081
ˈe	j_ˈe	0.065
ˈo	w	0.063
ˈo	-	0.063
t	j_t	0.061
ɾ	e	0.052
l	ʎ	0.052
