Lithuanian	Latvian	probability
̌	-	1.0
̂_n	n	1.0
̂	-	1.0
ˈ	-	1.0
ʒ	z	1.0
ʑ	z	1.0
ʊ_ˈ	u	1.0
ʊ	-	1.0
ʃ	s	1.0
ɫ_ɐ	l̩	1.0
ɫ	l	1.0
ɪ_̌	i	1.0
ɡʲ	ʣ	1.0
ɡ_ɐ	ɡ̊	1.0
ɡ	ɡ	1.0
ɛʊ̯	au̯	1.0
ɐʊ̯	au̯	1.0
ɐɪ̯	ai̯	1.0
ɐ_̌	uɔ̯	1.0
æː_̌	æ	1.0
æɪ̯	iː	1.0
z	-	1.0
vʲ	v	1.0
v_ɐ	w	1.0
v	v	1.0
uː_̂	uː	1.0
uə̯	uɔ̯	1.0
tʲ	t	1.0
t_ɐ	t	1.0
t	t	1.0
sʲ_ɪ	s	1.0
sʲ	s	1.0
s	s	1.0
rʲ	r	1.0
pʲ	p	1.0
p	p	1.0
oː_̂	aː	1.0
n_ɐ	n	1.0
mʲ	m	1.0
m_b	b̥	1.0
m	m	1.0
lʲ	l	1.0
k	k	1.0
j	j	1.0
iə̯	iɛ̯	1.0
eː_̂	ɛː	1.0
d_ɐ	d̥	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
aː_̌	a	1.0
aː_̂	a	1.0
aː	uɔ̯	1.0
aʊ̯	au̯	1.0
aɪ̯	iɛ̯	1.0
r	r	0.838
kʲ	ʦ	0.792
oː	-	0.768
dʲ	d	0.745
ɪ_ˈ	i	0.667
n	n	0.606
æː	ɛ	0.586
iː	iː	0.567
ɪ	i	0.558
nʲ	ɲ	0.552
ɐ	a	0.486
ɐ	-	0.48
ɛ	-	0.454
nʲ	n	0.448
ɪ	-	0.442
iː	i	0.433
æː	-	0.414
n	-	0.394
ɪ_ˈ	ɛ	0.333
ɛ	ɛ	0.308
dʲ	-	0.255
oː	aː	0.232
kʲ	ʧ	0.208
ɛ	æ	0.195
r	r̩	0.162
