Bokmål Norwegian	Middle High German	probability
ˈʊ	-	1.0
ˈɪ	ˈi	1.0
ˈɛ_tː	ɛ	1.0
ˈɑ_nː	ˈɑ_n	1.0
ˈɑ	ˈɑ	1.0
ˈœʏ̯	ˈou̯	1.0
ˈœ_mː	mː	1.0
ˈæ	-	1.0
ʋ_ə	b_ə	1.0
ʈː	r_ʦ	1.0
ɾ_ə	r	1.0
ɳ	r_n	1.0
ɡ	ɡ	1.0
pː	f	1.0
pʰ	p͡f	1.0
mː	m	1.0
m	m	1.0
l	l	1.0
kː	k	1.0
kʰ	kʰ	1.0
j_ˈɛ	h_ˈɛ	1.0
j_ˈæː	ˈɛ	1.0
i	i	1.0
h	h	1.0
f	v	1.0
d_ə	ə_t	1.0
d	t	1.0
b	b	1.0
ə	ə	0.94
n	n	0.892
ɾ	r	0.888
ˈæɪ̯	ˈei̯	0.851
ˈɑː	ˈɑ	0.804
ʋ	w	0.798
lː	l	0.774
ˈʉ	ˈu	0.761
ˈoː	ˈɑː	0.758
s_k	ʃː	0.698
k	xː	0.697
tʰ	d	0.695
ˈyː	ˈiə̯	0.693
s	s	0.659
j	ˈɛ	0.654
ˈiː	ˈiː	0.594
p	f	0.58
ˈʉː	ˈuː	0.575
ɡː	kː	0.571
ʂ	ʃ	0.549
ˈʏ	ˈy	0.547
ŋː	ŋ_ɡ	0.54
tː	s̻	0.526
ˈæː	ˈɛ	0.5
ˈæː	-	0.5
ˈɔ	-	0.468
ŋː	ŋ	0.46
ˈʏ	-	0.453
ʂ	s	0.451
t	s̻	0.436
ɡː	-	0.429
ˈuː	ˈuə̯	0.424
t	t	0.411
ˈøː	ˈoː	0.4
nː	n_d̥	0.388
ˈuː	ˈo	0.372
ˈeː	ˈɛ	0.367
j	x	0.346
ˈɔ	ˈu	0.329
ˈœ	ˈu	0.327
ˈyː	ˈyː	0.307
ˈœ	-	0.306
tʰ	ʦ	0.305
k	x	0.303
s_k	ʃ	0.302
ˈøː	-	0.3
ˈeː	-	0.295
ˈɛ	ˈei̯	0.275
tː	ʦː	0.275
s	ʃ	0.273
ˈeː	ˈei̯	0.243
ˈœ	ˈyə̯	0.242
ˈʉ	ˈo	0.239
ˈiː	ˈi	0.233
p	p͡f	0.219
ˈʉː	-	0.218
ˈɛ	ˈɑ	0.218
nː	nː	0.211
nː	n	0.211
ˈʉː	ˈo	0.207
ˈuː	-	0.205
ˈɔ	ˈɑ	0.204
tː	x_t	0.2
ˈɑː	ˈɑ_t	0.196
nː	n_d	0.191
ˈɛ	-	0.175
ˈiː	n	0.174
ˈɛ	ˈɛ	0.17
ˈɛ	ˈe	0.162
t	s̻ː	0.153
ˈæɪ̯	-	0.149
ˈøː	ˈou̯	0.144
p	p	0.133
ʋ	ə	0.13
ˈoː	ˈɑ	0.127
ˈœ	rː	0.125
ˈoː	ɑː	0.116
lː	lː	0.113
lː	l_d̥	0.113
ˈøː	ˈyə̯	0.112
n	-	0.108
ˈeː	tː	0.096
ɾ	ə_r	0.074
ʋ	f	0.072
s	t	0.068
p	fː	0.067
